feature,# over PCC of 0.3,# over PCC of 0.7,# over PCC of 0.8,avg. correlation,max. correlation,median correlation,avg. lag,median lag,std correlation,p-value,CI 95% lower,CI 95% upper
tonsillitis,6,5,5,0.83,0.911,0.864,15.7,14.5,0.114,0.002,0.71,0.95
pericarditis,3,1,0,0.575,0.767,0.544,44.7,44.0,0.178,0.0,0.131,1.018
chest pain,2,0,0,0.493,0.573,0.493,46.0,46.0,0.113,0.0,-0.52,1.506
ageusia,5,0,0,0.474,0.562,0.528,16.4,12.0,0.106,0.0,0.341,0.606
hypoxemia,4,0,0,0.421,0.548,0.404,12.5,0.5,0.108,0.04,0.249,0.593
burn,2,0,0,0.417,0.446,0.417,20.0,20.0,0.04,0.023,0.056,0.779
throat irritation,4,0,0,0.392,0.527,0.354,21.8,14.5,0.092,0.003,0.246,0.538
abdominal obesity,2,0,0,0.333,0.351,0.333,49.0,49.0,0.026,0.0,0.101,0.564
itch,1,0,0,0.34,0.34,0.34,0.0,0.0,,0.026,,
myocardial infarction,1,0,0,0.33,0.33,0.33,45.0,45.0,,0.0,,
inflammation,1,0,0,0.324,0.324,0.324,49.0,49.0,,0.0,,
anosmia,6,0,0,0.365,0.463,0.335,25.5,26.0,0.068,0.003,0.294,0.437
sore throat,3,0,0,0.331,0.371,0.311,44.7,46.0,0.035,0.0,0.244,0.418
depression,2,0,0,0.308,0.31,0.308,24.5,24.5,0.004,0.0,0.274,0.341
allergic conjunctivitis,2,1,1,0.737,0.806,0.737,23.0,23.0,0.098,0.0,-0.142,1.615
photopsia,2,0,0,0.514,0.658,0.514,47.5,47.5,0.204,0.0,-1.316,2.344
papule,2,0,0,-0.123,0.404,-0.123,47.5,47.5,0.746,0.0,-6.826,6.579
visual acuity,2,0,0,0.479,0.625,0.479,13.0,13.0,0.206,0.0,-1.375,2.333
cluster headache,1,0,0,0.619,0.619,0.619,31.0,31.0,,0.0,,
pleurisy,1,0,0,0.616,0.616,0.616,26.0,26.0,,0.0,,
polycythemia,1,0,0,0.609,0.609,0.609,49.0,49.0,,0.0,,
dysautonomia,1,0,0,-0.593,-0.593,-0.593,49.0,49.0,,0.0,,
erythema chronicum migrans,1,0,0,0.587,0.587,0.587,26.0,26.0,,0.0,,
encephalopathy,1,0,0,0.542,0.542,0.542,49.0,49.0,,0.0,,
ptosis,2,0,0,0.42,0.509,0.42,23.0,23.0,0.125,0.0,-0.705,1.545
tenderness,2,0,0,0.563,0.627,0.563,18.5,18.5,0.091,0.005,-0.253,1.378
aphonia,3,0,0,-0.174,0.325,-0.359,47.0,49.0,0.438,0.0,-1.261,0.913
esophagitis,3,0,0,0.406,0.472,0.442,35.0,32.0,0.089,0.0,0.186,0.627
acute bronchitis,2,0,0,0.377,0.452,0.377,24.5,24.5,0.106,0.0,-0.572,1.326
gingival recession,1,0,0,-0.44,-0.44,-0.44,49.0,49.0,,0.0,,
hyperventilation,1,0,0,0.436,0.436,0.436,0.0,0.0,,0.0,,
photodermatitis,1,0,0,0.425,0.425,0.425,49.0,49.0,,0.0,,
auditory hallucination,2,0,0,0.006,0.434,0.006,43.5,43.5,0.606,0.0,-5.437,5.449
cataplexy,1,0,0,-0.418,-0.418,-0.418,49.0,49.0,,0.0,,
neutropenia,1,0,0,-0.4,-0.4,-0.4,49.0,49.0,,0.0,,
kyphosis,2,1,0,-0.191,0.398,-0.191,49.0,49.0,0.833,0.0,-7.674,7.292
amenorrhea,2,0,0,-0.034,0.33,-0.034,49.0,49.0,0.514,0.0,-4.653,4.586
nocturnal enuresis,3,0,0,0.377,0.392,0.378,41.0,46.0,0.016,0.0,0.338,0.416
shallow breathing,2,0,0,0.389,0.401,0.389,34.5,34.5,0.016,0.0,0.248,0.531
cyanosis,2,0,0,0.382,0.387,0.382,33.5,33.5,0.008,0.0,0.306,0.457
guilt,1,0,0,0.364,0.364,0.364,33.0,33.0,,0.0,,
photophobia,2,0,0,0.385,0.407,0.385,40.0,40.0,0.032,0.0,0.099,0.671
mitral insufficiency,1,0,0,0.361,0.361,0.361,25.0,25.0,,0.0,,
grandiosity,1,0,0,0.361,0.361,0.361,49.0,49.0,,0.0,,
nerve injury,2,0,0,0.337,0.358,0.337,11.5,11.5,0.03,0.0,0.066,0.608
crackles,2,0,0,0.008,0.367,0.008,47.5,47.5,0.508,0.0,-4.557,4.573
adrenal crisis,1,0,0,0.35,0.35,0.35,49.0,49.0,,0.0,,
anaphylaxis,2,0,0,-0.002,0.347,-0.002,47.5,47.5,0.493,0.0,-4.433,4.43
hypomania,2,0,0,0.407,0.466,0.407,25.0,25.0,0.082,0.0,-0.333,1.148
rhinitis,1,0,0,0.349,0.349,0.349,49.0,49.0,,0.0,,
crepitus,1,0,0,-0.344,-0.344,-0.344,49.0,49.0,,0.0,,
depersonalization,1,0,0,0.328,0.328,0.328,33.0,33.0,,0.0,,
viral pneumonia,2,0,0,-0.002,0.313,-0.002,41.0,41.0,0.445,0.0,-4.004,3.999
sensitivity to sound,1,0,0,0.308,0.308,0.308,25.0,25.0,,0.0,,
asphyxia,2,0,0,0.331,0.355,0.331,35.0,35.0,0.035,0.0,0.015,0.646
nystagmus,1,0,0,-0.303,-0.303,-0.303,49.0,49.0,,0.0,,
neck mass,2,0,0,0.343,0.386,0.343,24.5,24.5,0.06,0.0,-0.197,0.883
blushing,1,0,0,0.3,0.3,0.3,23.0,23.0,,0.0,,
aphasia,1,1,1,0.851,0.851,0.851,33.0,33.0,,0.0,,
biliary colic,1,1,0,0.736,0.736,0.736,33.0,33.0,,0.0,,
hepatotoxicity,1,0,0,0.687,0.687,0.687,33.0,33.0,,0.0,,
renal colic,1,0,0,0.622,0.622,0.622,33.0,33.0,,0.0,,
conjunctivitis,1,0,0,0.609,0.609,0.609,48.0,48.0,,0.0,,
cough,2,0,0,0.463,0.592,0.463,41.0,41.0,0.182,0.0,-1.168,2.095
bronchitis,2,0,0,0.462,0.585,0.462,40.0,40.0,0.173,0.0,-1.095,2.019
croup,1,0,0,0.579,0.579,0.579,33.0,33.0,,0.0,,
osteophyte,1,0,0,0.575,0.575,0.575,38.0,38.0,,0.0,,
nasal congestion,1,0,0,0.568,0.568,0.568,46.0,46.0,,0.0,,
hyperlipidemia,1,0,0,0.527,0.527,0.527,31.0,31.0,,0.0,,
focal seizure,2,0,0,0.422,0.509,0.422,12.0,12.0,0.124,0.002,-0.695,1.538
sinusitis,1,0,0,0.5,0.5,0.5,35.0,35.0,,0.0,,
phlegm,3,0,0,0.389,0.487,0.345,40.3,42.0,0.085,0.0,0.178,0.6
angioedema,1,0,0,0.475,0.475,0.475,28.0,28.0,,0.0,,
otitis media,1,0,0,0.443,0.443,0.443,33.0,33.0,,0.0,,
otitis,1,0,0,0.41,0.41,0.41,36.0,36.0,,0.0,,
wheeze,1,0,0,0.407,0.407,0.407,30.0,30.0,,0.0,,
intermenstrual bleeding,1,0,0,0.406,0.406,0.406,39.0,39.0,,0.0,,
yawn,2,0,0,0.366,0.395,0.366,23.0,23.0,0.042,0.0,-0.011,0.742
melena,1,0,0,0.394,0.394,0.394,43.0,43.0,,0.0,,
rheum,1,0,0,0.39,0.39,0.39,0.0,0.0,,0.0,,
polyneuropathy,1,0,0,0.387,0.387,0.387,25.0,25.0,,0.0,,
bone tumor,2,0,0,0.366,0.384,0.366,37.0,37.0,0.025,0.0,0.138,0.594
pruritus ani,2,0,0,-0.001,0.38,-0.001,45.0,45.0,0.538,0.0,-4.838,4.836
muscle atrophy,2,0,0,0.388,0.399,0.388,39.5,39.5,0.015,0.0,0.256,0.52
onychorrhexis,1,0,0,0.371,0.371,0.371,28.0,28.0,,0.0,,
vomiting,1,0,0,0.37,0.37,0.37,31.0,31.0,,0.0,,
polydipsia,2,0,0,-0.013,0.343,-0.013,49.0,49.0,0.503,0.0,-4.536,4.51
ataxia,1,0,0,0.369,0.369,0.369,49.0,49.0,,0.0,,
dysgeusia,1,0,0,0.365,0.365,0.365,32.0,32.0,,0.0,,
perspiration,1,0,0,0.364,0.364,0.364,6.0,6.0,,0.001,,
chancre,2,0,0,-0.025,0.31,-0.025,45.0,45.0,0.474,0.0,-4.282,4.232
atheroma,2,0,0,0.327,0.339,0.327,16.0,16.0,0.017,0.046,0.176,0.478
rectal pain,1,0,0,0.332,0.332,0.332,25.0,25.0,,0.0,,
dyspareunia,1,0,0,0.332,0.332,0.332,28.0,28.0,,0.0,,
malabsorption,1,0,0,0.328,0.328,0.328,28.0,28.0,,0.0,,
headache,1,0,0,0.318,0.318,0.318,28.0,28.0,,0.0,,
binge eating,2,0,0,0.345,0.375,0.345,43.0,43.0,0.042,0.0,-0.033,0.723
hypoxia,1,0,0,-0.315,-0.315,-0.315,49.0,49.0,,0.0,,
myoclonus,1,0,0,-0.311,-0.311,-0.311,49.0,49.0,,0.0,,
arthralgia,1,0,0,0.307,0.307,0.307,33.0,33.0,,0.0,,
abdominal pain,1,0,0,0.306,0.306,0.306,37.0,37.0,,0.0,,
desquamation,2,0,0,0.32,0.335,0.32,17.0,17.0,0.021,0.001,0.134,0.507
hypercalcaemia,2,0,0,0.32,0.337,0.32,23.0,23.0,0.024,0.0,0.105,0.536
hyponatremia,1,0,0,0.302,0.302,0.302,45.0,45.0,,0.0,,
floater,1,0,0,0.3,0.3,0.3,32.0,32.0,,0.0,,
palpitations,1,0,0,0.349,0.349,0.349,49.0,49.0,,0.0,,
low grade fever,3,0,0,0.459,0.463,0.458,44.7,47.0,0.003,0.0,0.452,0.467
fever,3,0,0,0.488,0.579,0.446,42.3,42.0,0.079,0.0,0.291,0.684
shortness of breath,1,0,0,0.331,0.331,0.331,36.0,36.0,,0.0,,
water retention,1,1,0,0.773,0.773,0.773,49.0,49.0,,0.0,,
mood swing,1,0,0,0.669,0.669,0.669,41.0,41.0,,0.0,,
colitis,1,0,0,0.665,0.665,0.665,41.0,41.0,,0.0,,
sexual dysfunction,1,0,0,0.661,0.661,0.661,46.0,46.0,,0.0,,
bowel obstruction,1,0,0,0.604,0.604,0.604,2.0,2.0,,0.039,,
intracranial pressure,1,0,0,0.542,0.542,0.542,46.0,46.0,,0.0,,
encephalitis,1,0,0,0.513,0.513,0.513,46.0,46.0,,0.0,,
periodontal disease,1,0,0,0.508,0.508,0.508,18.0,18.0,,0.0,,
hematuria,1,0,0,0.489,0.489,0.489,49.0,49.0,,0.0,,
sputum,1,0,0,0.464,0.464,0.464,46.0,46.0,,0.0,,
testicular pain,1,0,0,0.462,0.462,0.462,46.0,46.0,,0.0,,
hyperemesis gravidarum,1,0,0,0.425,0.425,0.425,46.0,46.0,,0.0,,
"postural orthostatic
tachycardia syndrome",1,0,0,0.424,0.424,0.424,7.0,7.0,,0.0,,
erythema,1,0,0,-0.421,-0.421,-0.421,49.0,49.0,,0.0,,
hematoma,1,0,0,0.418,0.418,0.418,46.0,46.0,,0.0,,
rectal prolapse,1,0,0,0.416,0.416,0.416,41.0,41.0,,0.0,,
carpal tunnel syndrome,1,0,0,0.411,0.411,0.411,0.0,0.0,,0.0,,
impulsivity,1,0,0,0.407,0.407,0.407,18.0,18.0,,0.0,,
pulmonary edema,1,0,0,0.397,0.397,0.397,41.0,41.0,,0.0,,
developmental disability,1,0,0,0.394,0.394,0.394,46.0,46.0,,0.0,,
breakthrough bleeding,1,0,0,0.394,0.394,0.394,41.0,41.0,,0.0,,
tremor,1,0,0,0.393,0.393,0.393,0.0,0.0,,0.0,,
dysphagia,1,0,0,0.373,0.373,0.373,46.0,46.0,,0.0,,
goitre,1,0,0,0.373,0.373,0.373,41.0,41.0,,0.0,,
fecal incontinence,1,0,0,0.366,0.366,0.366,24.0,24.0,,0.0,,
sharp pain,1,0,0,0.366,0.366,0.366,0.0,0.0,,0.0,,
subdural hematoma,1,0,0,0.365,0.365,0.365,41.0,41.0,,0.0,,
stridor,1,0,0,0.358,0.358,0.358,46.0,46.0,,0.0,,
round ligament pain,1,0,0,0.354,0.354,0.354,49.0,49.0,,0.0,,
weakness,1,0,0,0.354,0.354,0.354,0.0,0.0,,0.005,,
dystonia,1,0,0,0.353,0.353,0.353,46.0,46.0,,0.0,,
"excessive daytime
sleepiness",1,0,0,0.353,0.353,0.353,41.0,41.0,,0.0,,
red eye,1,0,0,0.349,0.349,0.349,41.0,41.0,,0.0,,
vaginitis,1,0,0,0.347,0.347,0.347,0.0,0.0,,0.0,,
mouth ulcer,1,0,0,0.345,0.345,0.345,18.0,18.0,,0.0,,
stomach rumble,1,0,0,0.342,0.342,0.342,41.0,41.0,,0.0,,
lymphedema,1,0,0,0.332,0.332,0.332,41.0,41.0,,0.0,,
