,lag,lag,lag,lag,lag,lag,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr
,mean,median,std,min,max,count,mean,median,std,min,max
feature,,,,,,,,,,,
search_trends_aphasia,33.0,33.0,,33,33,1,0.851,0.851,,0.851,0.851
search_trends_tonsillitis,15.667,14.5,4.844,11,24,6,0.83,0.864,0.114,0.604,0.911
search_trends_water_retention,49.0,49.0,,49,49,1,0.773,0.773,,0.773,0.773
search_trends_allergic_conjunctivitis,23.0,23.0,32.527,0,46,2,0.737,0.737,0.098,0.668,0.806
search_trends_biliary_colic,33.0,33.0,,33,33,1,0.736,0.736,,0.736,0.736
search_trends_hepatotoxicity,33.0,33.0,,33,33,1,0.687,0.687,,0.687,0.687
search_trends_mood_swing,41.0,41.0,,41,41,1,0.669,0.669,,0.669,0.669
search_trends_colitis,41.0,41.0,,41,41,1,0.665,0.665,,0.665,0.665
search_trends_sexual_dysfunction,46.0,46.0,,46,46,1,0.661,0.661,,0.661,0.661
search_trends_renal_colic,33.0,33.0,,33,33,1,0.622,0.622,,0.622,0.622
search_trends_cluster_headache,31.0,31.0,,31,31,1,0.619,0.619,,0.619,0.619
search_trends_pleurisy,26.0,26.0,,26,26,1,0.616,0.616,,0.616,0.616
search_trends_polycythemia,49.0,49.0,,49,49,1,0.609,0.609,,0.609,0.609
search_trends_conjunctivitis,48.0,48.0,,48,48,1,0.609,0.609,,0.609,0.609
search_trends_bowel_obstruction,2.0,2.0,,2,2,1,0.604,0.604,,0.604,0.604
search_trends_erythema_chronicum_migrans,26.0,26.0,,26,26,1,0.587,0.587,,0.587,0.587
search_trends_croup,33.0,33.0,,33,33,1,0.579,0.579,,0.579,0.579
search_trends_pericarditis,44.667,44.0,4.041,41,49,3,0.575,0.544,0.178,0.414,0.767
search_trends_osteophyte,38.0,38.0,,38,38,1,0.575,0.575,,0.575,0.575
search_trends_nasal_congestion,46.0,46.0,,46,46,1,0.568,0.568,,0.568,0.568
search_trends_tenderness,18.5,18.5,20.506,4,33,2,0.563,0.563,0.091,0.498,0.627
search_trends_common_cold,47.0,47.0,,47,47,1,0.559,0.559,,0.559,0.559
search_trends_encephalopathy,49.0,49.0,,49,49,1,0.542,0.542,,0.542,0.542
search_trends_intracranial_pressure,46.0,46.0,,46,46,1,0.542,0.542,,0.542,0.542
search_trends_hyperlipidemia,31.0,31.0,,31,31,1,0.527,0.527,,0.527,0.527
search_trends_photopsia,47.5,47.5,2.121,46,49,2,0.514,0.514,0.204,0.37,0.658
search_trends_encephalitis,46.0,46.0,,46,46,1,0.513,0.513,,0.513,0.513
search_trends_periodontal_disease,18.0,18.0,,18,18,1,0.508,0.508,,0.508,0.508
search_trends_sinusitis,35.0,35.0,,35,35,1,0.5,0.5,,0.5,0.5
search_trends_chest_pain,46.0,46.0,0.0,46,46,2,0.493,0.493,0.113,0.413,0.573
search_trends_hematuria,49.0,49.0,,49,49,1,0.489,0.489,,0.489,0.489
search_trends_fever,42.333,42.0,6.506,36,49,3,0.488,0.446,0.079,0.438,0.579
search_trends_visual_acuity,13.0,13.0,15.556,2,24,2,0.479,0.479,0.206,0.333,0.625
search_trends_angioedema,28.0,28.0,,28,28,1,0.475,0.475,,0.475,0.475
search_trends_ageusia,16.4,12.0,15.143,0,38,5,0.474,0.528,0.106,0.337,0.562
search_trends_sputum,46.0,46.0,,46,46,1,0.464,0.464,,0.464,0.464
search_trends_cough,41.0,41.0,11.314,33,49,2,0.463,0.463,0.182,0.335,0.592
search_trends_bronchitis,40.0,40.0,9.899,33,47,2,0.462,0.462,0.173,0.34,0.585
search_trends_testicular_pain,46.0,46.0,,46,46,1,0.462,0.462,,0.462,0.462
search_trends_low_grade_fever,44.667,47.0,5.859,38,49,3,0.459,0.458,0.003,0.458,0.463
search_trends_otitis_media,33.0,33.0,,33,33,1,0.443,0.443,,0.443,0.443
search_trends_hyperventilation,0.0,0.0,,0,0,1,0.436,0.436,,0.436,0.436
search_trends_hyperemesis_gravidarum,46.0,46.0,,46,46,1,0.425,0.425,,0.425,0.425
search_trends_photodermatitis,49.0,49.0,,49,49,1,0.425,0.425,,0.425,0.425
search_trends_postural_orthostatic_tachycardia_syndrome,7.0,7.0,,7,7,1,0.424,0.424,,0.424,0.424
search_trends_focal_seizure,12.0,12.0,16.971,0,24,2,0.422,0.422,0.124,0.334,0.509
search_trends_hypoxemia,12.5,0.5,24.338,0,49,4,0.421,0.404,0.108,0.328,0.548
search_trends_ptosis,23.0,23.0,32.527,0,46,2,0.42,0.42,0.125,0.332,0.509
search_trends_hematoma,46.0,46.0,,46,46,1,0.418,0.418,,0.418,0.418
search_trends_burn,20.0,20.0,0.0,20,20,2,0.417,0.417,0.04,0.389,0.446
search_trends_rectal_prolapse,41.0,41.0,,41,41,1,0.416,0.416,,0.416,0.416
search_trends_carpal_tunnel_syndrome,0.0,0.0,,0,0,1,0.411,0.411,,0.411,0.411
search_trends_otitis,36.0,36.0,,36,36,1,0.41,0.41,,0.41,0.41
search_trends_hypomania,25.0,25.0,33.941,1,49,2,0.407,0.407,0.082,0.349,0.466
search_trends_impulsivity,18.0,18.0,,18,18,1,0.407,0.407,,0.407,0.407
search_trends_wheeze,30.0,30.0,,30,30,1,0.407,0.407,,0.407,0.407
search_trends_esophagitis,35.0,32.0,12.767,24,49,3,0.406,0.442,0.089,0.305,0.472
search_trends_intermenstrual_bleeding,39.0,39.0,,39,39,1,0.406,0.406,,0.406,0.406
search_trends_pneumonia,49.0,49.0,0.0,49,49,2,0.404,0.404,0.062,0.36,0.447
search_trends_pulmonary_edema,41.0,41.0,,41,41,1,0.397,0.397,,0.397,0.397
search_trends_restless_legs_syndrome,0.0,0.0,,0,0,1,0.396,0.396,,0.396,0.396
search_trends_developmental_disability,46.0,46.0,,46,46,1,0.394,0.394,,0.394,0.394
search_trends_melena,43.0,43.0,,43,43,1,0.394,0.394,,0.394,0.394
search_trends_breakthrough_bleeding,41.0,41.0,,41,41,1,0.394,0.394,,0.394,0.394
search_trends_tremor,0.0,0.0,,0,0,1,0.393,0.393,,0.393,0.393
search_trends_throat_irritation,21.75,14.5,16.256,12,46,4,0.392,0.354,0.092,0.332,0.527
search_trends_rheum,0.0,0.0,,0,0,1,0.39,0.39,,0.39,0.39
search_trends_phlegm,40.333,42.0,6.658,33,46,3,0.389,0.345,0.085,0.335,0.487
search_trends_shallow_breathing,34.5,34.5,16.263,23,46,2,0.389,0.389,0.016,0.378,0.401
search_trends_muscle_atrophy,39.5,39.5,9.192,33,46,2,0.388,0.388,0.015,0.378,0.399
search_trends_polyneuropathy,25.0,25.0,,25,25,1,0.387,0.387,,0.387,0.387
search_trends_photophobia,40.0,40.0,12.728,31,49,2,0.385,0.385,0.032,0.362,0.407
search_trends_cyanosis,33.5,33.5,21.92,18,49,2,0.382,0.382,0.008,0.376,0.387
search_trends_nocturnal_enuresis,41.0,46.0,11.358,28,49,3,0.377,0.378,0.016,0.361,0.392
search_trends_acute_bronchitis,24.5,24.5,34.648,0,49,2,0.377,0.377,0.106,0.302,0.452
search_trends_goitre,41.0,41.0,,41,41,1,0.373,0.373,,0.373,0.373
search_trends_dysphagia,46.0,46.0,,46,46,1,0.373,0.373,,0.373,0.373
search_trends_onychorrhexis,28.0,28.0,,28,28,1,0.371,0.371,,0.371,0.371
search_trends_vomiting,31.0,31.0,,31,31,1,0.37,0.37,,0.37,0.37
search_trends_asthma,46.0,46.0,,46,46,1,0.369,0.369,,0.369,0.369
search_trends_ataxia,49.0,49.0,,49,49,1,0.369,0.369,,0.369,0.369
search_trends_bone_tumor,37.0,37.0,12.728,28,46,2,0.366,0.366,0.025,0.348,0.384
search_trends_yawn,23.0,23.0,32.527,0,46,2,0.366,0.366,0.042,0.336,0.395
search_trends_fecal_incontinence,24.0,24.0,,24,24,1,0.366,0.366,,0.366,0.366
search_trends_sharp_pain,0.0,0.0,,0,0,1,0.366,0.366,,0.366,0.366
search_trends_dysgeusia,32.0,32.0,,32,32,1,0.365,0.365,,0.365,0.365
search_trends_subdural_hematoma,41.0,41.0,,41,41,1,0.365,0.365,,0.365,0.365
search_trends_anosmia,25.5,26.0,20.897,1,49,6,0.365,0.335,0.068,0.311,0.463
search_trends_guilt,33.0,33.0,,33,33,1,0.364,0.364,,0.364,0.364
search_trends_perspiration,6.0,6.0,,6,6,1,0.364,0.364,,0.364,0.364
search_trends_grandiosity,49.0,49.0,,49,49,1,0.361,0.361,,0.361,0.361
search_trends_mitral_insufficiency,25.0,25.0,,25,25,1,0.361,0.361,,0.361,0.361
search_trends_stridor,46.0,46.0,,46,46,1,0.358,0.358,,0.358,0.358
search_trends_weakness,0.0,0.0,,0,0,1,0.354,0.354,,0.354,0.354
search_trends_round_ligament_pain,49.0,49.0,,49,49,1,0.354,0.354,,0.354,0.354
search_trends_dystonia,46.0,46.0,,46,46,1,0.353,0.353,,0.353,0.353
search_trends_excessive_daytime_sleepiness,41.0,41.0,,41,41,1,0.353,0.353,,0.353,0.353
search_trends_adrenal_crisis,49.0,49.0,,49,49,1,0.35,0.35,,0.35,0.35
search_trends_palpitations,49.0,49.0,,49,49,1,0.349,0.349,,0.349,0.349
search_trends_red_eye,41.0,41.0,,41,41,1,0.349,0.349,,0.349,0.349
search_trends_rhinitis,49.0,49.0,,49,49,1,0.349,0.349,,0.349,0.349
search_trends_vaginitis,0.0,0.0,,0,0,1,0.347,0.347,,0.347,0.347
search_trends_binge_eating,43.0,43.0,4.243,40,46,2,0.345,0.345,0.042,0.315,0.375
search_trends_mouth_ulcer,18.0,18.0,,18,18,1,0.345,0.345,,0.345,0.345
search_trends_upper_respiratory_tract_infection,47.333,47.0,1.528,46,49,3,0.343,0.332,0.022,0.328,0.369
search_trends_neck_mass,24.5,24.5,34.648,0,49,2,0.343,0.343,0.06,0.301,0.386
search_trends_stomach_rumble,41.0,41.0,,41,41,1,0.342,0.342,,0.342,0.342
search_trends_itch,0.0,0.0,,0,0,1,0.34,0.34,,0.34,0.34
search_trends_hyperthermia,30.333,40.0,22.143,5,46,3,0.337,0.322,0.034,0.314,0.376
search_trends_swollen_feet,21.0,21.0,,21,21,1,0.337,0.337,,0.337,0.337
search_trends_nerve_injury,11.5,11.5,16.263,0,23,2,0.337,0.337,0.03,0.316,0.358
search_trends_abdominal_obesity,49.0,49.0,0.0,49,49,2,0.333,0.333,0.026,0.315,0.351
search_trends_rectal_pain,25.0,25.0,,25,25,1,0.332,0.332,,0.332,0.332
search_trends_dyspareunia,28.0,28.0,,28,28,1,0.332,0.332,,0.332,0.332
search_trends_lymphedema,41.0,41.0,,41,41,1,0.332,0.332,,0.332,0.332
search_trends_sore_throat,44.667,46.0,2.309,42,46,3,0.331,0.311,0.035,0.31,0.371
search_trends_asphyxia,35.0,35.0,15.556,24,46,2,0.331,0.331,0.035,0.306,0.355
search_trends_shortness_of_breath,36.0,36.0,,36,36,1,0.331,0.331,,0.331,0.331
search_trends_psychosis,49.0,49.0,,49,49,1,0.331,0.331,,0.331,0.331
search_trends_shyness,41.0,41.0,,41,41,1,0.331,0.331,,0.331,0.331
search_trends_myocardial_infarction,45.0,45.0,,45,45,1,0.33,0.33,,0.33,0.33
search_trends_suicidal_ideation,0.0,0.0,,0,0,1,0.33,0.33,,0.33,0.33
search_trends_depersonalization,33.0,33.0,,33,33,1,0.328,0.328,,0.328,0.328
search_trends_malabsorption,28.0,28.0,,28,28,1,0.328,0.328,,0.328,0.328
search_trends_motion_sickness,46.0,46.0,,46,46,1,0.328,0.328,,0.328,0.328
search_trends_atheroma,16.0,16.0,22.627,0,32,2,0.327,0.327,0.017,0.315,0.339
search_trends_strabismus,41.0,41.0,,41,41,1,0.326,0.326,,0.326,0.326
search_trends_inflammation,49.0,49.0,,49,49,1,0.324,0.324,,0.324,0.324
search_trends_gastroparesis,41.0,41.0,,41,41,1,0.323,0.323,,0.323,0.323
search_trends_cheilitis,41.0,41.0,,41,41,1,0.322,0.322,,0.322,0.322
search_trends_chills,46.0,46.0,4.243,43,49,2,0.321,0.321,0.0,0.321,0.322
search_trends_hypercalcaemia,23.0,23.0,32.527,0,46,2,0.32,0.32,0.024,0.303,0.337
search_trends_desquamation,17.0,17.0,19.799,3,31,2,0.32,0.32,0.021,0.306,0.335
search_trends_facial_swelling,0.0,0.0,,0,0,1,0.319,0.319,,0.319,0.319
search_trends_dysphoria,41.0,41.0,,41,41,1,0.319,0.319,,0.319,0.319
search_trends_headache,28.0,28.0,,28,28,1,0.318,0.318,,0.318,0.318
search_trends_leukorrhea,41.0,41.0,,41,41,1,0.317,0.317,,0.317,0.317
search_trends_peripheral_neuropathy,41.0,41.0,,41,41,1,0.31,0.31,,0.31,0.31
search_trends_sensitivity_to_sound,25.0,25.0,,25,25,1,0.308,0.308,,0.308,0.308
search_trends_depression,24.5,24.5,2.121,23,26,2,0.308,0.308,0.004,0.305,0.31
search_trends_arthralgia,33.0,33.0,,33,33,1,0.307,0.307,,0.307,0.307
search_trends_abdominal_pain,37.0,37.0,,37,37,1,0.306,0.306,,0.306,0.306
search_trends_dentin_hypersensitivity,46.0,46.0,,46,46,1,0.305,0.305,,0.305,0.305
search_trends_hot_flash,41.0,41.0,,41,41,1,0.304,0.304,,0.304,0.304
search_trends_hyponatremia,45.0,45.0,,45,45,1,0.302,0.302,,0.302,0.302
search_trends_hypertrophy,41.0,41.0,,41,41,1,0.301,0.301,,0.301,0.301
search_trends_scar,34.0,34.0,,34,34,1,0.301,0.301,,0.301,0.301
search_trends_floater,32.0,32.0,,32,32,1,0.3,0.3,,0.3,0.3
search_trends_blushing,23.0,23.0,,23,23,1,0.3,0.3,,0.3,0.3
search_trends_crackles,47.5,47.5,2.121,46,49,2,0.008,0.008,0.508,-0.351,0.367
search_trends_auditory_hallucination,43.5,43.5,7.778,38,49,2,0.006,0.006,0.606,-0.422,0.434
search_trends_pruritus_ani,45.0,45.0,5.657,41,49,2,-0.001,-0.001,0.538,-0.382,0.38
search_trends_anaphylaxis,47.5,47.5,2.121,46,49,2,-0.002,-0.002,0.493,-0.35,0.347
search_trends_viral_pneumonia,41.0,41.0,11.314,33,49,2,-0.002,-0.002,0.445,-0.317,0.313
search_trends_polydipsia,49.0,49.0,0.0,49,49,2,-0.013,-0.013,0.503,-0.369,0.343
search_trends_chancre,45.0,45.0,5.657,41,49,2,-0.025,-0.025,0.474,-0.36,0.31
search_trends_amenorrhea,49.0,49.0,0.0,49,49,2,-0.034,-0.034,0.514,-0.397,0.33
search_trends_papule,47.5,47.5,2.121,46,49,2,-0.123,-0.123,0.746,-0.651,0.404
search_trends_aphonia,47.0,49.0,3.464,43,49,3,-0.174,-0.359,0.438,-0.49,0.325
search_trends_kyphosis,49.0,49.0,0.0,49,49,2,-0.191,-0.191,0.833,-0.78,0.398
search_trends_nystagmus,49.0,49.0,,49,49,1,-0.303,-0.303,,-0.303,-0.303
search_trends_fatty_liver_disease,49.0,49.0,,49,49,1,-0.306,-0.306,,-0.306,-0.306
search_trends_myoclonus,49.0,49.0,,49,49,1,-0.311,-0.311,,-0.311,-0.311
search_trends_hyperkalemia,49.0,49.0,,49,49,1,-0.314,-0.314,,-0.314,-0.314
search_trends_hypoxia,49.0,49.0,,49,49,1,-0.315,-0.315,,-0.315,-0.315
search_trends_crepitus,49.0,49.0,,49,49,1,-0.344,-0.344,,-0.344,-0.344
search_trends_neutropenia,49.0,49.0,,49,49,1,-0.4,-0.4,,-0.4,-0.4
search_trends_cataplexy,49.0,49.0,,49,49,1,-0.418,-0.418,,-0.418,-0.418
search_trends_erythema,49.0,49.0,,49,49,1,-0.421,-0.421,,-0.421,-0.421
search_trends_gingival_recession,49.0,49.0,,49,49,1,-0.44,-0.44,,-0.44,-0.44
search_trends_dysautonomia,49.0,49.0,,49,49,1,-0.593,-0.593,,-0.593,-0.593
