feature,abbr,lag,best_orig_corr,p_value
cumulative_persons_fully_vaccinated,TAS,49,0.667790292991175,2.5192379914133332e-39
cumulative_vaccine_doses_administered,TAS,49,0.6551964964528105,1.941164163512948e-37
cumulative_persons_vaccinated,TAS,49,0.6343193170070678,1.6768177350761442e-34
new_vaccine_doses_administered,TAS,48,0.4599403999388813,1.0015514470543671e-16
cumulative_persons_vaccinated,NT,49,0.4200486023616311,5.37497961537001e-14
new_persons_fully_vaccinated,TAS,48,0.411054164235344,2.309131709414083e-13
cumulative_vaccine_doses_administered,NT,49,0.3871581311488371,5.973660017295254e-12
new_vaccine_doses_administered,NT,48,0.3461611081482508,1.2046738165679648e-09
new_vaccine_doses_administered,QLD,44,0.344958931185672,1.3721313145813592e-09
cumulative_persons_fully_vaccinated,NT,49,0.335540707568462,3.6182729220786845e-09
cumulative_persons_vaccinated,QLD,44,0.3123134676030605,4.5452743854793533e-08
cumulative_persons_vaccinated,NSW,49,-0.3170638406036909,2.7382961083408835e-08
