,lag,lag,lag,lag,lag,lag,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr
,mean,median,std,min,max,count,mean,median,std,min,max
feature,,,,,,,,,,,
current_intensive_care_patients,25.8,35.0,22.559,0,49,45,0.522,0.51,0.109,0.318,0.764
current_hospitalized_patients,27.304,44.0,22.978,0,49,46,0.513,0.535,0.117,0.302,0.778
current_ventilator_patients,44.409,49.0,14.388,0,49,22,0.486,0.481,0.121,0.325,0.733
cumulative_hospitalized_patients,10.762,6.0,13.764,0,49,42,0.477,0.473,0.106,0.302,0.697
new_hospitalized_patients,28.905,44.0,22.338,0,49,42,0.471,0.453,0.117,0.309,0.809
cumulative_ventilator_patients,21.0,17.0,20.396,1,49,4,0.464,0.464,0.006,0.457,0.47
cumulative_intensive_care_patients,6.0,0.5,9.254,0,25,12,0.43,0.451,0.055,0.33,0.496
new_intensive_care_patients,48.333,49.0,1.155,47,49,3,0.367,0.363,0.029,0.34,0.398
