feature,abbr,lag,best_orig_corr,p_value
mobility_parks,KS,48,0.4948510254901362,1.4682130650978823e-38
mobility_parks,DE,6,0.4685392681945068,9.355239061590696e-34
mobility_parks,NE,0,0.4657266088164267,8.680807373547097e-31
mobility_parks,UT,0,0.4648512707089551,4.964800050990244e-30
mobility_parks,CT,42,0.4308745154923481,1.087300369157025e-28
mobility_parks,OH,0,0.4261638187040984,5.9794236707675e-28
mobility_parks,WI,0,0.3937633428160866,2.9808676287964055e-22
mobility_parks,ND,0,0.3879761330260666,9.34107075744504e-21
mobility_parks,MT,0,0.3851604477287611,1.8271704079824481e-22
mobility_parks,MN,0,0.3786790950855076,4.742637400565884e-20
mobility_parks,MI,0,0.3718151122819864,1.2248973206020645e-18
mobility_parks,ID,0,0.3671995915146651,6.79964961783102e-18
mobility_parks,MD,46,0.3619739399570621,4.3485234107656143e-20
mobility_parks,SD,0,0.352819436964418,7.848248165370956e-19
mobility_parks,AK,0,0.3421173705095217,1.877482975213585e-14
mobility_grocery_and_pharmacy,WY,7,0.3355598006216171,1.796346348755521e-13
mobility_parks,IL,46,0.3354485102400724,2.677057424164741e-17
mobility_grocery_and_pharmacy,CA,32,0.3313131075831704,6.199087138121879e-17
mobility_transit_stations,CT,5,0.3235384101001919,3.9188343287394245e-16
mobility_grocery_and_pharmacy,AR,5,0.319093892709805,1.3467673032373845e-15
mobility_parks,IN,3,0.3169509375045896,7.275485594371915e-15
mobility_parks,OK,48,0.3092559369906096,7.73015625603818e-15
mobility_parks,AZ,49,-0.3037823938060063,2.3204746890032842e-14
mobility_grocery_and_pharmacy,KS,49,-0.3055091996683298,1.627754647959883e-14
mobility_transit_stations,CA,49,-0.3073638304066802,1.1093314448181528e-14
mobility_parks,VA,49,-0.31315504449956,3.2916474269191375e-15
mobility_grocery_and_pharmacy,AZ,49,-0.3303509068147485,7.606133250825932e-17
mobility_transit_stations,NJ,49,-0.3311656511833239,6.324331861277911e-17
mobility_grocery_and_pharmacy,MD,49,-0.3320036581322522,5.227884830603982e-17
mobility_parks,TX,49,-0.3334434690032222,3.764090484817098e-17
mobility_grocery_and_pharmacy,ND,49,-0.333638468496924,3.5998153800940865e-17
mobility_parks,NM,49,-0.3368590837187004,1.71472504415288e-17
mobility_transit_stations,NY,49,-0.3417120639485181,5.516503382207477e-18
mobility_transit_stations,MD,49,-0.3517740124671277,4.9264800564388305e-19
mobility_parks,AR,49,-0.3529181049134341,3.722461916753409e-19
mobility_parks,AL,49,-0.3533100674582312,3.380800621603924e-19
mobility_parks,RI,49,-0.3541945519127715,2.7192958992629265e-19
mobility_grocery_and_pharmacy,NJ,49,-0.3586682446017623,8.944875201362758e-20
mobility_grocery_and_pharmacy,UT,49,-0.3609484070297654,5.040741789531723e-20
mobility_transit_stations,ND,49,-0.3617785325449325,4.086143625163808e-20
mobility_parks,NH,49,-0.3725566357149226,2.5290806773336868e-21
mobility_transit_stations,DE,49,-0.3828793854519265,1.5932027742548381e-22
mobility_grocery_and_pharmacy,OH,49,-0.3830745321103357,1.5106243940818031e-22
mobility_transit_stations,NE,49,-0.3962602489421779,3.809451885519238e-24
mobility_transit_stations,WI,49,-0.4001337500156056,1.2516196017095841e-24
mobility_transit_stations,KS,49,-0.4073243011903079,1.5243403899210974e-25
mobility_parks,CO,49,-0.4092984270752078,8.474580323055312e-26
mobility_transit_stations,OH,49,-0.4203498388982736,2.944487840464635e-27
mobility_parks,MA,49,-0.4333264009310038,4.8438619156681055e-29
mobility_grocery_and_pharmacy,NY,49,-0.4339513902431813,3.9564873403041934e-29
