feature,abbr,lag,best_orig_corr,p_value
IN,NM,49,0.922663338913812,2.915191627907389e-261
NM,IN,49,0.922663338913812,2.915191627904874e-261
DE,PA,44,0.9028459891822108,4.750823448064351e-231
PA,DE,44,0.9028459891822108,4.750823448064351e-231
NY,NJ,49,0.8990957722667083,9.08468060048506e-227
NJ,NY,49,0.8990957722667083,9.08468060048506e-227
PA,MD,49,0.8937182141164453,4.2996119629541545e-220
IN,UT,49,0.8936583074414581,5.078750912572122e-220
IL,NE,49,0.8904006029733069,3.758575023253869e-216
NE,IL,49,0.8904006029733069,3.758575023253869e-216
OK,IN,49,0.8883754682281008,8.300847063952816e-214
IN,OK,49,0.8883754682281008,8.300847063952816e-214
WI,MT,49,0.8843610104451368,2.7206076306215613e-209
MT,WI,49,0.8843610104451368,2.7206076306215613e-209
MT,IA,49,0.8792741642821138,8.347112731363816e-204
SC,OR,49,0.8773106728713216,9.407140582291654e-202
OR,SC,49,0.8773106728713216,9.407140582291654e-202
SC,VA,49,0.8753695842508231,9.280956500202937e-200
SC,OK,49,0.8728190529763004,3.4485274884291495e-197
PA,OH,44,0.8699705602700774,7.640119511824805e-194
MT,AK,49,0.8692337271995747,1.1428709880378524e-193
NH,NM,0,0.8640716991927406,3.005200830463973e-120
NM,NH,0,0.8640716991927406,3.005200830463973e-120
IN,WY,49,0.8631143351807533,6.794930022179902e-188
VA,NH,49,0.861560938938764,1.7926323486508393e-186
NH,VA,49,0.861560938938764,1.7926323486508393e-186
IN,OR,49,0.8606879449710467,1.1083425660497451e-185
NH,VT,0,0.8544406765433596,4.0063438076601305e-103
SC,GA,48,0.8517433323867464,1.1454895221099098e-177
MS,LA,41,0.8485163779636511,4.2188847999244414e-175
LA,MS,41,0.8485163779636511,4.218884799922665e-175
IN,ID,48,0.8451166389103861,3.454139021550125e-172
CO,MN,49,0.8445851653189342,5.495391117716483e-172
MN,CO,49,0.8445851653189342,5.495391117716483e-172
IL,CO,49,0.8420549217730294,5.6230258655202e-170
ND,SD,49,0.8395570867504256,5.0086687540392e-168
SD,ND,49,0.8395570867504256,5.0086687540392e-168
IN,WV,0,0.8382121616380362,1.7414392440653653e-157
MD,MA,49,0.8359316801073411,2.956931767393213e-165
SC,MS,49,0.8306570905136111,2.4200008902755737e-161
OK,NC,40,0.8227722792985844,2.3617310613823702e-154
NH,MA,48,0.8215541579600565,3.1727415035908905e-154
RI,PA,49,0.8214403580416828,8.065412500451062e-155
PA,RI,49,0.8214403580416828,8.065412500451062e-155
WV,VA,49,0.816597585089127,1.530701145621242e-151
CA,AZ,49,0.8149015667357393,2.0421906807567417e-150
AZ,CA,49,0.8149015667357393,2.0421906807567417e-150
MT,NE,49,0.800703716236191,1.978330264690401e-141
NM,NV,49,0.8002478091888607,3.7387818546478095e-141
MS,HI,49,0.7981226697610209,7.109951556733256e-140
