abbr,feature,lag,best_corr,best_orig_corr,p_value
NSW,search_trends_tonsillitis,12,0.8340818091035409,0.8340818091035409,0.008128503690540018
NSW,search_trends_pericarditis,49,0.7666329366634084,0.7666329366634084,5.036460712068605e-126
NSW,search_trends_chest_pain,46,0.5725226831592257,0.5725226831592257,2.2165485734141338e-57
NSW,search_trends_ageusia,0,0.5596297390721928,0.5596297390721928,0.001161138735056184
NSW,search_trends_hypoxemia,1,0.5477697731612697,0.5477697731612697,0.02403353107745396
NSW,search_trends_low_grade_fever,2,0.3906863869655735,0.3906863869655735,0.19994951992289528
NSW,search_trends_burn,20,0.38863043287364163,0.38863043287364163,0.046548822078285756
NSW,search_trends_photodermatitis,20,0.38157688878568413,0.38157688878568413,0.31823902640591817
NSW,search_trends_throat_irritation,16,0.37316019535055944,0.37316019535055944,1.8318808658587685e-13
NSW,search_trends_abdominal_obesity,49,0.3510206020965325,0.3510206020965325,3.621134940276168e-20
NSW,search_trends_itch,0,0.34040162851674605,0.34040162851674605,0.025504060754393997
NSW,search_trends_myocardial_infarction,45,0.3304959391470947,0.3304959391470947,8.556129874101327e-18
NSW,search_trends_otitis,5,0.32691292060619564,0.32691292060619564,0.20912370767250033
NSW,search_trends_perspiration,5,0.3243137765211015,0.3243137765211015,0.3313334204870982
NSW,search_trends_inflammation,49,0.3237374860325579,0.3237374860325579,3.1543060057779095e-17
NSW,search_trends_anosmia,1,0.3154645418505937,0.3154645418505937,0.01715718091608554
NSW,search_trends_sore_throat,42,0.3114482955590718,0.3114482955590718,9.67917574388242e-16
NSW,search_trends_depression,26,0.3049172462692993,0.3049172462692993,0.00010879906728470656
NSW,search_trends_otitis_externa,1,0.3037499592404568,0.3037499592404568,0.5370733309879138
