abbr,feature,lag,best_corr,best_orig_corr,p_value
NT,search_trends_allergic_conjunctivitis,46,0.8059551879166732,0.8059551879166732,9.875916633189245e-149
NT,search_trends_water_retention,49,0.7731341732451257,0.7731341732451257,1.8241563058374627e-129
NT,search_trends_mood_swing,41,0.6690491026902496,0.6690491026902496,4.819847182224826e-85
NT,search_trends_colitis,41,0.6645475040031426,0.6645475040031426,1.7012795642660446e-83
NT,search_trends_sexual_dysfunction,46,0.6607255111910513,0.6607255111910513,2.818903539971208e-82
NT,search_trends_tonsillitis,11,0.6037760232621944,0.6037760232621944,0.0012512434712796373
NT,search_trends_bowel_obstruction,2,0.60355996204634,0.60355996204634,0.03882490489209692
NT,search_trends_intracranial_pressure,46,0.5421587151484514,0.5421587151484514,1.3935094539670855e-50
NT,search_trends_encephalitis,46,0.5129782434559486,0.5129782434559486,1.372758103605806e-44
NT,search_trends_periodontal_disease,18,0.5079592653312925,0.5079592653312925,4.1478365093504524e-37
NT,search_trends_hematuria,49,0.4889948374954214,0.4889948374954214,3.894584260378577e-40
NT,search_trends_sputum,46,0.46423212981639894,0.46423212981639894,9.047710822191684e-36
NT,search_trends_testicular_pain,46,0.462284711076643,0.462284711076643,1.8837352076247276e-35
NT,search_trends_hyperemesis_gravidarum,46,0.42479247141207455,0.42479247141207455,1.2892254002627475e-29
NT,search_trends_postural_orthostatic_tachycardia_syndrome,7,0.42370907192235574,0.42370907192235574,1.0405213908377296e-05
NT,search_trends_erythema,49,0.4207339207568846,-0.4207339207568846,4.227683253237524e-29
NT,search_trends_hematoma,46,0.418190142873984,0.418190142873984,1.1266996696033582e-28
NT,search_trends_rectal_prolapse,41,0.4159051890245629,0.4159051890245629,2.429689691505698e-28
NT,search_trends_pericarditis,41,0.4136040623491894,0.4136040623491894,5.022482604114384e-28
NT,search_trends_carpal_tunnel_syndrome,0,0.4107623988254696,0.4107623988254696,9.743744745869691e-07
NT,search_trends_impulsivity,18,0.4069666894172749,0.4069666894172749,1.5443815582622618e-24
NT,search_trends_papule,46,0.4041092365818857,0.4041092365818857,1.0541777975011255e-26
NT,search_trends_shallow_breathing,46,0.4005777136371023,0.4005777136371023,3.2029748775138586e-26
NT,search_trends_muscle_atrophy,46,0.39854197686570403,0.39854197686570403,6.001699124140365e-26
NT,search_trends_pulmonary_edema,41,0.3974436319843997,0.3974436319843997,7.923430686758682e-26
NT,search_trends_developmental_disability,46,0.39399077283100803,0.39399077283100803,2.4062206380833847e-25
NT,search_trends_breakthrough_bleeding,41,0.3938640063157689,0.3938640063157689,2.396039517323837e-25
NT,search_trends_tremor,0,0.3931035941063323,0.3931035941063323,0.0002733418973147061
NT,search_trends_cyanosis,18,0.3874959661721348,0.3874959661721348,4.9752540631888985e-22
NT,search_trends_pruritus_ani,41,0.37967165005215164,0.37967165005215164,1.5393545651395417e-23
NT,search_trends_nocturnal_enuresis,46,0.37830189477936493,0.37830189477936493,2.456111277649558e-23
NT,search_trends_binge_eating,46,0.37493573839243566,0.37493573839243566,6.357688526162767e-23
NT,search_trends_dysphagia,46,0.3734653786506534,0.3734653786506534,9.644905414548647e-23
NT,search_trends_goitre,41,0.3730651478211304,0.3730651478211304,1.0540197240581098e-22
NT,search_trends_photopsia,46,0.37023721511968977,0.37023721511968977,2.374830215414105e-22
NT,search_trends_vasculitis,0,0.36929603758134594,0.36929603758134594,0.11962495465332813
NT,search_trends_crackles,46,0.36722934143952257,0.36722934143952257,5.538152651437256e-22
NT,search_trends_fecal_incontinence,24,0.36648250928606707,0.36648250928606707,6.972292616064925e-22
NT,search_trends_sharp_pain,0,0.3657448971792566,0.3657448971792566,1.1153169086549147e-06
NT,search_trends_subdural_hematoma,41,0.3653933616760662,0.3653933616760662,9.152364484601554e-22
NT,search_trends_stridor,46,0.35765757371794255,0.35765757371794255,7.424958216904329e-21
NT,search_trends_asphyxia,46,0.3553496543003062,0.3553496543003062,1.370915761255997e-20
NT,search_trends_round_ligament_pain,49,0.3540568708625626,0.3540568708625626,1.6342835844495966e-20
NT,search_trends_weakness,0,0.35385266651672886,0.35385266651672886,0.005047992858551595
NT,search_trends_dystonia,46,0.3534402098588485,0.3534402098588485,2.276175221959495e-20
NT,search_trends_excessive_daytime_sleepiness,41,0.3529800883732005,0.3529800883732005,2.5438573673273422e-20
NT,search_trends_red_eye,41,0.34897640175415884,0.34897640175415884,7.273506171616855e-20
NT,search_trends_bone_tumor,46,0.348079369714673,0.348079369714673,9.199715473442418e-20
NT,search_trends_vaginitis,0,0.3473236054424499,0.3473236054424499,2.748945763999062e-06
NT,search_trends_anaphylaxis,46,0.347218922495357,0.347218922495357,1.1321309567011192e-19
NT,search_trends_mouth_ulcer,18,0.3445242926748077,0.3445242926748077,8.013127980005682e-18
NT,search_trends_polydipsia,49,0.3429112541393562,0.3429112541393562,2.9067811894051745e-19
NT,search_trends_balance_disorder,0,0.3419028778702069,0.3419028778702069,0.10917814529199811
NT,search_trends_stomach_rumble,41,0.34174084401918603,0.34174084401918603,4.498510781179116e-19
NT,search_trends_hypercalcaemia,46,0.33707816563278015,0.33707816563278015,1.412998384074497e-18
NT,search_trends_yawn,46,0.33616250186174423,0.33616250186174423,1.862312845817093e-18
NT,search_trends_hypoxemia,49,0.3353210552130707,0.3353210552130707,1.933511625488546e-18
NT,search_trends_focal_seizure,0,0.33369042037417324,0.33369042037417324,0.003079543710391045
NT,search_trends_lymphedema,41,0.33228171083504787,0.33228171083504787,4.301944794497089e-18
NT,search_trends_ptosis,46,0.3316005641925927,0.3316005641925927,5.621448116444812e-18
NT,search_trends_shyness,41,0.33129316064427156,0.33129316064427156,5.8411210559418764e-18
NT,search_trends_psychosis,49,0.33064481077911523,0.33064481077911523,6.054788326914607e-18
NT,search_trends_suicidal_ideation,0,0.3303371952556686,0.3303371952556686,0.005547539958113552
NT,search_trends_amenorrhea,49,0.33000644551731184,0.33000644551731184,7.065064625619593e-18
NT,search_trends_upper_respiratory_tract_infection,46,0.32826134067904766,0.32826134067904766,1.2736995476381493e-17
NT,search_trends_motion_sickness,46,0.32790025872240597,0.32790025872240597,1.3896425537516294e-17
NT,search_trends_strabismus,41,0.3262447419554814,0.3262447419554814,2.059470361263318e-17
NT,search_trends_gastroparesis,41,0.3234341679972116,0.3234341679972116,3.909460649247049e-17
NT,search_trends_hyperthermia,46,0.3216718588298334,0.3216718588298334,6.04578941461337e-17
NT,search_trends_cheilitis,41,0.32151136873722774,0.32151136873722774,5.844613516913162e-17
NT,search_trends_dysgeusia,0,0.32145626360345037,0.32145626360345037,0.5262480348531162
NT,search_trends_malabsorption,0,0.31977232865346356,0.31977232865346356,0.5115853335468886
NT,search_trends_dysphoria,41,0.3193383029678301,0.3193383029678301,9.977455060169964e-17
NT,search_trends_facial_swelling,0,0.319013362763123,0.319013362763123,0.0426141723396781
NT,search_trends_leukorrhea,41,0.3167628957392036,0.3167628957392036,1.7346611819286363e-16
NT,search_trends_atheroma,0,0.3150005624451329,0.3150005624451329,0.09287432690061274
NT,search_trends_hyperkalemia,49,0.31382046247156,-0.31382046247156,3.135127996753595e-16
NT,search_trends_chancre,41,0.3102771993951549,0.3102771993951549,7.008620364388183e-16
NT,search_trends_peripheral_neuropathy,41,0.30956709805036475,0.30956709805036475,8.753921221015525e-16
NT,search_trends_esophagitis,49,0.3053392010727267,0.3053392010727267,2.089313600292838e-15
NT,search_trends_dentin_hypersensitivity,46,0.30484980703663533,0.30484980703663533,2.7595005144185494e-15
NT,search_trends_hot_flash,41,0.30361995063076075,0.30361995063076075,3.610505601662379e-15
NT,search_trends_hypertrophy,41,0.3009139290784671,0.3009139290784671,6.05602917358585e-15
