abbr,feature,lag,best_corr,best_orig_corr,p_value
IL,search_trends_ageusia,48,0.7205844675015938,0.7205844675015938,1.2512883874666667e-101
IL,search_trends_dysgeusia,48,0.6124142173877987,0.6124142173877987,6.925373859578528e-66
IL,search_trends_hypoxemia,49,0.6018867363434404,0.6018867363434404,3.7548383667043446e-63
IL,search_trends_anosmia,49,0.5328703952720835,0.5328703952720835,2.356331593316819e-47
IL,search_trends_abdominal_obesity,1,0.4346886053204422,0.4346886053204422,9.24505954662824e-26
IL,search_trends_underweight,0,0.4001287166079002,0.4001287166079002,3.6299837670823687e-19
IL,search_trends_telangiectasia,1,0.39830576636492476,0.39830576636492476,2.1529107524595393e-21
IL,search_trends_skin_condition,2,0.3973503681076478,0.3973503681076478,2.9995067474684837e-22
IL,search_trends_hives,3,0.3941144683042589,0.3941144683042589,5.395027828615551e-23
IL,search_trends_water_retention,2,0.38914691590687,0.38914691590687,6.827627457707188e-21
IL,search_trends_eye_pain,48,0.37490390438350474,0.37490390438350474,2.6961169214925404e-22
IL,search_trends_skin_rash,3,0.3701893223691335,0.3701893223691335,2.1749796117384533e-20
IL,search_trends_bloating,2,0.3699523669900401,0.3699523669900401,4.9738539013606e-19
IL,search_trends_melasma,3,0.3697941887490892,0.3697941887490892,2.639746467288653e-19
IL,search_trends_burning_mouth_syndrome,13,0.3396479954889393,0.3396479954889393,4.083702128823019e-18
IL,search_trends_edema,3,0.3333814614097227,0.3333814614097227,4.83170794139525e-16
IL,search_trends_bells_palsy,48,0.31825873834330376,0.31825873834330376,3.021217268098139e-16
IL,search_trends_facial_nerve_paralysis,48,0.3164173062824056,0.3164173062824056,4.546634137434023e-16
IL,search_trends_avoidant_personality_disorder,0,0.3109952982785159,0.3109952982785159,1.7259710136310156e-10
IL,search_trends_gout,0,0.3084410083039611,0.3084410083039611,1.78375081755999e-10
