abbr,feature,lag,best_corr,p_value,type
MB,MB,0,1.0,0.0,region
MB,ON,48,0.5509112695092844,8.09671657314012e-51,region
MB,NS,0,0.5324742775302028,7.698008638307194e-41,region
MB,AB,0,0.5132053560421164,5.943914055004723e-41,region
MB,QC,48,0.4426770340292264,2.308559065147626e-31,region
MB,SK,49,0.4145441000956965,2.372142235006675e-27,region
MB,BC,0,0.3832143790401594,7.447809106589104e-19,region
MB,NL,14,0.1401246608578624,0.0030221556706341,region
MB,PE,1,0.1313208528283233,0.0036665239338874,region
MB,NB,47,0.1139827791627113,0.0063330085819111,region
