abbr,feature,lag,best_corr,p_value,type
NB,NB,3,1.0,0.0,region
NB,SK,48,0.6463431100355985,2.689616835435692e-74,region
NB,NT,37,0.5470686637853034,1.611099216371262e-40,region
NB,AB,47,0.4672329659099076,9.978485177571941e-35,region
NB,PE,47,0.3752850165943522,7.460713903389517e-21,region
NB,BC,47,0.3370663399036342,3.327866665312923e-17,region
NB,YT,3,0.2886198020843413,0.0104778555447349,region
NB,NL,47,0.259072189272709,1.1957464339896136e-10,region
NB,NS,9,0.2292495533672612,3.416079907882265e-07,region
NB,ON,49,0.1467029614710652,0.0002330863502866,region
NB,QC,49,0.1255536292708827,0.0016608077532796,region
NB,MB,47,0.1139827791627113,0.0063330085819111,region
