abbr,feature,lag,best_corr,p_value,type
NS,NS,0,1.0,0.0,region
NS,MB,0,0.5324742775302028,7.698008638307194e-41,region
NS,AB,27,0.4744711620405276,1.905068381036559e-33,region
NS,ON,48,0.3697094643690629,1.2000795145796478e-21,region
NS,BC,0,0.2837056907688948,1.4566703383877905e-08,region
NS,NT,5,0.2720354089413181,2.202211572306918e-07,region
NS,SK,44,0.2525936009887177,2.18232942652961e-10,region
NS,NB,9,0.2292495533672612,3.416079907882265e-07,region
NS,NL,20,0.2157002774492172,8.621571316204012e-07,region
NS,PE,47,0.1786383526607493,4.72575011564561e-05,region
NS,QC,48,0.0865145904598413,0.0308798283913845,region
