abbr,feature,lag,best_corr,p_value,type
PE,PE,0,1.0,0.0,region
PE,AB,47,0.4084427804671032,1.4093639965014882e-24,region
PE,NB,47,0.3752850165943522,7.460713903389517e-21,region
PE,BC,47,0.325724289016073,2.302915656336389e-15,region
PE,SK,47,0.2354751857406273,3.4849147559175947e-09,region
PE,NS,47,0.1786383526607493,4.72575011564561e-05,region
PE,NT,47,0.1317441955352961,0.0258182601491231,region
PE,MB,1,0.1313208528283233,0.0036665239338874,region
PE,ON,41,0.1274487436806547,0.0015614598019482,region
PE,NL,42,0.1204559058571377,0.0073664194043868,region
PE,QC,48,0.0923704615683413,0.0210781495182431,region
