abbr,feature,lag,best_corr,p_value,type
QC,QC,0,1.0,0.0,region
QC,ON,49,0.6887967582906372,4.357738927568926e-89,region
QC,SK,49,0.4796720942772227,2.8064203380398617e-37,region
QC,MB,48,0.4426770340292264,2.308559065147626e-31,region
QC,AB,48,0.398749337121636,3.086472978115648e-25,region
QC,BC,48,0.3066240400608011,4.658232100721453e-15,region
QC,YT,30,0.1484504571507964,0.0003071977872626,region
QC,NB,49,0.1255536292708827,0.0016608077532796,region
QC,PE,48,0.0923704615683413,0.0210781495182431,region
QC,NS,48,0.0865145904598413,0.0308798283913841,region
