abbr,feature,lag,best_corr,p_value,type,best_orig_corr
AL,AL,2,1.0,0.0,region,1.0
AL,AR,33,0.7845410270288401,9.843229244333288e-132,region,0.7845410270288401
AL,search_trends_hypoxemia,49,0.7707436530475966,1.1733255045236127e-124,google-search-trends,0.7707436530475966
AL,search_trends_ageusia,41,0.7629897826149006,1.1015965784974387e-120,google-search-trends,0.7629897826149006
AL,cumulative_persons_fully_vaccinated,4,0.759411580666367,5.198148579778127e-46,vaccinations,0.759411580666367
AL,cumulative_vaccine_doses_administered,4,0.7588733840554065,5.26395470928e-43,vaccinations,0.7588733840554065
AL,cumulative_vaccine_doses_administered_janssen,4,0.757434975712109,3.2861269098965037e-48,vaccinations,0.757434975712109
AL,cumulative_persons_fully_vaccinated_pfizer,4,0.7570237863094648,1.3043109926423397e-44,vaccinations,0.7570237863094648
AL,cumulative_vaccine_doses_administered_pfizer,4,0.7538889071951347,7.622146936862471e-42,vaccinations,0.7538889071951347
AL,cumulative_persons_fully_vaccinated_janssen,4,0.7528990061997409,1.8953320313579608e-48,vaccinations,0.7528990061997409
AL,cumulative_persons_fully_vaccinated_moderna,4,0.7481398137998708,4.001222187823594e-45,vaccinations,0.7481398137998708
AL,cumulative_persons_vaccinated,4,0.7403950565592805,1.1475434980848024e-41,vaccinations,0.7403950565592805
AL,cumulative_vaccine_doses_administered_moderna,4,0.7348554378328206,2.6896041034806873e-40,vaccinations,0.7348554378328206
AL,TX,49,0.7249953262415592,1.8645994569687811e-103,region,0.7249953262415592
AL,search_trends_anosmia,39,0.7189986181386224,6.693754194536219e-101,google-search-trends,0.7189986181386224
AL,WV,49,0.6699147455085077,5.127518358857632e-83,region,0.6699147455085077
AL,AZ,49,0.6675325821193916,3.1252221151634923e-82,region,0.6675325821193916
AL,OH,49,0.664199317222075,3.811654737168498e-81,region,0.664199317222075
AL,CA,49,0.6480879677093613,4.3614988085669716e-76,region,0.6480879677093613
AL,MS,49,0.6395859200095332,1.539334495065285e-73,region,0.6395859200095332
AL,DE,48,0.639335198858155,1.8450842451357985e-73,region,0.639335198858155
AL,ID,48,0.6322285413511748,2.509845428969768e-71,region,0.6322285413511748
AL,KY,49,0.6231398535237892,7.827577937498196e-69,region,0.6231398535237892
AL,GA,48,0.6175270909399256,3.1960833579527246e-67,region,0.6175270909399256
AL,IN,49,0.6132022513734475,4.016137005640669e-66,region,0.6132022513734475
AL,MD,49,0.6064250635296726,2.4970990744381487e-64,region,0.6064250635296726
AL,PA,49,0.6026428788815934,2.3975826737297765e-63,region,0.6026428788815934
AL,HI,46,0.5966979600774538,7.919825325030837e-62,region,0.5966979600774538
AL,search_trends_dysgeusia,49,0.5843799809278554,8.778643719685918e-59,google-search-trends,0.5843799809278554
AL,NV,49,0.5785866520255754,2.1451558727611058e-57,region,0.5785866520255754
AL,VA,49,0.5780262751821476,2.912403626943666e-57,region,0.5780262751821476
AL,OK,49,0.5770030449686556,5.0823612763117015e-57,region,0.5770030449686556
AL,NM,48,0.5741763610106337,2.7224932013206397e-56,region,0.5741763610106337
AL,AK,49,0.5659850565353362,1.8059600032196723e-54,region,0.5659850565353362
AL,UT,48,0.5659065320769968,2.2033773628047758e-54,region,0.5659065320769968
AL,NC,49,0.5500154420797356,6.131296058091811e-51,region,0.5500154420797356
AL,OR,49,0.5417802061779761,3.4288848706327566e-49,region,0.5417802061779761
AL,FL,33,0.540168172642945,1.2062105150168452e-48,region,0.540168172642945
AL,TN,49,0.5337804783508067,1.5384867973186923e-47,region,0.5337804783508067
AL,ME,47,0.5277865307945636,2.962154565029971e-46,region,0.5277865307945636
AL,RI,48,0.5242397354226307,1.4647817238773518e-45,region,0.5242397354226307
AL,WA,49,0.518760654948706,1.4854209141505252e-44,region,0.518760654948706
AL,CO,49,0.5176639295140258,2.421018259812086e-44,region,0.5176639295140258
AL,IL,48,0.5135248547832965,1.7541007641495762e-43,region,0.5135248547832965
AL,SC,49,0.5105031202675065,5.627781307551969e-43,region,0.5105031202675065
AL,LA,33,0.5089560036649532,1.3654230676448117e-42,region,0.5089560036649532
AL,MT,48,0.5066541470441558,3.395401077908904e-42,region,0.5066541470441558
AL,NE,49,0.4878271030868945,7.40187736728618e-39,region,0.4878271030868945
AL,MA,48,0.4832671161075736,5.291211283393109e-38,region,0.4832671161075736
AL,WI,49,0.4819958367271278,7.57867697858894e-38,region,0.4819958367271278
AL,NH,49,0.4733719317347964,2.179946654229371e-36,region,0.4733719317347964
AL,WY,49,0.4583079219374438,6.15314447012235e-34,region,0.4583079219374438
AL,VT,49,0.4570623243891039,9.689943689416962e-34,region,0.4570623243891039
AL,NY,49,0.4490418750803298,1.7256332533859708e-32,region,0.4490418750803298
AL,cumulative_intensive_care_patients,13,0.4430171410191908,7.012947773093434e-26,hospitalizations,0.4430171410191908
AL,search_trends_bradycardia,49,0.4426755749865209,1.60777670761354e-31,google-search-trends,0.4426755749865209
AL,cumulative_ventilator_patients,13,0.442219976250545,8.078804711576217e-26,hospitalizations,0.442219976250545
AL,cumulative_hospitalized_patients,19,0.4392402964246794,6.1529845829199394e-18,hospitalizations,0.4392402964246794
AL,search_trends_abdominal_obesity,49,0.4346619447932722,2.4974632284417883e-30,google-search-trends,-0.4346619447932722
AL,NJ,33,0.4333117154781578,7.381466298193525e-30,region,0.4333117154781578
AL,current_intensive_care_patients,49,0.4310342844571068,8.928844901130968e-28,hospitalizations,0.4310342844571068
AL,search_trends_stretch_marks,49,0.4246004619362745,7.059924270176824e-29,google-search-trends,-0.4246004619362745
AL,IA,48,0.4149817687140323,1.7582253502309137e-27,region,0.4149817687140323
AL,SD,48,0.3898301263111342,3.554305716396899e-24,region,0.3898301263111342
AL,search_trends_eye_pain,40,0.3819809833634998,4.674231869677599e-23,google-search-trends,0.3819809833634998
AL,search_trends_tachycardia,49,0.3798364972511487,5.500000906518607e-23,google-search-trends,0.3798364972511487
AL,MN,49,0.3756870619492229,1.7463220223922132e-22,region,0.3756870619492229
AL,search_trends_palpitations,49,0.3726029355639864,4.0775780343757627e-22,google-search-trends,0.3726029355639864
AL,KS,32,0.361624176550454,8.29153373041582e-21,region,0.361624176550454
AL,mobility_parks,49,0.3542947872242435,2.6529017730501826e-19,mobility,-0.3542947872242435
AL,new_persons_vaccinated,0,0.3519654781997919,4.367635164171169e-06,vaccinations,0.3519654781997919
AL,current_hospitalized_patients,49,0.3472447330540202,5.793613442504714e-18,hospitalizations,0.3472447330540202
AL,MO,33,0.3463462068086916,4.543715709893631e-19,region,0.3463462068086916
AL,ND,49,0.3389783658743902,2.37555140996633e-18,region,0.3389783658743902
AL,search_trends_ingrown_hair,49,0.3349300320175571,6.297995218155944e-18,google-search-trends,-0.3349300320175571
AL,search_trends_facial_nerve_paralysis,38,0.3306877330842659,2.1432153894990657e-17,google-search-trends,0.3306877330842659
AL,search_trends_bells_palsy,33,0.3301508258172269,2.2424864897809148e-17,google-search-trends,0.3301508258172269
AL,search_trends_hypoxia,49,0.3282352000026562,3.060635626975325e-17,google-search-trends,0.3282352000026562
AL,search_trends_water_retention,49,0.3088272193610395,2.411095956313887e-15,google-search-trends,-0.3088272193610395
AL,search_trends_acne,49,0.3050625039891148,5.422663265334127e-15,google-search-trends,-0.3050625039891148
AL,search_trends_hives,45,0.3016978135446329,1.2025780090189034e-14,google-search-trends,0.3016978135446329
AL,search_trends_skin_rash,49,0.2993824703353909,1.801883190971113e-14,google-search-trends,-0.2993824703353909
AL,search_trends_telangiectasia,45,0.2964708897561661,3.3840807704648247e-14,google-search-trends,0.2964708897561661
AL,search_trends_hyperpigmentation,49,0.2836472651260654,4.378827799842476e-13,google-search-trends,-0.2836472651260654
AL,new_vaccine_doses_administered,0,0.2835515950144389,1.0247069340188444e-05,vaccinations,0.2835515950144389
AL,search_trends_grandiosity,49,0.2765789616443301,1.721978902679159e-12,google-search-trends,0.2765789616443301
AL,search_trends_clouding_of_consciousness,48,0.2756133674736237,2.264102054002802e-12,google-search-trends,0.2756133674736237
AL,search_trends_allergic_conjunctivitis,42,0.2754072465173951,2.228498288242963e-12,google-search-trends,0.2754072465173951
AL,search_trends_photodermatitis,49,0.2718535810215582,4.2087057090209095e-12,google-search-trends,-0.2718535810215582
AL,CT,42,0.2693870369235245,7.2571849899763486e-12,region,0.2693870369235245
AL,search_trends_melasma,49,0.266308768261144,1.1749899484154824e-11,google-search-trends,-0.266308768261144
AL,search_trends_nasal_congestion,49,0.2600133948757151,3.6636375654946827e-11,google-search-trends,0.2600133948757151
AL,search_trends_desquamation,49,0.2599023637081259,3.736851644865388e-11,google-search-trends,-0.2599023637081259
AL,search_trends_sinusitis,49,0.2597172622283005,3.862094996179264e-11,google-search-trends,0.2597172622283005
AL,search_trends_actinic_keratosis,46,0.2592922125875847,4.244859849018292e-11,google-search-trends,0.2592922125875847
AL,search_trends_chest_pain,0,0.2569796890879509,1.618810851956166e-10,google-search-trends,0.2569796890879509
AL,search_trends_pericarditis,31,0.2564861292985281,9.799361686491607e-11,google-search-trends,0.2564861292985281
AL,search_trends_hay_fever,49,0.2563278244682717,7.030775130761844e-11,google-search-trends,-0.2563278244682717
AL,search_trends_compulsive_hoarding,49,0.2537686729877745,1.0989185168811295e-10,google-search-trends,-0.2537686729877745
AL,search_trends_shivering,33,0.2511996323218858,2.6250533966103046e-10,google-search-trends,0.2511996323218858
AL,search_trends_burn,49,0.2511493350595374,1.7269805884409223e-10,google-search-trends,-0.2511493350595374
AL,search_trends_erythema_chronicum_migrans,49,0.2477109498514724,3.1019381497780367e-10,google-search-trends,-0.2477109498514724
AL,search_trends_skin_condition,45,0.2454343179242844,5.196653183538374e-10,google-search-trends,0.2454343179242844
AL,search_trends_cataplexy,45,0.239720115972877,1.2195506400404646e-09,google-search-trends,0.239720115972877
AL,search_trends_xerostomia,48,0.237029336119506,1.8111209549837023e-09,google-search-trends,0.237029336119506
AL,search_trends_food_craving,49,0.2345742416637685,2.6828060518431244e-09,google-search-trends,-0.2345742416637685
AL,search_trends_itch,49,0.2343973238811895,2.759527490372709e-09,google-search-trends,-0.2343973238811895
AL,search_trends_bunion,28,0.2332490515377427,7.923904357776244e-09,google-search-trends,0.2332490515377427
AL,search_trends_swollen_feet,49,0.2302829363731518,5.282565250220468e-09,google-search-trends,-0.2302829363731518
AL,search_trends_burning_mouth_syndrome,49,0.2281759203116121,7.331891820698865e-09,google-search-trends,0.2281759203116121
AL,search_trends_weight_gain,48,0.2194577100829956,2.792347018720763e-08,google-search-trends,0.2194577100829956
AL,search_trends_excessive_daytime_sleepiness,45,0.2186654035166744,3.663261122371758e-08,google-search-trends,0.2186654035166744
AL,MI,49,0.2177048019717405,3.567357811127087e-08,region,0.2177048019717405
AL,search_trends_rhinorrhea,49,0.217543797288886,3.6529912478254246e-08,google-search-trends,0.217543797288886
