abbr,feature,lag,best_corr,p_value,type,best_orig_corr
CA,CA,0,1.0,0.0,region,1.0
CA,search_trends_ageusia,49,0.8671301714969886,1.1892449559587468e-191,google-search-trends,0.8671301714969886
CA,AZ,49,0.826472656362718,2.471797807961812e-158,region,0.826472656362718
CA,search_trends_dysgeusia,49,0.7811549017641526,3.489446344672944e-130,google-search-trends,0.7811549017641526
CA,MD,49,0.7603709619132233,1.9584400998393652e-119,region,0.7603709619132233
CA,search_trends_hypoxemia,49,0.7380707607112946,4.65055342497559e-109,google-search-trends,0.7380707607112946
CA,DE,49,0.737762116213694,6.362501382630646e-109,region,0.737762116213694
CA,cumulative_persons_fully_vaccinated,49,0.7360679017887972,3.727095573268308e-47,vaccinations,0.7360679017887972
CA,cumulative_persons_fully_vaccinated_moderna,49,0.7356215296830466,4.515372996526715e-47,vaccinations,0.7356215296830466
CA,cumulative_persons_fully_vaccinated_pfizer,49,0.7327404394177679,1.5433294516160883e-46,vaccinations,0.7327404394177679
CA,cumulative_vaccine_doses_administered_janssen,15,0.7238935048184163,1.7167634955955005e-44,vaccinations,0.7238935048184163
CA,cumulative_vaccine_doses_administered,14,0.7225835955682498,6.1110282102757375e-44,vaccinations,0.7225835955682498
CA,cumulative_persons_fully_vaccinated_janssen,15,0.7216719881851373,2.468127859289216e-44,vaccinations,0.7216719881851373
CA,cumulative_vaccine_doses_administered_pfizer,3,0.7186180994792586,3.0260825956747708e-43,vaccinations,0.7186180994792586
CA,PA,49,0.7150642653786208,2.0607539462551584e-99,region,0.7150642653786208
CA,cumulative_vaccine_doses_administered_moderna,15,0.7117164977923098,8.782399843984818e-42,vaccinations,0.7117164977923098
CA,cumulative_persons_vaccinated,15,0.7084308410113636,1.3073495617564232e-41,vaccinations,0.7084308410113636
CA,VA,49,0.7080625817656461,1.1537222187478965e-96,region,0.7080625817656461
CA,MA,49,0.7032547212195334,7.985703694330231e-95,region,0.7032547212195334
CA,AR,49,0.6961314814689793,3.6434324934572464e-92,region,0.6961314814689793
CA,NH,49,0.6893158232488806,1.0806522679800717e-89,region,0.6893158232488806
CA,search_trends_anosmia,49,0.6856962460512331,2.084076908900645e-88,google-search-trends,0.6856962460512331
CA,OK,49,0.6821388001781851,3.66362627824604e-87,region,0.6821388001781851
CA,NV,35,0.681587217768779,9.538562179306566e-87,region,0.681587217768779
CA,search_trends_eye_pain,49,0.6795086740306833,2.971817856331773e-86,google-search-trends,0.6795086740306833
CA,OH,49,0.6729869261593232,4.860600930301437e-84,region,0.6729869261593232
CA,RI,49,0.6491730363476612,2.0351725004253634e-76,region,0.6491730363476612
CA,IN,35,0.6482485865893328,4.7413409586763024e-76,region,0.6482485865893328
CA,AL,49,0.6480879677093614,4.3614988085669716e-76,region,0.6480879677093614
CA,NY,47,0.6464539931028332,1.636474989240313e-75,region,0.6464539931028332
CA,UT,49,0.6340245937457658,6.467464537881203e-72,region,0.6340245937457658
CA,NM,49,0.6272601520319137,5.508491785898812e-70,region,0.6272601520319137
CA,TX,49,0.6235441399663578,6.043613330431417e-69,region,0.6235441399663578
CA,WV,48,0.6172911021054751,3.667532555213379e-67,region,0.6172911021054751
CA,GA,49,0.6075876337380097,1.2382965566167585e-64,region,0.6075876337380097
CA,NC,0,0.5952856243664006,2.351508433128636e-61,region,0.5952856243664006
CA,NJ,49,0.5833606317265121,1.5476680084743803e-58,region,0.5833606317265121
CA,MS,0,0.577590480948633,1.2453459472888933e-56,region,0.577590480948633
CA,TN,28,0.5682871833032201,1.625296208810427e-54,region,0.5682871833032201
CA,KY,49,0.5585693989691516,8.319867149592543e-53,region,0.5585693989691516
CA,SC,0,0.5508968568401028,2.003546765483264e-50,region,0.5508968568401028
CA,ID,49,0.5409228941045856,5.179833335549674e-49,region,0.5409228941045856
CA,IL,19,0.5359017978077543,6.466722433804292e-48,region,0.5359017978077543
CA,CO,49,0.5204068071368065,7.111566741266303e-45,region,0.5204068071368065
CA,current_intensive_care_patients,49,0.5136555233102975,9.149028877261395e-41,hospitalizations,0.5136555233102975
CA,ME,49,0.5033165123058887,1.2284575090670478e-41,region,0.5033165123058887
CA,search_trends_bells_palsy,49,0.494175681923753,5.5861406194832094e-40,google-search-trends,0.494175681923753
CA,search_trends_bradycardia,34,0.4935388422671266,1.2213442377286052e-39,google-search-trends,0.4935388422671266
CA,search_trends_facial_nerve_paralysis,49,0.4845783803623448,2.720032735595819e-38,google-search-trends,0.4845783803623448
CA,search_trends_tachycardia,0,0.4769367156415109,7.852011520549966e-37,google-search-trends,0.4769367156415109
CA,new_persons_vaccinated,17,0.4758038879084797,1.865340226242148e-15,vaccinations,0.4758038879084797
CA,NE,27,0.469974953353813,1.5616054773691648e-35,region,0.469974953353813
CA,search_trends_palpitations,49,0.4694459681045707,9.748441406435207e-36,google-search-trends,0.4694459681045707
CA,OR,49,0.4639072552450574,7.805580575201502e-35,region,0.4639072552450574
CA,LA,0,0.4590967981284195,1.4599991014544584e-33,region,0.4590967981284195
CA,current_hospitalized_patients,49,0.4526833210979176,6.0191700246439704e-31,hospitalizations,0.4526833210979176
CA,WA,49,0.4397437045311511,4.423403585446178e-31,region,0.4397437045311511
CA,FL,34,0.4379110277361649,8.685185198519039e-31,region,0.4379110277361649
CA,CT,3,0.4265491071670099,4.741918729553312e-29,region,0.4265491071670099
CA,search_trends_hives,48,0.4243448792269308,8.32589716316742e-29,google-search-trends,0.4243448792269308
CA,search_trends_anal_fissure,42,0.4182163180824908,5.864493698100134e-28,google-search-trends,0.4182163180824908
CA,new_vaccine_doses_administered,32,0.4164380067248451,1.7076572460393129e-12,vaccinations,0.4164380067248451
CA,WI,48,0.4159614828794457,1.173885617188232e-27,region,0.4159614828794457
CA,VT,48,0.4092152584653392,1.0354262890634971e-26,region,0.4092152584653392
CA,search_trends_grandiosity,49,0.4077704471636306,1.477485913214963e-26,google-search-trends,0.4077704471636306
CA,new_hospitalized_patients,49,0.4064323677623477,1.0230519810306232e-24,hospitalizations,0.4064323677623477
CA,search_trends_skin_rash,48,0.4038363623774457,5.814441754732549e-26,google-search-trends,0.4038363623774457
CA,search_trends_allergic_conjunctivitis,46,0.3992259036800456,2.122559250103519e-25,google-search-trends,0.3992259036800456
CA,search_trends_pus,48,0.3868163150500716,8.778591127062408e-24,google-search-trends,0.3868163150500716
CA,KS,40,0.3865430427138844,9.522409470674032e-24,region,0.3865430427138844
CA,MT,49,0.3810469581355336,3.914034961225023e-23,region,0.3810469581355336
CA,search_trends_burning_mouth_syndrome,49,0.3797120612809362,5.695281887741489e-23,google-search-trends,0.3797120612809362
CA,search_trends_telangiectasia,48,0.3648890363066268,3.636750330516901e-21,google-search-trends,0.3648890363066268
CA,WY,48,0.364524894077069,3.787123441445212e-21,region,0.364524894077069
CA,search_trends_skin_condition,48,0.3600169931949036,1.3497815890040154e-20,google-search-trends,0.3600169931949036
CA,search_trends_round_ligament_pain,49,0.3558459207364182,3.493035269810512e-20,google-search-trends,0.3558459207364182
CA,search_trends_hay_fever,43,0.3503394272021699,1.5748818320452232e-19,google-search-trends,0.3503394272021699
CA,MN,48,0.3456592950043015,5.41608200942999e-19,region,0.3456592950043015
CA,search_trends_conjunctivitis,42,0.3429682037345266,1.0334635655552016e-18,google-search-trends,0.3429682037345266
CA,search_trends_rheum,42,0.3417961477890524,1.3798031268279902e-18,google-search-trends,0.3417961477890524
CA,search_trends_anaphylaxis,0,0.3393524515823861,4.539165540801765e-18,google-search-trends,0.3393524515823861
CA,mobility_grocery_and_pharmacy,32,0.3350298646249017,2.6410029635968066e-17,mobility,0.3350298646249017
CA,AK,48,0.3320102365214266,1.4552319011524488e-17,region,0.3320102365214266
CA,search_trends_self_harm,49,0.3289030777551067,2.618624426425537e-17,google-search-trends,-0.3289030777551067
CA,search_trends_water_retention,48,0.3252550125764917,6.82788418541442e-17,google-search-trends,0.3252550125764917
CA,search_trends_bruxism,0,0.3247420719957244,9.41891633295012e-17,google-search-trends,0.3247420719957244
CA,search_trends_middle_back_pain,49,0.3212548179726097,1.5269733456613435e-16,google-search-trends,0.3212548179726097
CA,search_trends_pyelonephritis,48,0.3191263975861748,2.6753623719547434e-16,google-search-trends,0.3191263975861748
CA,mobility_transit_stations,49,0.3159632581342925,1.8086222445427803e-15,mobility,-0.3159632581342925
CA,search_trends_abdominal_obesity,48,0.314717206691291,7.836226740173019e-16,google-search-trends,0.314717206691291
CA,search_trends_dandruff,49,0.309817315413375,1.9444465247612186e-15,google-search-trends,0.309817315413375
CA,search_trends_impetigo,45,0.3093101480879662,2.177850218318896e-15,google-search-trends,0.3093101480879662
CA,cumulative_hospitalized_patients,42,0.3090671163983927,6.445998433853052e-14,hospitalizations,0.3090671163983927
CA,search_trends_edema,48,0.3046395218217577,6.602254324543791e-15,google-search-trends,0.3046395218217577
CA,SD,49,0.3014253070770538,1.1734950299114591e-14,region,0.3014253070770538
CA,search_trends_actinic_keratosis,48,0.3009875561364271,1.3685580480786521e-14,google-search-trends,0.3009875561364271
CA,MO,49,0.3000911744205438,1.5533928590688602e-14,region,0.3000911744205438
CA,search_trends_swollen_feet,48,0.2993157590127432,2.094482804227188e-14,google-search-trends,0.2993157590127432
CA,mobility_parks,48,0.2971605254769141,9.026806450269953e-14,mobility,0.2971605254769141
CA,search_trends_wart,48,0.2954591886097516,4.4323014018738565e-14,google-search-trends,0.2954591886097516
CA,search_trends_erectile_dysfunction,45,0.2925020149480558,7.512847144679166e-14,google-search-trends,0.2925020149480558
CA,search_trends_headache,49,0.2916199260882992,8.913562728313924e-14,google-search-trends,0.2916199260882992
CA,search_trends_varicose_veins,48,0.2892869886686265,1.4567091591876344e-13,google-search-trends,0.2892869886686265
CA,search_trends_atheroma,49,0.2876074779801294,1.9985331266378082e-13,google-search-trends,-0.2876074779801294
