abbr,feature,lag,best_corr,p_value,type,best_orig_corr
CT,CT,0,1.0,0.0,region,1.0
CT,KS,49,0.5942084033727401,3.340038812345924e-61,region,0.5942084033727401
CT,MI,49,0.5717558693124012,8.566512780290613e-56,region,0.5717558693124012
CT,NH,49,0.5565204318155184,2.357071295255493e-52,region,0.5565204318155184
CT,MA,0,0.535063679556987,1.0487797087455354e-46,region,0.535063679556987
CT,new_vaccine_doses_administered_pfizer,48,0.5239085280670055,2.799522992464571e-20,vaccinations,0.5239085280670055
CT,new_vaccine_doses_administered_moderna,47,0.5175578366145699,9.80352809674269e-20,vaccinations,0.5175578366145699
CT,NY,49,0.4992798893444677,6.723769826205401e-41,region,0.4992798893444677
CT,RI,3,0.489825262958358,8.685340050072041e-38,region,0.489825262958358
CT,MD,49,0.4845685162513585,2.7307448821534027e-38,region,0.4845685162513585
CT,OH,47,0.4843327657642634,3.159920048868137e-38,region,0.4843327657642634
CT,NM,48,0.4791423360125695,2.6646753366839645e-37,region,0.4791423360125695
CT,DE,47,0.4778487020947548,4.2882543785537144e-37,region,0.4778487020947548
CT,IL,3,0.4767028281453537,1.0874682035994437e-35,region,0.4767028281453537
CT,PA,47,0.4750402044938191,1.1712111803421309e-36,region,0.4750402044938191
CT,NJ,48,0.4648213534966363,6.061841335302383e-35,region,0.4648213534966363
CT,CO,49,0.4635126833162482,9.039374636467532e-35,region,0.4635126833162482
CT,WY,49,0.4527063350040107,4.6738297778262544e-33,region,0.4527063350040107
CT,IN,3,0.4449789619864237,1.3387160912803186e-31,region,0.4449789619864237
CT,UT,48,0.4435856651365644,1.3466324464068904e-31,region,0.4435856651365644
CT,VA,4,0.4393694394483116,1.1552656302491932e-30,region,0.4393694394483116
CT,CA,3,0.4265491071670099,4.741918729553312e-29,region,0.4265491071670099
CT,current_intensive_care_patients,49,0.4209531229276611,9.677455156778055e-27,hospitalizations,0.4209531229276611
CT,new_persons_fully_vaccinated_pfizer,48,0.4090136778218424,3.305041885300755e-12,vaccinations,0.4090136778218424
CT,search_trends_sleep_disorder,13,0.4063809791338342,4.026179893716842e-26,google-search-trends,0.4063809791338342
CT,AZ,49,0.4003991323072525,1.3968360349644378e-25,region,0.4003991323072525
CT,TN,3,0.3891466092240168,5.7609621243249625e-24,region,0.3891466092240168
CT,ME,48,0.3881287131157639,5.851199331383921e-24,region,0.3881287131157639
CT,NE,49,0.3874216784870709,6.3724308679404006e-24,region,0.3874216784870709
CT,new_vaccine_doses_administered,48,0.3833007161042816,9.248256000384532e-11,vaccinations,0.3833007161042816
CT,OK,3,0.380374878139628,8.585684435374608e-23,region,0.380374878139628
CT,NV,3,0.3777927434930848,5.4068466083957245e-22,region,0.3777927434930848
CT,NC,3,0.3757150973367522,4.0409816363840506e-22,region,0.3757150973367522
CT,search_trends_ageusia,49,0.3752915476929484,1.9479349749278221e-22,google-search-trends,0.3752915476929484
CT,KY,3,0.3675758868562427,4.1284795008131716e-21,region,0.3675758868562427
CT,MN,49,0.3649747629849301,3.1945686685677402e-21,region,0.3649747629849301
CT,search_trends_anxiety,7,0.3623273929705903,1.7300333541710786e-20,google-search-trends,0.3623273929705903
CT,search_trends_hypoxemia,14,0.3609965961891084,1.3539962848699668e-20,google-search-trends,0.3609965961891084
CT,search_trends_skin_rash,49,0.3579130782378178,2.0460190248081903e-20,google-search-trends,-0.3579130782378178
CT,search_trends_insomnia,35,0.3550570469757797,5.907436596831755e-20,google-search-trends,0.3550570469757797
CT,search_trends_leg_cramps,2,0.3509645907923216,3.3127856777652996e-19,google-search-trends,0.3509645907923216
CT,search_trends_generalized_anxiety_disorder,13,0.3502098122981887,3.826232796777861e-19,google-search-trends,0.3502098122981887
CT,VT,49,0.3460049016059807,4.225400768405778e-19,region,0.3460049016059807
CT,search_trends_impulsivity,49,0.3413069106950395,1.346994371379383e-18,google-search-trends,0.3413069106950395
CT,search_trends_sleep_deprivation,7,0.3352073646711092,8.738389975072729e-18,google-search-trends,0.3352073646711092
CT,new_persons_fully_vaccinated_moderna,47,0.3342767010567815,2.1756056808997883e-08,vaccinations,0.3342767010567815
CT,search_trends_itch,49,0.3333622032001432,9.151961115628306e-18,google-search-trends,-0.3333622032001432
CT,TX,14,0.3312530846156483,3.4134860235344694e-17,region,0.3312530846156483
