abbr,feature,lag,best_corr,p_value,type,best_orig_corr
GA,GA,1,1.0,0.0,region,1.0
GA,KY,49,0.7975713797525218,1.5177068868032614e-139,region,0.7975713797525218
GA,NC,49,0.7904526050409331,2.207517886985329e-135,region,0.7904526050409331
GA,OR,49,0.779851017018717,1.7841366327974544e-129,region,0.779851017018717
GA,MS,0,0.7712959847517051,1.2349073806422338e-124,region,0.7712959847517051
GA,OK,49,0.7604457542278543,1.7997371448877865e-119,region,0.7604457542278543
GA,TN,49,0.746163904536991,1.0663775775997043e-112,region,0.746163904536991
GA,VA,49,0.7399470119255537,6.8524008668264e-110,region,0.7399470119255537
GA,SC,49,0.7362852641302481,2.833450418258755e-108,region,0.7362852641302481
GA,WA,49,0.7328374575493963,8.909027961781226e-107,region,0.7328374575493963
GA,IN,49,0.7314044477537656,3.67613886975133e-106,region,0.7314044477537656
GA,cumulative_vaccine_doses_administered_janssen,49,0.702684068772637,2.3491113837233007e-41,vaccinations,0.702684068772637
GA,cumulative_persons_fully_vaccinated_janssen,49,0.7012550450614483,3.991118224938988e-41,vaccinations,0.7012550450614483
GA,cumulative_persons_fully_vaccinated,49,0.6971652056682798,1.7880996523064751e-40,vaccinations,0.6971652056682798
GA,cumulative_persons_fully_vaccinated_pfizer,49,0.6968854500217824,1.979432472298532e-40,vaccinations,0.6968854500217824
GA,cumulative_persons_fully_vaccinated_moderna,49,0.6927318555682634,8.832660009980379e-40,vaccinations,0.6927318555682634
GA,FL,0,0.6829542134434292,6.1713116368992336e-86,region,0.6829542134434292
GA,cumulative_vaccine_doses_administered_pfizer,49,0.6799865152146558,7.450904552740544e-38,vaccinations,0.6799865152146558
GA,TX,0,0.6795174490790278,4.994662593297376e-85,region,0.6795174490790278
GA,cumulative_vaccine_doses_administered,49,0.6790754399013582,1.0142860761974304e-37,vaccinations,0.6790754399013582
GA,cumulative_persons_vaccinated,49,0.6681150402097158,3.805906585135453e-36,vaccinations,0.6681150402097158
GA,cumulative_vaccine_doses_administered_moderna,49,0.6660318902592299,7.449374853276639e-36,vaccinations,0.6660318902592299
GA,NM,48,0.6568093463016033,1.0938385834952592e-78,region,0.6568093463016033
GA,UT,48,0.6490313119219456,2.8839740536015567e-76,region,0.6490313119219456
GA,ID,48,0.6460226062862598,2.3822989459856526e-75,region,0.6460226062862598
GA,NV,49,0.6439144956805197,7.950088208818477e-75,region,0.6439144956805197
GA,search_trends_hypoxemia,0,0.6270310524197473,7.444895920843418e-69,google-search-trends,0.6270310524197473
GA,LA,0,0.6269446490569406,1.3405284287991668e-68,region,0.6269446490569406
GA,NH,49,0.622655835668804,1.066337944957449e-68,region,0.622655835668804
GA,AL,48,0.6175270909399256,3.1960833579527246e-67,region,0.6175270909399256
GA,CA,49,0.6075876337380098,1.2382965566167585e-64,region,0.6075876337380098
GA,MA,35,0.59193711932481,3.940000499192327e-60,region,0.59193711932481
GA,AR,20,0.591578860968325,2.5358637537474033e-60,region,0.591578860968325
GA,WV,49,0.5912305820952453,1.843524163293668e-60,region,0.5912305820952453
GA,IL,28,0.5853946850112759,3.7016809393381944e-58,region,0.5853946850112759
GA,search_trends_ageusia,0,0.578106119287306,1.6418631847164792e-56,google-search-trends,0.578106119287306
GA,WY,49,0.577891860180725,3.13376030295588e-57,region,0.577891860180725
GA,AZ,49,0.5698097841209622,2.4109556270575002e-55,region,0.5698097841209622
GA,RI,21,0.5577553568766515,1.1169021085078669e-51,region,0.5577553568766515
GA,MT,48,0.5305530508970007,8.407759262884611e-47,region,0.5305530508970007
