abbr,feature,lag,best_corr,p_value,type,best_orig_corr
IA,IA,0,1.0,0.0,region,1.0
IA,cumulative_persons_fully_vaccinated_janssen,49,0.7817483453254698,1.7334801414773716e-56,vaccinations,0.7817483453254698
IA,cumulative_vaccine_doses_administered_janssen,49,0.7809752380857933,2.621316900947993e-56,vaccinations,0.7809752380857933
IA,cumulative_persons_fully_vaccinated_pfizer,46,0.77898511895516,1.3126169311800102e-55,vaccinations,0.77898511895516
IA,cumulative_vaccine_doses_administered_pfizer,46,0.7779802036947128,3.3677827062615665e-55,vaccinations,0.7779802036947128
IA,cumulative_persons_fully_vaccinated,45,0.7694569671055946,1.155859690648339e-53,vaccinations,0.7694569671055946
IA,cumulative_vaccine_doses_administered,45,0.7691916016586782,1.9062240891724326e-53,vaccinations,0.7691916016586782
IA,cumulative_persons_vaccinated,45,0.7579165985554741,3.022220481161567e-51,vaccinations,0.7579165985554741
IA,ND,46,0.7559414356659607,1.4434579751708016e-116,region,0.7559414356659607
IA,cumulative_persons_fully_vaccinated_moderna,49,0.7371321375832728,3.4918104163090736e-47,vaccinations,0.7371321375832728
IA,cumulative_vaccine_doses_administered_moderna,49,0.7169369122698979,1.4285283223445255e-43,vaccinations,0.7169369122698979
IA,search_trends_ageusia,49,0.69293635516682,5.358554289316456e-91,google-search-trends,0.69293635516682
IA,SD,46,0.6871352498152886,2.5711156440485467e-88,region,0.6871352498152886
IA,MN,46,0.6382081713646308,8.042504381577799e-73,region,0.6382081713646308
IA,NE,49,0.629384413488075,1.3803870417721672e-70,region,0.629384413488075
IA,WI,49,0.6225483147153712,1.1420612372096447e-68,region,0.6225483147153712
IA,IL,47,0.616118377997201,3.4609904792964964e-66,region,0.616118377997201
IA,MT,46,0.6123674483885605,3.780295500132499e-64,region,0.6123674483885605
IA,ID,46,0.6084431995635745,9.112707163242956e-63,region,0.6084431995635745
IA,AK,46,0.6034248750466497,4.8156704996270825e-62,region,0.6034248750466497
IA,search_trends_anosmia,49,0.5907227006310924,2.4627112669626072e-60,google-search-trends,0.5907227006310924
IA,search_trends_hypoxemia,49,0.5736647960177151,3.0837175344092216e-56,google-search-trends,0.5736647960177151
IA,CO,49,0.547101870494495,2.578643635812882e-50,region,0.547101870494495
IA,OH,46,0.5427438032457204,3.44953246738615e-49,region,0.5427438032457204
