abbr,feature,lag,best_corr,p_value,type,best_orig_corr
IN,IN,0,1.0,0.0,region,1.0
IN,NM,49,0.9249510109321936,3.495757294157899e-265,region,0.9249510109321936
IN,IL,49,0.9066007824796154,9.652818663175307e-237,region,0.9066007824796154
IN,UT,49,0.8861862274576751,2.5276339782765883e-211,region,0.8861862274576751
IN,CO,49,0.8613658453640205,2.696317977970684e-186,region,0.8613658453640205
IN,ID,49,0.8454694061240864,1.0692527389658702e-172,region,0.8454694061240864
IN,KY,21,0.8429513842106465,3.113779223582925e-169,region,0.8429513842106465
IN,NE,0,0.8423392247148147,5.858390199783506e-166,region,0.8423392247148147
IN,OK,35,0.8401613774651262,3.899741831028812e-168,region,0.8401613774651262
IN,cumulative_persons_fully_vaccinated_janssen,49,0.8148386214965204,3.541984821070613e-65,vaccinations,0.8148386214965204
IN,cumulative_vaccine_doses_administered_janssen,49,0.8144144989825622,4.661976278069274e-65,vaccinations,0.8144144989825622
IN,cumulative_vaccine_doses_administered_pfizer,49,0.8116736867057162,2.706201702675816e-64,vaccinations,0.8116736867057162
IN,cumulative_persons_fully_vaccinated_pfizer,49,0.8072371783336495,4.390841450802552e-63,vaccinations,0.8072371783336495
IN,cumulative_vaccine_doses_administered,49,0.8048907667168166,1.8618948053422787e-62,vaccinations,0.8048907667168166
IN,WY,48,0.8047815687208945,1.1122450422828664e-143,region,0.8047815687208945
IN,MT,49,0.8010227966428274,1.2659071861420382e-141,region,0.8010227966428274
IN,OR,48,0.8002541912654839,3.9795064720803424e-141,region,0.8002541912654839
IN,cumulative_persons_vaccinated,49,0.799275642450952,5.4616827672819554e-61,vaccinations,0.799275642450952
IN,cumulative_persons_fully_vaccinated,49,0.79883463051304,7.08917048396358e-61,vaccinations,0.79883463051304
IN,NV,19,0.7969875798225305,1.1169704980860416e-137,region,0.7969875798225305
IN,TN,48,0.795236377215212,3.753393204425477e-138,region,0.795236377215212
IN,RI,49,0.7887330987376058,2.114136731866088e-134,region,0.7887330987376058
IN,WI,48,0.7862166405825604,1.5887799441807846e-132,region,0.7862166405825604
IN,cumulative_persons_fully_vaccinated_moderna,49,0.779276733538147,4.0436974506047777e-56,vaccinations,0.779276733538147
IN,cumulative_vaccine_doses_administered_moderna,49,0.7766468723547084,1.6187675304474048e-55,vaccinations,0.7766468723547084
IN,search_trends_ageusia,49,0.77105100038404,8.137274081784936e-125,google-search-trends,0.77105100038404
IN,WA,48,0.7698084430107981,4.710101324589682e-124,region,0.7698084430107981
IN,OH,49,0.769698158474524,4.057171434041683e-124,region,0.769698158474524
IN,NC,21,0.7646264393686835,1.0424616020089042e-119,region,0.7646264393686835
IN,NH,49,0.7460185571332145,1.2430650115248423e-112,region,0.7460185571332145
IN,VA,20,0.7444377229363376,2.1867086932173612e-109,region,0.7444377229363376
IN,MN,48,0.7406689010813408,7.659758726803504e-110,region,0.7406689010813408
IN,PA,49,0.7398499791924158,7.568845974410411e-110,region,0.7398499791924158
IN,GA,49,0.7314044477537656,3.67613886975133e-106,region,0.7314044477537656
IN,MD,49,0.7309758073703618,5.607207285060117e-106,region,0.7309758073703618
IN,MA,3,0.7242693314627782,3.990507919895664e-102,region,0.7242693314627782
IN,WV,48,0.7054518008445747,1.1899991360741548e-95,region,0.7054518008445747
IN,DE,49,0.698040128513473,7.189390840145991e-93,region,0.698040128513473
IN,SD,49,0.6953538942997237,7.031786622715546e-92,region,0.6953538942997237
IN,MS,49,0.6841390543313827,7.346433033116596e-88,region,0.6841390543313827
IN,search_trends_hypoxemia,49,0.6813994032424022,6.613825962281342e-87,google-search-trends,0.6813994032424022
IN,search_trends_dysgeusia,49,0.6777515001227918,1.1887809311777446e-85,google-search-trends,0.6777515001227918
IN,AK,48,0.6655544132993765,2.487989467794988e-81,region,0.6655544132993765
IN,search_trends_anosmia,49,0.6576099737185224,4.871806544263176e-79,google-search-trends,0.6576099737185224
IN,CA,35,0.6482485865893328,4.7413409586763024e-76,region,0.6482485865893328
IN,SC,27,0.6404430445743988,6.887862969223109e-73,region,0.6404430445743988
IN,AR,49,0.6262590308787471,1.0535967661163444e-69,region,0.6262590308787471
IN,TX,49,0.6202249503000463,4.996629386798664e-68,region,0.6202249503000463
IN,AL,49,0.6132022513734476,4.016137005640669e-66,region,0.6132022513734476
IN,AZ,49,0.6026276253298082,2.4194060945783365e-63,region,0.6026276253298082
IN,ND,49,0.5923148329640082,9.91772319561016e-61,region,0.5923148329640082
IN,NJ,49,0.5783883579046324,2.3904410914724525e-57,region,0.5783883579046324
IN,current_hospitalized_patients,49,0.5780800694860708,4.4037210297771186e-54,hospitalizations,0.5780800694860708
IN,MI,48,0.5720926514122016,2.5435730791705998e-55,region,0.5720926514122016
IN,IA,49,0.5146692021546457,9.106889180641198e-44,region,0.5146692021546457
IN,NY,9,0.5125674637395652,7.339901139160925e-43,region,0.5125674637395652
IN,FL,49,0.5118596614240569,3.118785381929943e-43,region,0.5118596614240569
IN,KS,0,0.5112417533616062,2.191170105681607e-42,region,0.5112417533616062
IN,LA,49,0.4967869185861309,1.899541653866926e-40,region,0.4967869185861309
IN,VT,48,0.4648907300729849,1.62902870444584e-34,region,0.4648907300729849
IN,ME,49,0.4578007924123434,7.40444701131618e-34,region,0.4578007924123434
IN,search_trends_abdominal_obesity,45,0.4490312313763293,3.122890858209822e-32,google-search-trends,0.4490312313763293
IN,search_trends_stretch_marks,45,0.4477529251862504,4.616442784461159e-32,google-search-trends,0.4477529251862504
IN,CT,3,0.4449789619864236,1.3387160912803186e-31,region,0.4449789619864236
IN,search_trends_hives,49,0.433318356804491,3.927681619421864e-30,google-search-trends,-0.433318356804491
IN,search_trends_ingrown_hair,44,0.4135745249378697,3.1068235616014327e-27,google-search-trends,0.4135745249378697
IN,search_trends_water_retention,49,0.4135514080914149,2.438747805101825e-27,google-search-trends,-0.4135514080914149
