abbr,feature,lag,best_corr,p_value,type,best_orig_corr
NC,NC,1,1.0,0.0,region,1.0
NC,KY,48,0.8952172315301451,6.229752444271687e-221,region,0.8952172315301451
NC,TN,49,0.8692333513044638,1.143828226212467e-193,region,0.8692333513044638
NC,OK,35,0.8607267888600685,1.2050019047639172e-183,region,0.8607267888600685
NC,cumulative_persons_fully_vaccinated,21,0.8300196625979355,6.9015458673444e-65,vaccinations,0.8300196625979355
NC,cumulative_persons_fully_vaccinated_pfizer,21,0.8289846686144609,5.42243386770584e-64,vaccinations,0.8289846686144609
NC,cumulative_vaccine_doses_administered,16,0.8273195672675309,1.3626531597908693e-61,vaccinations,0.8273195672675309
NC,cumulative_vaccine_doses_administered_pfizer,16,0.8233022279841988,9.154336071523393e-60,vaccinations,0.8233022279841988
NC,cumulative_vaccine_doses_administered_janssen,21,0.8223488670454158,4.677939668307801e-63,vaccinations,0.8223488670454158
NC,cumulative_persons_fully_vaccinated_janssen,21,0.8216436518710342,5.780017699959994e-63,vaccinations,0.8216436518710342
NC,cumulative_persons_vaccinated,16,0.8140534611150667,8.966599881617183e-58,vaccinations,0.8140534611150667
NC,cumulative_persons_fully_vaccinated_moderna,21,0.8121269242866092,2.2533399530108018e-61,vaccinations,0.8121269242866092
NC,OR,48,0.8119991361805861,2.833543921376919e-147,region,0.8119991361805861
NC,SC,0,0.8055373812288843,8.764725371414507e-143,region,0.8055373812288843
NC,GA,49,0.7904526050409331,2.207517886985329e-135,region,0.7904526050409331
NC,cumulative_vaccine_doses_administered_moderna,21,0.7871196910393399,4.6646017517623055e-54,vaccinations,0.7871196910393399
NC,VA,6,0.7671670143537148,1.1495863553537242e-119,region,0.7671670143537148
NC,IN,21,0.7646264393686835,1.0424616020089042e-119,region,0.7646264393686835
NC,WA,48,0.7629654433131943,1.8502174154697005e-119,region,0.7629654433131943
NC,NH,48,0.7490448156256942,1.0687337258126573e-113,region,0.7490448156256942
NC,UT,49,0.7364315236382082,2.444940821818633e-108,region,0.7364315236382082
NC,MS,49,0.7075298549539516,1.8528888556387242e-96,region,0.7075298549539516
NC,MA,49,0.6915917258163085,1.6437320744728351e-90,region,0.6915917258163085
NC,NM,49,0.6776595950384635,1.277840463855093e-85,region,0.6776595950384635
NC,NV,0,0.667138034545351,1.1046943156143364e-79,region,0.667138034545351
NC,WY,48,0.6644535076099347,4.502477467001749e-80,region,0.6644535076099347
NC,ID,49,0.6268739653067367,7.076182937187336e-70,region,0.6268739653067367
NC,FL,49,0.6162223914551024,6.171558168911238e-67,region,0.6162223914551024
NC,search_trends_ageusia,49,0.6104166704674276,2.219653385802813e-65,google-search-trends,0.6104166704674276
NC,WV,49,0.6092507180748772,4.517252829421481e-65,region,0.6092507180748772
NC,OH,49,0.6003278876611889,9.431582196557287e-63,region,0.6003278876611889
NC,CA,0,0.5952856243664006,2.3515084331283344e-61,region,0.5952856243664006
NC,IL,49,0.5860881502176898,3.379217467105831e-59,region,0.5860881502176898
NC,RI,49,0.5842574915633715,9.398617537063768e-59,region,0.5842574915633715
NC,MT,49,0.5842391870859545,9.494928552852173e-59,region,0.5842391870859545
NC,TX,49,0.581007937456262,5.684896065577992e-58,region,0.581007937456262
NC,LA,49,0.57902941166774,1.6840545307719694e-57,region,0.57902941166774
NC,AZ,49,0.5542273588076883,7.495435937691037e-52,region,0.5542273588076883
NC,AL,49,0.5500154420797356,6.131296058091811e-51,region,0.5500154420797356
NC,DE,49,0.5477014439548771,1.920941820996721e-50,region,0.5477014439548771
NC,CO,41,0.5460217961880227,1.1851372066391792e-48,region,0.5460217961880227
NC,search_trends_dysgeusia,49,0.5432071760671606,1.721055419516589e-49,google-search-trends,0.5432071760671606
NC,PA,49,0.5407770837969137,5.5556673210338205e-49,region,0.5407770837969137
NC,MD,49,0.5319665507557924,3.593792635579619e-47,region,0.5319665507557924
NC,VT,48,0.5282588809358681,1.3672597406548913e-45,region,0.5282588809358681
NC,search_trends_hypoxemia,49,0.527175187139522,3.2971593411124993e-46,google-search-trends,0.527175187139522
NC,NE,27,0.5083675291667088,4.526121767240722e-41,region,0.5083675291667088
NC,search_trends_anosmia,49,0.5028594111071716,1.4909216346882124e-41,google-search-trends,0.5028594111071716
NC,AK,48,0.4933232598298193,1.4179583816730352e-39,region,0.4933232598298193
NC,AR,49,0.4923317711111494,1.1898359677203966e-39,region,0.4923317711111494
NC,WI,48,0.4816389292616992,6.431054012581789e-37,region,0.4816389292616992
NC,NY,26,0.470655602221077,1.1636051815556689e-35,region,0.470655602221077
NC,MI,48,0.4588823855478945,4.547280989382995e-33,region,0.4588823855478945
NC,ME,49,0.4220263059587752,1.63049718739511e-28,region,0.4220263059587752
NC,current_intensive_care_patients,44,0.4202936141835429,2.6902081999490416e-26,hospitalizations,0.4202936141835429
NC,MN,48,0.4157005154191196,2.7976516681302605e-27,region,0.4157005154191196
NC,search_trends_bradycardia,0,0.4091029312245062,4.0343393467957737e-26,google-search-trends,0.4091029312245062
NC,search_trends_tachycardia,48,0.4076647082084363,2.0402097120009238e-26,google-search-trends,0.4076647082084363
NC,search_trends_palpitations,26,0.4051173693624679,1.119161069233244e-25,google-search-trends,0.4051173693624679
NC,current_hospitalized_patients,44,0.4025793598125338,3.730300470693441e-24,hospitalizations,0.4025793598125338
NC,NJ,49,0.3983827702841956,2.5573394949791686e-25,region,0.3983827702841956
NC,cumulative_hospitalized_patients,16,0.3893351909124908,9.634328938544077e-18,hospitalizations,0.3893351909124908
NC,SD,49,0.3826924828405534,2.459187436022162e-23,region,0.3826924828405534
NC,search_trends_grandiosity,41,0.3790819610768058,7.726347151597013e-23,google-search-trends,0.3790819610768058
NC,KS,0,0.376657243549005,5.708019480647033e-22,region,0.376657243549005
NC,CT,3,0.3757150973367522,4.0409816363840506e-22,region,0.3757150973367522
NC,new_hospitalized_patients,49,0.3714402002391305,1.3091837360456644e-20,hospitalizations,0.3714402002391305
NC,HI,49,0.3583669684809513,1.8183429493814064e-20,region,0.3583669684809513
NC,search_trends_bruxism,34,0.3136063932137241,1.422032528595975e-15,google-search-trends,0.3136063932137241
NC,search_trends_impulsivity,41,0.3072810386698379,8.999925251928936e-15,google-search-trends,0.3072810386698379
NC,search_trends_eye_pain,42,0.3058215780301175,4.9535908049608385e-15,google-search-trends,0.3058215780301175
NC,new_persons_vaccinated,38,0.2965216139550666,1.1104911929977824e-06,vaccinations,0.2965216139550666
NC,search_trends_hyperglycemia,0,0.2963588304909952,3.4380231671909695e-13,google-search-trends,0.2963588304909952
NC,search_trends_pyelonephritis,48,0.2963108122065143,1.1604159430554482e-13,google-search-trends,0.2963108122065143
NC,search_trends_stretch_marks,45,0.2919465320353978,1.812633347050761e-13,google-search-trends,0.2919465320353978
NC,search_trends_hypercholesterolemia,34,0.2898456074300893,2.5173809835674817e-13,google-search-trends,0.2898456074300893
NC,search_trends_compulsive_hoarding,44,0.2893532045664363,2.663876826014346e-13,google-search-trends,0.2893532045664363
NC,search_trends_skin_rash,44,0.2886249565991727,1.988579397725417e-13,google-search-trends,0.2886249565991727
NC,search_trends_insomnia,0,0.2825643697434183,2.9682774604439708e-12,google-search-trends,0.2825643697434183
NC,search_trends_abdominal_obesity,45,0.2812581031177014,1.4591949593026725e-12,google-search-trends,0.2812581031177014
NC,search_trends_ingrown_hair,45,0.2799454422765029,1.6671370814018638e-12,google-search-trends,0.2799454422765029
NC,search_trends_urinary_tract_infection,34,0.2737024100591524,9.726119376735412e-12,google-search-trends,0.2737024100591524
NC,new_vaccine_doses_administered,48,0.2736587816963677,6.771712024999903e-06,vaccinations,0.2736587816963677
NC,search_trends_heart_arrhythmia,0,0.2707315284687489,3.623621342597839e-11,google-search-trends,0.2707315284687489
NC,search_trends_hypertriglyceridemia,0,0.2702967424308957,2.6536346866944568e-11,google-search-trends,0.2702967424308957
NC,search_trends_iron_deficiency,0,0.2680338450864125,2.9802414188030484e-11,google-search-trends,0.2680338450864125
NC,search_trends_avoidant_personality_disorder,48,0.2657515686789612,4.3464749057187964e-11,google-search-trends,0.2657515686789612
NC,MO,49,0.2654795494295136,1.3672129975531177e-11,region,0.2654795494295136
NC,search_trends_attention_deficit_hyperactivity_disorder,41,0.2634345239080451,5.692500061921814e-11,google-search-trends,0.2634345239080451
NC,search_trends_esophagitis,41,0.2620708749530195,7.234470277957922e-11,google-search-trends,0.2620708749530195
NC,search_trends_clouding_of_consciousness,0,0.2616708055435871,5.354306786949148e-11,google-search-trends,0.2616708055435871
NC,mobility_parks,49,0.2549184571121334,2.0529549010516167e-10,mobility,-0.2549184571121334
NC,search_trends_pericarditis,41,0.2526142653796863,2.3758288579078834e-10,google-search-trends,0.2526142653796863
NC,search_trends_burning_mouth_syndrome,48,0.2518427718055369,1.972089529560259e-09,google-search-trends,0.2518427718055369
NC,search_trends_bells_palsy,49,0.2490464484313302,2.473406672657685e-10,google-search-trends,0.2490464484313302
NC,search_trends_facial_nerve_paralysis,49,0.2489613861038793,2.5094358091733445e-10,google-search-trends,0.2489613861038793
NC,search_trends_osteoporosis,0,0.2480300081307934,3.720368082755982e-09,google-search-trends,0.2480300081307934
NC,search_trends_generalized_anxiety_disorder,0,0.2446185791338276,1.5569450976389387e-08,google-search-trends,0.2446185791338276
NC,search_trends_neck_pain,1,0.2439163196886418,2.160735281463386e-09,google-search-trends,0.2439163196886418
NC,search_trends_hypoxia,0,0.243624237102413,9.214223191756082e-09,google-search-trends,0.243624237102413
NC,search_trends_hives,44,0.2402921272145912,1.178512372830557e-09,google-search-trends,0.2402921272145912
NC,search_trends_proteinuria,0,0.2368965398681007,9.103967442091598e-09,google-search-trends,0.2368965398681007
NC,search_trends_fibrillation,0,0.2367381727368125,6.607764004220072e-09,google-search-trends,0.2367381727368125
NC,search_trends_hypertension,0,0.2362951964408681,2.1910339195146208e-08,google-search-trends,0.2362951964408681
NC,ND,49,0.2356940552064685,2.2431196857757467e-09,region,0.2356940552064685
NC,search_trends_anal_fissure,1,0.2354881572415199,3.908652751530575e-09,google-search-trends,0.2354881572415199
NC,search_trends_photodermatitis,44,0.2349728135997389,3.787886922243456e-09,google-search-trends,0.2349728135997389
NC,search_trends_hyperlipidemia,0,0.233086968928622,3.134494064603402e-08,google-search-trends,0.233086968928622
NC,search_trends_osteopenia,0,0.2329892166528194,2.9258934168054453e-08,google-search-trends,0.2329892166528194
NC,search_trends_skin_tag,44,0.2327662495759849,4.5926605998345005e-09,google-search-trends,0.2327662495759849
NC,search_trends_anemia,0,0.2311239496149488,2.6769826543461962e-08,google-search-trends,0.2311239496149488
NC,search_trends_hepatitis,8,0.2309314460558877,2.213738653351508e-08,google-search-trends,0.2309314460558877
NC,search_trends_bacterial_vaginosis,7,0.2307066719773494,2.2525541794297905e-08,google-search-trends,0.2307066719773494
NC,search_trends_itch,44,0.2304265430205038,6.2457255918082835e-09,google-search-trends,0.2304265430205038
NC,search_trends_acne,45,0.2303306205682337,1.3247109872966902e-08,google-search-trends,0.2303306205682337
NC,IA,49,0.2171654072357781,3.8621476224714246e-08,region,0.2171654072357781
NC,new_persons_fully_vaccinated_moderna,0,0.1993678043793598,0.0128880860188578,vaccinations,0.1993678043793598
NC,mobility_grocery_and_pharmacy,49,0.1478972691254788,0.0002649782229995,mobility,-0.1478972691254788
NC,new_vaccine_doses_administered_moderna,36,0.1471574003614185,0.0305154572218498,vaccinations,0.1471574003614185
NC,mobility_transit_stations,49,0.1052995303657009,0.0096052120483166,mobility,-0.1052995303657009
