abbr,feature,lag,best_corr,p_value,type,best_orig_corr
NV,NV,0,1.0,0.0,region,1.0
NV,IN,19,0.7969875798225304,1.1169704980863765e-137,region,0.7969875798225304
NV,NM,49,0.7930041451017038,7.425706105694031e-137,region,0.7930041451017038
NV,UT,49,0.7564394306477087,1.593527132563269e-117,region,0.7564394306477087
NV,OK,0,0.753521135979182,8.657958047663885e-116,region,0.753521135979182
NV,ID,49,0.7498127268043329,2.194640636489737e-114,region,0.7498127268043329
NV,cumulative_vaccine_doses_administered_janssen,29,0.7337227105691517,4.5420413097452514e-43,vaccinations,0.7337227105691517
NV,cumulative_persons_fully_vaccinated_janssen,29,0.733614837513279,5.050711623953046e-43,vaccinations,0.733614837513279
NV,IL,12,0.7240298510198775,1.6341024896297165e-102,region,0.7240298510198775
NV,cumulative_persons_fully_vaccinated,29,0.7198332983848451,3.020689279012766e-40,vaccinations,0.7198332983848451
NV,cumulative_persons_fully_vaccinated_pfizer,22,0.7190380096885758,6.712809286544438e-39,vaccinations,0.7190380096885758
NV,cumulative_vaccine_doses_administered,22,0.7136582216702119,7.769414094936858e-38,vaccinations,0.7136582216702119
NV,cumulative_vaccine_doses_administered_pfizer,22,0.7133288666362219,7.358779021069347e-37,vaccinations,0.7133288666362219
NV,cumulative_persons_fully_vaccinated_moderna,30,0.7042701409189733,4.60035279123988e-39,vaccinations,0.7042701409189733
NV,cumulative_persons_vaccinated,22,0.6973558663562742,5.0735034614404337e-36,vaccinations,0.6973558663562742
NV,CO,49,0.6958573844472615,4.5948622716971765e-92,region,0.6958573844472615
NV,KY,0,0.6904834793066223,7.512541059319114e-88,region,0.6904834793066223
NV,CA,35,0.681587217768779,9.538562179306566e-87,region,0.681587217768779
NV,VA,6,0.6805614799148901,2.5804066483531555e-84,region,0.6805614799148901
NV,OH,49,0.6752227321587064,8.594524624952474e-85,region,0.6752227321587064
NV,cumulative_vaccine_doses_administered_moderna,29,0.6723996170843444,2.999793506438162e-34,vaccinations,0.6723996170843444
NV,RI,0,0.6713750320501888,3.177997488453212e-82,region,0.6713750320501888
NV,NC,0,0.667138034545351,1.1046943156143364e-79,region,0.667138034545351
NV,NE,20,0.6669124184869528,1.7847131677350218e-80,region,0.6669124184869528
NV,TN,35,0.6662473425012045,2.109305710846379e-81,region,0.6662473425012045
NV,MT,49,0.6583151449122184,2.9160259606228876e-79,region,0.6583151449122184
NV,search_trends_ageusia,49,0.6551675056304955,2.851705775204261e-78,google-search-trends,0.6551675056304955
NV,OR,0,0.653988691052114,6.16783349021421e-77,region,0.653988691052114
NV,PA,49,0.65088152651343,6.0899905400864055e-77,region,0.65088152651343
NV,MS,35,0.6481201433496602,4.931084375296314e-76,region,0.6481201433496602
NV,NH,49,0.644178206434517,6.626618937490749e-75,region,0.644178206434517
NV,GA,49,0.6439144956805198,7.950088208818477e-75,region,0.6439144956805198
NV,AZ,49,0.6435234963072818,1.0410675917260897e-74,region,0.6435234963072818
NV,WY,48,0.6383350551335745,8.203892711038884e-73,region,0.6383350551335745
NV,WA,0,0.6383063849988693,2.5981285897040685e-72,region,0.6383063849988693
NV,MD,49,0.6370983192778286,8.272140354574409e-73,region,0.6370983192778286
NV,WI,48,0.6342209673251051,1.443256699807562e-71,region,0.6342209673251051
NV,AR,49,0.621687428578797,1.976179766429725e-68,region,0.621687428578797
NV,MA,12,0.6198232679533919,1.8503132825462296e-66,region,0.6198232679533919
NV,DE,49,0.6136773736348079,2.995211183026727e-66,region,0.6136773736348079
NV,TX,49,0.6051466122478264,5.382202675125204e-64,region,0.6051466122478264
NV,WV,47,0.602006092620267,4.522206096417012e-63,region,0.602006092620267
NV,MN,48,0.5985219966644997,5.432972253615282e-62,region,0.5985219966644997
NV,current_ventilator_patients,48,0.5923941500224107,1.2127124213748022e-56,hospitalizations,0.5923941500224107
NV,search_trends_anosmia,49,0.5871130288031633,1.9005135339084773e-59,google-search-trends,0.5871130288031633
NV,AL,49,0.5785866520255754,2.1451558727611058e-57,region,0.5785866520255754
NV,SC,0,0.5754149937573034,1.6057214624491533e-55,region,0.5754149937573034
NV,search_trends_hypoxemia,41,0.5588001767353145,9.907933259960613e-53,google-search-trends,0.5588001767353145
NV,LA,42,0.552419175257914,1.96684074759502e-51,region,0.552419175257914
NV,AK,48,0.5354277566328867,1.1785597039349206e-47,region,0.5354277566328867
NV,new_hospitalized_patients,49,0.5064470739974563,1.9615412858250568e-39,hospitalizations,0.5064470739974563
NV,SD,49,0.5036414832618918,1.070277834776433e-41,region,0.5036414832618918
NV,FL,49,0.486448288903345,1.2881822492231575e-38,region,0.486448288903345
NV,MI,48,0.4604928789514012,7.3429346238973245e-34,region,0.4604928789514012
NV,NJ,49,0.4592504382473672,4.3583342734925796e-34,region,0.4592504382473672
NV,KS,0,0.4587380473171673,8.412896807333886e-34,region,0.4587380473171673
NV,NY,48,0.4398834891156592,6.292277771662639e-31,region,0.4398834891156592
NV,ME,49,0.4320221626629109,6.0674132865124294e-30,region,0.4320221626629109
NV,search_trends_dysgeusia,49,0.4280705608780987,2.2582258409410242e-29,google-search-trends,0.4280705608780987
NV,ND,49,0.4263547858371745,3.974229106109474e-29,region,0.4263547858371745
NV,IA,49,0.4077465314340358,1.488429561140999e-26,region,0.4077465314340358
NV,search_trends_hives,48,0.4069212862802045,2.849296125457873e-26,google-search-trends,0.4069212862802045
NV,new_persons_vaccinated,22,0.4008112576016826,5.217776589143642e-10,vaccinations,0.4008112576016826
NV,new_vaccine_doses_administered,32,0.3925964140199316,1.2890884503091598e-10,vaccinations,0.3925964140199316
NV,search_trends_hay_fever,47,0.390994384432463,2.507306439061558e-24,google-search-trends,0.390994384432463
NV,search_trends_bells_palsy,49,0.3825111766770113,2.588726719184514e-23,google-search-trends,0.3825111766770113
NV,CT,3,0.3777927434930849,5.4068466083957245e-22,region,0.3777927434930849
NV,search_trends_facial_nerve_paralysis,49,0.3761299616499111,1.5449405954705216e-22,google-search-trends,0.3761299616499111
NV,search_trends_abdominal_obesity,47,0.3708183874506323,1.3056637480375325e-21,google-search-trends,0.3708183874506323
NV,VT,47,0.3668242540392644,4.600643976220477e-21,region,0.3668242540392644
NV,search_trends_skin_rash,42,0.3631384836415848,1.1831196142780568e-20,google-search-trends,0.3631384836415848
NV,search_trends_allergy,47,0.3564632914074919,3.145442051531299e-20,google-search-trends,0.3564632914074919
NV,MO,49,0.3543871470072593,5.0828257362211814e-20,region,0.3543871470072593
NV,search_trends_conjunctivitis,49,0.3425184768457985,1.0007743221402129e-18,google-search-trends,-0.3425184768457985
NV,search_trends_ingrown_hair,48,0.3098922825565814,3.4313908491197777e-15,google-search-trends,0.3098922825565814
NV,search_trends_tachycardia,0,0.3049613102094858,2.149912956991472e-14,google-search-trends,0.3049613102094858
NV,mobility_grocery_and_pharmacy,46,0.3024092985699857,3.850349101566306e-14,mobility,0.3024092985699857
NV,mobility_parks,46,0.3002090301689814,6.337505843796194e-14,mobility,0.3002090301689814
NV,current_hospitalized_patients,48,0.2993138641278339,1.432538134624351e-13,hospitalizations,0.2993138641278339
