abbr,feature,lag,best_corr,p_value,type,best_orig_corr
OR,OR,0,1.0,0.0,region,1.0
OR,WA,42,0.8837623006469039,5.056560145490518e-206,region,0.8837623006469039
OR,KY,42,0.8837184008860971,1.4708385745495844e-207,region,0.8837184008860971
OR,cumulative_persons_fully_vaccinated_pfizer,36,0.8413236686824495,1.0097606491699686e-71,vaccinations,0.8413236686824495
OR,cumulative_vaccine_doses_administered_janssen,36,0.8372119055537627,4.651219884559328e-69,vaccinations,0.8372119055537627
OR,cumulative_persons_fully_vaccinated_janssen,36,0.8357603062181067,1.1331268940176082e-68,vaccinations,0.8357603062181067
OR,cumulative_persons_fully_vaccinated,36,0.8352514725055256,7.726834214439463e-70,vaccinations,0.8352514725055256
OR,cumulative_vaccine_doses_administered_pfizer,36,0.8238989008222375,3.915095175680459e-65,vaccinations,0.8238989008222375
OR,cumulative_vaccine_doses_administered,36,0.8211940339592606,1.0921765743696176e-64,vaccinations,0.8211940339592606
OR,NC,48,0.8119991361805861,2.833543921376919e-147,region,0.8119991361805861
OR,cumulative_persons_fully_vaccinated_moderna,42,0.8082412961324998,1.7112333025485785e-62,vaccinations,0.8082412961324998
OR,IN,48,0.8002541912654839,3.9795064720803424e-141,region,0.8002541912654839
OR,cumulative_persons_vaccinated,36,0.7939847775010132,5.660740338482112e-58,vaccinations,0.7939847775010132
OR,TN,49,0.792433713999546,1.5917770325468964e-136,region,0.792433713999546
OR,WY,0,0.7803284998216865,2.037330222673761e-117,region,0.7803284998216865
OR,GA,49,0.779851017018717,1.7841366327974544e-129,region,0.779851017018717
OR,cumulative_vaccine_doses_administered_moderna,42,0.7751494580697826,2.702973129981944e-54,vaccinations,0.7751494580697826
OR,MS,49,0.7708337969382106,1.0539690612397655e-124,region,0.7708337969382106
OR,OK,48,0.7686198954611491,6.451994756782109e-122,region,0.7686198954611491
OR,SC,48,0.7417177281985856,4.076207933852574e-110,region,0.7417177281985856
OR,VA,34,0.7184318316149644,7.138766197690196e-98,region,0.7184318316149644
OR,ID,49,0.713324063693134,1.011005791869074e-98,region,0.713324063693134
OR,NM,17,0.6946293409270147,2.2183670803388136e-89,region,0.6946293409270147
OR,NH,34,0.6843013226513162,1.2255444544706798e-80,region,0.6843013226513162
OR,MT,0,0.6742488183667024,5.453513741666276e-83,region,0.6742488183667024
OR,UT,3,0.6670446820431233,2.698512470538462e-76,region,0.6670446820431233
OR,WV,49,0.6606007064013625,5.472521872223777e-80,region,0.6606007064013625
OR,FL,49,0.6596959852980343,1.0630912415226632e-79,region,0.6596959852980343
OR,AK,49,0.656822553759054,8.627342327623485e-79,region,0.656822553759054
OR,NV,0,0.653988691052114,6.16783349021421e-77,region,0.653988691052114
OR,CO,19,0.6359473675263558,2.1855162325920065e-64,region,0.6359473675263558
OR,IL,0,0.6141206970922803,3.16365996752958e-66,region,0.6141206970922803
OR,LA,49,0.6083169783587672,7.963081501783748e-65,region,0.6083169783587672
OR,TX,49,0.581585766355991,4.134014038673189e-58,region,0.581585766355991
OR,NE,0,0.5677845306282915,9.247280463737244e-49,region,0.5677845306282915
OR,cumulative_hospitalized_patients,9,0.5509917686390702,4.534253166756041e-37,hospitalizations,0.5509917686390702
OR,OH,49,0.5468587667301251,2.905139188681335e-50,region,0.5468587667301251
OR,WI,6,0.5446118829174587,1.2108024008721436e-44,region,0.5446118829174587
OR,MN,20,0.5434657323351153,4.3538845281504003e-45,region,0.5434657323351153
OR,AL,49,0.5417802061779762,3.4288848706327566e-49,region,0.5417802061779762
OR,search_trends_ageusia,45,0.5341511560362591,1.545306977263779e-47,google-search-trends,0.5341511560362591
OR,MA,3,0.5248125583466555,3.27160673523458e-43,region,0.5248125583466555
OR,VT,47,0.5187457953937111,2.3464936162351965e-43,region,0.5187457953937111
OR,RI,0,0.5098673283019313,7.879458737828913e-42,region,0.5098673283019313
OR,new_persons_vaccinated,36,0.5038785036141149,1.161064846679864e-17,vaccinations,0.5038785036141149
OR,DE,49,0.5038618892181762,9.746717958538092e-42,region,0.5038618892181762
OR,AR,49,0.5001880339458057,4.596021982630807e-41,region,0.5001880339458057
OR,HI,49,0.4887823097304991,5.034914142671231e-39,region,0.4887823097304991
OR,PA,49,0.4864617453428143,1.281250766077767e-38,region,0.4864617453428143
OR,MI,14,0.4790608934123225,1.268299312147038e-32,region,0.4790608934123225
OR,CA,49,0.4639072552450574,7.805580575201502e-35,region,0.4639072552450574
OR,new_vaccine_doses_administered,48,0.4534296347340824,8.204716391613107e-15,vaccinations,0.4534296347340824
OR,ME,49,0.4533448339223399,3.716407306182703e-33,region,0.4533448339223399
OR,MD,49,0.4359869727600041,1.5948263126102036e-30,region,0.4359869727600041
OR,search_trends_urinary_tract_infection,3,0.428219372415952,3.2923004111429537e-25,google-search-trends,0.428219372415952
OR,SD,0,0.4267573717937069,1.6230627418232662e-27,region,0.4267573717937069
OR,KS,0,0.4125668492587632,6.453869451698301e-26,region,0.4125668492587632
OR,AZ,49,0.4123888141254845,3.5134522085770785e-27,region,0.4123888141254845
OR,search_trends_attention_deficit_hyperactivity_disorder,1,0.4049596354382387,5.009312528327498e-21,google-search-trends,0.4049596354382387
OR,search_trends_hepatitis,9,0.4049184996804978,1.8075081409942992e-24,google-search-trends,0.4049184996804978
OR,current_hospitalized_patients,16,0.3870956371722428,3.2131790109740205e-21,hospitalizations,0.3870956371722428
OR,search_trends_abdominal_obesity,30,0.385230536247823,1.1639739474594098e-21,google-search-trends,0.385230536247823
OR,search_trends_impulsivity,2,0.3842234867830482,3.2930809465162444e-19,google-search-trends,0.3842234867830482
OR,current_intensive_care_patients,44,0.382740771276977,1.660583629488942e-20,hospitalizations,0.382740771276977
OR,search_trends_avoidant_personality_disorder,23,0.3805903473434928,1.7228312955434475e-20,google-search-trends,0.3805903473434928
OR,search_trends_stretch_marks,23,0.3685589070228932,2.4167082424386097e-18,google-search-trends,0.3685589070228932
OR,search_trends_hypoxemia,38,0.3657910575424485,3.803859308245176e-21,google-search-trends,0.3657910575424485
OR,search_trends_acne,9,0.3615716292353447,2.548622567635321e-17,google-search-trends,0.3615716292353447
OR,search_trends_pericarditis,9,0.3419675964834358,4.663663610628823e-16,google-search-trends,0.3419675964834358
OR,new_hospitalized_patients,49,0.3403832684635554,2.3180871246972905e-17,hospitalizations,0.3403832684635554
OR,search_trends_hypercholesterolemia,0,0.3399889641861465,3.794333711916924e-14,google-search-trends,0.3399889641861465
OR,NY,48,0.32664361741657,7.216582334305551e-17,region,0.32664361741657
OR,search_trends_proteinuria,0,0.3230786810974293,2.3269234646823213e-12,google-search-trends,0.3230786810974293
OR,search_trends_iron_deficiency,0,0.3187019230051463,1.1739446708621837e-12,google-search-trends,0.3187019230051463
OR,search_trends_tachycardia,1,0.318451598418711,8.484739901242405e-13,google-search-trends,0.318451598418711
OR,search_trends_anosmia,44,0.3173752011398794,7.516906193922072e-16,google-search-trends,0.3173752011398794
OR,ND,30,0.3161541172072015,1.91252137408735e-15,region,0.3161541172072015
OR,search_trends_dysgeusia,49,0.3157126856087456,5.311408889236285e-16,google-search-trends,0.3157126856087456
OR,NJ,49,0.3113507232055853,1.3912870734962709e-15,region,0.3113507232055853
OR,search_trends_xeroderma,9,0.3113177158657419,4.2193051392256793e-13,google-search-trends,0.3113177158657419
OR,search_trends_pyelonephritis,3,0.3077817987018486,2.3329974079189897e-12,google-search-trends,0.3077817987018486
OR,search_trends_anemia,0,0.302702266477103,1.3165011340869907e-10,google-search-trends,0.302702266477103
OR,search_trends_bradycardia,0,0.300458546581091,1.6143687433666388e-13,google-search-trends,0.300458546581091
OR,search_trends_cataract,0,0.2982032660885624,1.692815066040917e-10,google-search-trends,0.2982032660885624
OR,search_trends_hypertriglyceridemia,0,0.2963584965025307,8.628765240721764e-10,google-search-trends,0.2963584965025307
OR,CT,49,0.2958845376559472,3.7257615504589966e-14,region,0.2958845376559472
OR,search_trends_palpitations,25,0.295484175965886,8.806530299313458e-13,google-search-trends,0.295484175965886
OR,new_persons_fully_vaccinated_moderna,29,0.2954057758596969,7.526444028099732e-06,vaccinations,0.2954057758596969
OR,search_trends_pancreatitis,16,0.292647363725966,1.8609249807955773e-12,google-search-trends,0.292647363725966
OR,IA,49,0.2893786756417299,1.4015497921748618e-13,region,0.2893786756417299
OR,search_trends_heart_arrhythmia,0,0.2882527652949933,5.692090341811604e-10,google-search-trends,0.2882527652949933
