abbr,feature,lag,best_corr,p_value,type,best_orig_corr
RI,RI,0,1.0,0.0,region,1.0
RI,PA,49,0.8213260127041172,9.664380847980804e-155,region,0.8213260127041172
RI,IL,0,0.8053559071807505,4.5791359526611876e-138,region,0.8053559071807505
RI,MA,5,0.8009326158842296,7.681446757602161e-136,region,0.8009326158842296
RI,NM,47,0.7999537277903467,8.644985111971979e-141,region,0.7999537277903467
RI,MD,49,0.7989891191866763,2.1488398247996648e-140,region,0.7989891191866763
RI,IN,49,0.7887330987376058,2.114136731866088e-134,region,0.7887330987376058
RI,CO,49,0.7872113382976467,1.534264094818359e-133,region,0.7872113382976467
RI,DE,49,0.7508937364740546,6.856087255378203e-115,region,0.7508937364740546
RI,NJ,48,0.7497981236423497,2.4666998654775627e-114,region,0.7497981236423497
RI,UT,47,0.7495955141617662,1.014667899784892e-113,region,0.7495955141617662
RI,NH,49,0.7379627128380437,5.190145572935387e-109,region,0.7379627128380437
RI,NE,49,0.7200044609802685,2.111342515579233e-101,region,0.7200044609802685
RI,OH,49,0.715178136580892,1.856295360184137e-99,region,0.715178136580892
RI,ID,47,0.7034908862595792,4.319896062677093e-94,region,0.7034908862595792
RI,NY,49,0.6947260525112404,1.1938848551493268e-91,region,0.6947260525112404
RI,VA,49,0.6733986735242665,3.5368187129694404e-84,region,0.6733986735242665
RI,NV,0,0.6713750320501889,3.177997488453212e-82,region,0.6713750320501889
RI,WI,49,0.6682548885993415,1.8098226475005657e-82,region,0.6682548885993415
RI,current_intensive_care_patients,49,0.66610574404811,8.747849242179316e-77,hospitalizations,0.66610574404811
RI,OK,49,0.6619115612237956,2.0823932710216537e-80,region,0.6619115612237956
RI,CA,49,0.6491730363476612,2.0351725004253634e-76,region,0.6491730363476612
RI,MN,49,0.6398018750516212,1.3292797910482024e-73,region,0.6398018750516212
RI,MT,48,0.625528897098249,2.1125699679159639e-69,region,0.625528897098249
RI,AZ,49,0.6206169214773098,3.89865427559325e-68,region,0.6206169214773098
RI,current_hospitalized_patients,49,0.6164794434217831,6.076315891334842e-63,hospitalizations,0.6164794434217831
RI,KY,0,0.6137090061425932,5.150830267886896e-65,region,0.6137090061425932
RI,NC,49,0.5842574915633715,9.398617537063768e-59,region,0.5842574915633715
RI,SD,0,0.5822371549726907,4.114921716378424e-58,region,0.5822371549726907
RI,WV,49,0.5818843421305672,3.505701523486995e-58,region,0.5818843421305672
RI,TX,49,0.5777646798586078,3.358567315357986e-57,region,0.5777646798586078
RI,AR,48,0.5723351599051977,7.623044264642467e-56,region,0.5723351599051977
RI,new_hospitalized_patients,49,0.5577562026663841,1.860791253782458e-49,hospitalizations,0.5577562026663841
RI,GA,21,0.5577553568766513,1.1169021085078669e-51,region,0.5577553568766513
RI,TN,49,0.5567283743821114,2.121377762494796e-52,region,0.5567283743821114
RI,MI,49,0.5512597459867907,3.305621341385206e-51,region,0.5512597459867907
RI,WA,49,0.5423213122325437,2.6412255529623504e-49,region,0.5423213122325437
RI,new_vaccine_doses_administered_pfizer,49,0.532972610390662,3.833892228329486e-21,vaccinations,0.532972610390662
RI,search_trends_hypoxemia,49,0.5291531614016635,1.3262631410638603e-46,google-search-trends,0.5291531614016635
RI,AL,48,0.5242397354226307,1.4647817238773518e-45,region,0.5242397354226307
RI,WY,49,0.521426809414143,4.496506489434528e-45,region,0.521426809414143
RI,ME,48,0.5121138597820898,3.431743153308364e-43,region,0.5121138597820898
RI,OR,0,0.5098673283019313,7.879458737828913e-42,region,0.5098673283019313
RI,search_trends_skin_rash,49,0.494675512208616,4.547300130017847e-40,google-search-trends,-0.494675512208616
RI,MS,49,0.4945064618958376,4.875200492046308e-40,region,0.4945064618958376
RI,CT,3,0.489825262958358,8.685340050072041e-38,region,0.489825262958358
RI,new_vaccine_doses_administered_moderna,49,0.4817447693662669,4.898971716585863e-17,vaccinations,0.4817447693662669
RI,cumulative_vaccine_doses_administered_pfizer,0,0.4730851444149181,1.7034516755442175e-05,vaccinations,0.4730851444149181
RI,AK,47,0.4706483852977575,1.588542108425474e-35,region,0.4706483852977575
RI,cumulative_vaccine_doses_administered,0,0.4702564574824803,1.5587529188816673e-05,vaccinations,0.4702564574824803
RI,SC,14,0.4683552636673916,1.4961963475255162e-35,region,0.4683552636673916
RI,new_persons_fully_vaccinated_pfizer,49,0.4574710387348661,2.558969791138016e-15,vaccinations,0.4574710387348661
RI,ND,47,0.4535982978512655,7.489177782419266e-33,region,0.4535982978512655
RI,cumulative_persons_vaccinated,2,0.452348960789869,4.385018781163615e-07,vaccinations,0.452348960789869
RI,cumulative_vaccine_doses_administered_moderna,2,0.4504665071483019,2.8563167212372087e-08,vaccinations,0.4504665071483019
RI,VT,49,0.449645401259563,1.3931355738964963e-32,region,0.449645401259563
RI,IA,47,0.4427309379027321,6.948616203844563e-31,region,0.4427309379027321
RI,cumulative_vaccine_doses_administered_janssen,2,0.4384907015859219,2.5661649336118323e-08,vaccinations,0.4384907015859219
RI,search_trends_itch,49,0.4336700708126803,3.489371901958282e-30,google-search-trends,-0.4336700708126803
RI,search_trends_diarrhea,48,0.4315939014131887,7.204702149993279e-30,google-search-trends,0.4315939014131887
RI,cumulative_persons_fully_vaccinated_pfizer,2,0.4304406866493274,0.0005454270714852,vaccinations,0.4304406866493274
RI,search_trends_hives,47,0.4233029605456047,1.1034641588925692e-28,google-search-trends,0.4233029605456047
RI,cumulative_persons_fully_vaccinated_janssen,2,0.4216444211541538,3.448228940138748e-08,vaccinations,0.4216444211541538
RI,search_trends_allergy,49,0.4210410608381389,2.2419552005423714e-28,google-search-trends,-0.4210410608381389
RI,cumulative_persons_fully_vaccinated,2,0.4202779770785181,0.000179296543583,vaccinations,0.4202779770785181
RI,search_trends_rheum,48,0.4042757223033942,5.473373559564857e-26,google-search-trends,0.4042757223033942
RI,cumulative_persons_fully_vaccinated_moderna,2,0.4007892653083488,4.319879892165697e-06,vaccinations,0.4007892653083488
RI,mobility_parks,49,0.3961634765793086,3.9161342226558116e-24,mobility,-0.3961634765793086
RI,search_trends_bells_palsy,49,0.3955137283605757,6.003424447706564e-25,google-search-trends,0.3955137283605757
RI,search_trends_erythema_chronicum_migrans,49,0.3928961756692495,1.2982817703406842e-24,google-search-trends,-0.3928961756692495
RI,MO,48,0.3902398956130216,2.829051186462717e-24,region,0.3902398956130216
RI,KS,0,0.3805371690790547,2.8305017696142963e-22,region,0.3805371690790547
RI,search_trends_ageusia,48,0.3784554483727899,8.555225613684741e-23,google-search-trends,0.3784554483727899
RI,search_trends_facial_nerve_paralysis,48,0.3692076619710261,1.0445505137674476e-21,google-search-trends,0.3692076619710261
RI,search_trends_male_infertility,42,0.3684714970578835,1.4332411755784285e-21,google-search-trends,0.3684714970578835
RI,LA,21,0.3624535762998065,1.0719089537694712e-20,region,0.3624535762998065
RI,current_ventilator_patients,49,0.3614180148161364,1.294921579870186e-19,hospitalizations,0.3614180148161364
RI,FL,28,0.3598800248581885,2.032124371448449e-20,region,0.3598800248581885
RI,search_trends_skin_condition,49,0.3595183908853245,1.3469017042736423e-20,google-search-trends,-0.3595183908853245
RI,search_trends_bruise,48,0.3574182012470289,3.132194055024e-20,google-search-trends,0.3574182012470289
RI,search_trends_ingrown_hair,49,0.3514351750364147,1.0793747667979996e-19,google-search-trends,-0.3514351750364147
RI,new_vaccine_doses_administered_janssen,49,0.3459924178668099,5.566005412812738e-09,vaccinations,0.3459924178668099
RI,search_trends_swollen_feet,49,0.3456261377519194,4.642784824353737e-19,google-search-trends,-0.3456261377519194
RI,new_persons_fully_vaccinated_janssen,49,0.344841995709535,6.298413041320901e-09,vaccinations,0.344841995709535
RI,search_trends_burn,47,0.3376845898594123,3.321717827050195e-18,google-search-trends,0.3376845898594123
RI,mobility_retail_and_recreation,49,0.3329811019548941,4.183662136650536e-17,mobility,-0.3329811019548941
RI,search_trends_vomiting,28,0.3317216796591227,1.4948145198340295e-17,google-search-trends,0.3317216796591227
RI,new_vaccine_doses_administered,49,0.3295545675702472,3.106490257068375e-08,vaccinations,0.3295545675702472
RI,search_trends_otitis,49,0.329121956214136,2.487925848378378e-17,google-search-trends,-0.329121956214136
RI,search_trends_wart,44,0.3273550125578426,4.634547561294064e-17,google-search-trends,0.3273550125578426
RI,search_trends_otitis_externa,49,0.3238311502085448,8.478381000910046e-17,google-search-trends,-0.3238311502085448
RI,new_persons_fully_vaccinated_moderna,49,0.3227074257099915,6.17439155205858e-08,vaccinations,0.3227074257099915
RI,search_trends_conjunctivitis,42,0.3113344403021411,1.5542637811692605e-15,google-search-trends,0.3113344403021411
RI,search_trends_perspiration,49,0.3113156952103115,1.4019972501473202e-15,google-search-trends,-0.3113156952103115
RI,mobility_transit_stations,46,0.304224026952928,2.4178878193763734e-14,mobility,0.304224026952928
RI,search_trends_edema,49,0.3032719665852074,7.940511898746501e-15,google-search-trends,-0.3032719665852074
