abbr,feature,lag,best_corr,p_value,type,best_orig_corr
TX,TX,0,1.0,0.0,region,1.0
TX,AR,13,0.7478383739073955,4.4235073501566977e-113,region,0.7478383739073955
TX,cumulative_vaccine_doses_administered_janssen,34,0.7269050631632124,2.6419796794465633e-44,vaccinations,0.7269050631632124
TX,cumulative_persons_fully_vaccinated,34,0.7267931323390937,2.2226008022814624e-44,vaccinations,0.7267931323390937
TX,cumulative_persons_fully_vaccinated_janssen,34,0.7261979969911544,2.9474944431766005e-44,vaccinations,0.7261979969911544
TX,AL,49,0.7249953262415592,1.8645994569687811e-103,region,0.7249953262415592
TX,cumulative_persons_fully_vaccinated_pfizer,34,0.7239000105959862,5.863927451283e-44,vaccinations,0.7239000105959862
TX,cumulative_persons_fully_vaccinated_moderna,34,0.7165458954618688,1.9787600517803934e-42,vaccinations,0.7165458954618688
TX,cumulative_vaccine_doses_administered,34,0.7075311558617989,5.666002564268904e-41,vaccinations,0.7075311558617989
TX,search_trends_hypoxemia,0,0.7067917279572408,5.924341958348032e-95,google-search-trends,0.7067917279572408
TX,cumulative_vaccine_doses_administered_pfizer,34,0.7019378202196873,4.267516201319693e-40,vaccinations,0.7019378202196873
TX,cumulative_persons_vaccinated,34,0.6941277456598893,1.1066194123866275e-38,vaccinations,0.6941277456598893
TX,cumulative_vaccine_doses_administered_moderna,34,0.6822090101270941,7.799035246595092e-37,vaccinations,0.6822090101270941
TX,GA,0,0.6795174490790278,4.994662593297376e-85,region,0.6795174490790278
TX,KY,49,0.6750606414988323,9.749841180453192e-85,region,0.6750606414988323
TX,VA,49,0.6658573195837426,1.1029788406030352e-81,region,0.6658573195837426
TX,ID,49,0.6621176742707289,1.7880915120039723e-80,region,0.6621176742707289
TX,OH,46,0.6437692805871694,9.174819522008885e-75,region,0.6437692805871694
TX,MS,0,0.6431935150241458,1.4680048349470142e-73,region,0.6431935150241458
TX,AZ,46,0.6423296743743311,2.377004122692683e-74,region,0.6423296743743311
TX,DE,47,0.6292477241614058,1.6319275689616722e-70,region,0.6292477241614058
TX,WV,49,0.6254182350792731,1.8130912965637109e-69,region,0.6254182350792731
TX,CA,49,0.6235441399663578,6.043613330431417e-69,region,0.6235441399663578
