abbr,feature,lag,best_corr,p_value,type,best_orig_corr
VA,VA,0,1.0,0.0,region,1.0
VA,SC,48,0.8489762849874763,6.005236173024329e-175,region,0.8489762849874763
VA,cumulative_vaccine_doses_administered_pfizer,19,0.8381881821929702,2.027436783476009e-66,vaccinations,0.8381881821929702
VA,cumulative_vaccine_doses_administered,19,0.8378030873336069,1.2563310996425372e-66,vaccinations,0.8378030873336069
VA,cumulative_vaccine_doses_administered_janssen,19,0.837135780718616,6.571192068200019e-68,vaccinations,0.837135780718616
VA,cumulative_persons_vaccinated,19,0.8368776712755726,1.978933825041913e-68,vaccinations,0.8368776712755726
VA,cumulative_persons_fully_vaccinated_janssen,19,0.8365231592330399,3.2448330608334467e-68,vaccinations,0.8365231592330399
VA,cumulative_vaccine_doses_administered_moderna,19,0.8307194215625542,1.989790102136862e-67,vaccinations,0.8307194215625542
VA,cumulative_persons_fully_vaccinated_moderna,29,0.8287773140867648,6.816537162594325e-67,vaccinations,0.8287773140867648
VA,cumulative_persons_fully_vaccinated,19,0.8272359413800008,1.4270521389178658e-64,vaccinations,0.8272359413800008
VA,cumulative_persons_fully_vaccinated_pfizer,19,0.8266712525373444,1.1026604234806294e-63,vaccinations,0.8266712525373444
VA,NH,49,0.8145329257651841,3.5738368789105515e-150,region,0.8145329257651841
VA,new_hospitalized_patients,46,0.7909292851419503,2.585981871951798e-134,hospitalizations,0.7909292851419503
VA,KY,6,0.771353614373639,3.654092892697761e-122,region,0.771353614373639
VA,NC,6,0.7671670143537147,1.1495863553537242e-119,region,0.7671670143537147
VA,OK,35,0.7580091246457666,3.1369289776054285e-116,region,0.7580091246457666
VA,current_hospitalized_patients,46,0.7460053478384685,1.5494828431198497e-111,hospitalizations,0.7460053478384685
VA,IN,20,0.7444377229363376,2.186708693216867e-109,region,0.7444377229363376
VA,GA,49,0.7399470119255537,6.8524008668264e-110,region,0.7399470119255537
VA,MA,49,0.723725383392809,6.273581285137106e-103,region,0.723725383392809
VA,MS,49,0.7236224379703736,6.919913910401874e-103,region,0.7236224379703736
