abbr,feature,lag,best_corr,p_value,type,best_orig_corr
WA,WA,0,1.0,0.0,region,1.0
WA,OR,42,0.8837623006469039,5.056560145490518e-206,region,0.8837623006469039
WA,KY,41,0.8133049227762053,4.6048464152347386e-148,region,0.8133049227762053
WA,IN,48,0.7698084430107981,4.710101324589682e-124,region,0.7698084430107981
WA,NC,48,0.7629654433131943,1.8502174154697005e-119,region,0.7629654433131943
WA,WY,0,0.73812507711041,4.17961445277738e-100,region,0.73812507711041
WA,GA,49,0.7328374575493962,8.909027961783189e-107,region,0.7328374575493962
WA,cumulative_persons_fully_vaccinated_moderna,39,0.7279145992294276,6.88944536534691e-45,vaccinations,0.7279145992294276
WA,cumulative_persons_fully_vaccinated_pfizer,32,0.7251123120669232,8.751587555176829e-44,vaccinations,0.7251123120669232
WA,cumulative_vaccine_doses_administered_pfizer,32,0.7241582140851383,3.2771306651917737e-43,vaccinations,0.7241582140851383
WA,OK,48,0.723345143935276,3.830678603029087e-101,region,0.723345143935276
WA,cumulative_persons_fully_vaccinated,39,0.7201977136235828,3.5909548909077235e-43,vaccinations,0.7201977136235828
WA,cumulative_vaccine_doses_administered,32,0.7177016480793248,1.8431512628086868e-42,vaccinations,0.7177016480793248
WA,cumulative_vaccine_doses_administered_moderna,39,0.7173972732278839,3.893566037349903e-43,vaccinations,0.7173972732278839
WA,TN,49,0.7088228954029522,5.856637605383053e-97,region,0.7088228954029522
WA,cumulative_persons_vaccinated,39,0.705940664742678,5.941179989829562e-41,vaccinations,0.705940664742678
WA,MS,49,0.7054020982430624,1.2162242860058121e-95,region,0.7054020982430624
WA,cumulative_vaccine_doses_administered_janssen,39,0.7049803438803974,1.1280242673193843e-40,vaccinations,0.7049803438803974
WA,cumulative_persons_fully_vaccinated_janssen,39,0.7043990136067739,1.4574016665906952e-40,vaccinations,0.7043990136067739
WA,ID,49,0.6957131088665461,5.1911596931577656e-92,region,0.6957131088665461
WA,SC,48,0.6944506450843522,6.296767341826107e-91,region,0.6944506450843522
WA,NM,17,0.6937494238130272,5.80944260522108e-91,region,0.6937494238130272
WA,VA,42,0.6882219672002968,1.5725996645638368e-87,region,0.6882219672002968
WA,MT,7,0.6525827157747315,7.983808377764002e-75,region,0.6525827157747315
WA,UT,6,0.6519606367871039,3.842745999219768e-72,region,0.6519606367871039
WA,NH,42,0.646354701013575,4.950869467670791e-72,region,0.646354701013575
WA,CO,11,0.6437049563908448,2.250920355322148e-66,region,0.6437049563908448
WA,NV,0,0.6383063849988694,2.5981285897040685e-72,region,0.6383063849988694
WA,IL,49,0.6257523094187418,1.4616291109811863e-69,region,0.6257523094187418
WA,current_hospitalized_patients,44,0.6127655821018023,1.981996423860196e-64,hospitalizations,0.6127655821018023
WA,current_intensive_care_patients,44,0.6101899996272575,8.353808785646556e-64,hospitalizations,0.6101899996272575
WA,WV,44,0.6097872669781843,9.86692782283622e-65,region,0.6097872669781843
WA,AK,44,0.5921848423975219,3.047032398190409e-60,region,0.5921848423975219
WA,NE,0,0.5790646995641997,2.409528137393779e-52,region,0.5790646995641997
WA,FL,49,0.5714359200455016,1.0159962148361311e-55,region,0.5714359200455016
WA,LA,49,0.5687008131933822,4.334439188275373e-55,region,0.5687008131933822
WA,WI,6,0.5572586754356027,4.222397355863568e-47,region,0.5572586754356027
WA,TX,49,0.5567629011121005,2.084576262787232e-52,region,0.5567629011121005
WA,RI,49,0.5423213122325437,2.6412255529623504e-49,region,0.5423213122325437
WA,MN,20,0.5312847516083801,4.326823546644789e-42,region,0.5312847516083801
WA,MA,6,0.5247382420817083,3.802039380487444e-43,region,0.5247382420817083
WA,AL,49,0.518760654948706,1.4854209141505252e-44,region,0.518760654948706
WA,OH,44,0.4966644598415284,2.3079973889197143e-40,region,0.4966644598415284
WA,DE,49,0.494081931082793,5.805718002143937e-40,region,0.494081931082793
WA,PA,44,0.4774581653778854,6.547318748717107e-37,region,0.4774581653778854
WA,MI,13,0.4771006731452038,6.72049764598421e-34,region,0.4771006731452038
WA,AR,49,0.4722535432667363,3.3466542666523985e-36,region,0.4722535432667363
WA,VT,44,0.4704192853954141,5.64109817309759e-34,region,0.4704192853954141
WA,search_trends_ageusia,44,0.4524135895241983,1.0368089873593564e-32,google-search-trends,0.4524135895241983
WA,MD,49,0.4491886620112921,1.6381644587862442e-32,region,0.4491886620112921
WA,CA,49,0.4397437045311511,4.423403585446178e-31,region,0.4397437045311511
WA,cumulative_hospitalized_patients,30,0.4280512006311044,9.164578314454676e-27,hospitalizations,0.4280512006311044
WA,SD,0,0.4235703531211672,5.641452403562384e-27,region,0.4235703531211672
WA,ME,37,0.4123174504681854,7.821852514315188e-26,region,0.4123174504681854
WA,KS,0,0.4089015352952406,3.983651180890488e-26,region,0.4089015352952406
WA,search_trends_urinary_tract_infection,6,0.4077539732932663,1.3586614713890372e-22,google-search-trends,0.4077539732932663
WA,HI,49,0.4025737682634295,7.242006322541726e-26,region,0.4025737682634295
WA,search_trends_pyelonephritis,3,0.3846015345303006,5.693099619883161e-20,google-search-trends,0.3846015345303006
WA,AZ,37,0.3836509936663457,2.221870610222383e-23,region,0.3836509936663457
WA,current_ventilator_patients,49,0.3832385386768228,2.1064960626602225e-23,hospitalizations,0.3832385386768228
WA,search_trends_attention_deficit_hyperactivity_disorder,1,0.3758861637821278,1.6125137477825046e-17,google-search-trends,0.3758861637821278
WA,search_trends_hepatitis,9,0.3701345168818548,3.76068798015442e-20,google-search-trends,0.3701345168818548
WA,search_trends_dysgeusia,49,0.3684071782534066,1.2737826093076952e-21,google-search-trends,0.3684071782534066
WA,search_trends_acne,10,0.357047066342358,6.80922854837246e-17,google-search-trends,0.357047066342358
WA,search_trends_impulsivity,2,0.3564734827783213,6.419569012236422e-16,google-search-trends,0.3564734827783213
WA,search_trends_abdominal_obesity,30,0.3517105266492483,1.4881905853663838e-17,google-search-trends,0.3517105266492483
WA,NY,48,0.3505390767024244,2.177541170891443e-19,region,0.3505390767024244
WA,search_trends_stretch_marks,10,0.3479423475046468,5.552202438879033e-16,google-search-trends,0.3479423475046468
WA,search_trends_hypercholesterolemia,0,0.3457835590233126,4.889032323940606e-15,google-search-trends,0.3457835590233126
WA,search_trends_avoidant_personality_disorder,30,0.3443641771654947,9.337494870858892e-16,google-search-trends,0.3443641771654947
WA,search_trends_pancreatitis,18,0.3419026006206761,6.2288490149593545e-18,google-search-trends,0.3419026006206761
WA,search_trends_proteinuria,0,0.3382427903331441,3.268720496420429e-14,google-search-trends,0.3382427903331441
WA,search_trends_sleep_apnea,0,0.3356846188929118,2.144304471521409e-14,google-search-trends,0.3356846188929118
WA,search_trends_hyperlipidemia,0,0.333781844707611,3.470231055947393e-13,google-search-trends,0.333781844707611
WA,search_trends_tachycardia,1,0.3321922367481761,6.085671465433164e-15,google-search-trends,0.3321922367481761
WA,ND,30,0.324876716595853,9.500084394204165e-16,region,0.324876716595853
WA,search_trends_hypertriglyceridemia,0,0.3242068850945965,7.506395125856408e-13,google-search-trends,0.3242068850945965
