abbr,feature,lag,best_corr,p_value,type,best_orig_corr
WI,WI,0,1.0,0.0,region,1.0
WI,MT,49,0.8781541080361813,1.2484928461642823e-202,region,0.8781541080361813
WI,NE,48,0.8780036106162511,3.365914730747679e-202,region,0.8780036106162511
WI,IL,49,0.8639671274465914,1.1077724254355924e-188,region,0.8639671274465914
WI,SD,49,0.8386973653792023,2.3071179012355328e-167,region,0.8386973653792023
WI,ND,49,0.8289275677516594,4.3401464320435696e-160,region,0.8289275677516594
WI,CO,45,0.8276894907698638,9.573809114832545e-158,region,0.8276894907698638
WI,NM,49,0.8056059465751456,1.895599315895212e-144,region,0.8056059465751456
WI,ID,49,0.7968047754986198,4.339451629913346e-139,region,0.7968047754986198
WI,MN,48,0.7887171208451659,2.744336926350761e-134,region,0.7887171208451659
WI,search_trends_ageusia,49,0.7869528864564092,2.1448036694375944e-133,google-search-trends,0.7869528864564092
WI,IN,48,0.7862166405825606,1.5887799441807846e-132,region,0.7862166405825606
WI,UT,49,0.7804540929862509,8.399562152037006e-130,region,0.7804540929862509
WI,WY,45,0.742350417741833,4.4074502705598085e-109,region,0.742350417741833
WI,search_trends_dysgeusia,49,0.7039248672249537,4.446772230508946e-95,google-search-trends,0.7039248672249537
WI,cumulative_persons_fully_vaccinated_pfizer,49,0.6766522822076868,2.2912916655090907e-37,vaccinations,0.6766522822076868
WI,cumulative_vaccine_doses_administered_pfizer,49,0.6686271899563487,3.2239634295693055e-36,vaccinations,0.6686271899563487
WI,RI,49,0.6682548885993415,1.8098226475005657e-82,region,0.6682548885993415
WI,search_trends_anosmia,49,0.6676284147606902,2.906983952213219e-82,google-search-trends,0.6676284147606902
WI,cumulative_persons_fully_vaccinated,49,0.663860382351467,1.4916240648352343e-35,vaccinations,0.663860382351467
WI,cumulative_vaccine_doses_administered,49,0.6604593394493957,4.374152180379856e-35,vaccinations,0.6604593394493957
WI,OH,49,0.6592647782590009,1.4576960108388574e-79,region,0.6592647782590009
WI,cumulative_persons_fully_vaccinated_janssen,49,0.6579570352077491,9.567324184395639e-35,vaccinations,0.6579570352077491
WI,cumulative_vaccine_doses_administered_janssen,49,0.6557009875266835,1.9251643361296683e-34,vaccinations,0.6557009875266835
WI,AK,48,0.6495425931178536,2.1160280732320102e-76,region,0.6495425931178536
WI,cumulative_persons_vaccinated,49,0.6372193918100806,4.757834298177645e-32,vaccinations,0.6372193918100806
WI,NV,48,0.6342209673251051,1.443256699807562e-71,region,0.6342209673251051
WI,cumulative_persons_fully_vaccinated_moderna,49,0.6263702765280315,1.0178972054600221e-30,vaccinations,0.6263702765280315
WI,KY,45,0.6246809837456961,4.628729495254771e-68,region,0.6246809837456961
WI,IA,49,0.6225483147153712,1.1420612372096447e-68,region,0.6225483147153712
WI,OK,48,0.6106095849382396,2.981407631270037e-64,region,0.6106095849382396
WI,cumulative_vaccine_doses_administered_moderna,49,0.6012099730215914,7.936942953750832e-28,vaccinations,0.6012099730215914
WI,current_hospitalized_patients,45,0.5999218486242418,3.397812089118998e-58,hospitalizations,0.5999218486242418
WI,PA,49,0.5941753695513929,3.404270746448911e-61,region,0.5941753695513929
WI,search_trends_hypoxemia,45,0.5880513036375699,2.079476607041942e-59,google-search-trends,0.5880513036375699
WI,new_hospitalized_patients,45,0.584107517206384,1.0435196217049919e-54,hospitalizations,0.584107517206384
WI,MD,49,0.5776487977210147,3.577321141160462e-57,region,0.5776487977210147
WI,VA,45,0.5618791977341436,2.322153133296097e-52,region,0.5618791977341436
WI,WA,6,0.5572586754356027,4.222397355863568e-47,region,0.5572586754356027
WI,NH,4,0.555120560960207,1.3276099921263165e-45,region,0.555120560960207
