State,Abbr,Population_2023,Population_2020_Census
California,CA,38965193,39538223
Texas,TX,30503301,29145505
Florida,FL,22610726,21538187
New York,NY,19571216,20201249
Pennsylvania,PA,12961683,13002700
Illinois,IL,12549689,12812508
Ohio,OH,11785935,11799448
Georgia,GA,11029227,10711908
North Carolina,NC,10835491,10439388
Michigan,MI,10037261,10077331
New Jersey,NJ,9290841,9288994
Virginia,VA,8715698,8631393
Washington,WA,7812880,7705281
Arizona,AZ,7431344,7151502
Tennessee,TN,7126489,6910840
Massachusetts,MA,7001399,7029917
Indiana,IN,6862199,6785528
Missouri,MO,6196156,6154913
Maryland,MD,6180253,6177224
Wisconsin,WI,5910955,5893718
Colorado,CO,5877610,5773714
Minnesota,MN,5737915,5706494
South Carolina,SC,5373555,5118425
Alabama,AL,5108468,5024279
Louisiana,LA,4573749,4657757
Kentucky,KY,4526154,4505836
Oregon,OR,4233358,4237256
Oklahoma,OK,4053824,3959353
Connecticut,CT,3617176,3605944
Utah,UT,3417734,3271616
Iowa,IA,3207004,3190369
Nevada,NV,3194176,3104614
Arkansas,AR,3067732,3011524
Kansas,KS,2940546,2937880
Mississippi,MS,2939690,2961279
New Mexico,NM,2114371,2117522
Nebraska,NE,1978379,1961504
Idaho,ID,1964726,1839106
West Virginia,WV,1770071,1793716
Hawaii,HI,1435138,1455271
New Hampshire,NH,1402054,1377529
Maine,ME,1395722,1362359
Montana,MT,1132812,1084225
Rhode Island,RI,1095962,1097379
Delaware,DE,1031890,989948
South Dakota,SD,919318,886667
North Dakota,ND,783926,779094
Alaska,AK,733406,733391
Vermont,VT,647464,643077
Wyoming,WY,584057,576851
