date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-25,AU_QLD,,,,,0.0,0.0,,
2020-01-26,AU_QLD,,0.0,,,0.0,0.0,,
2020-01-27,AU_QLD,0.0,0.0,,,0.0,0.0,,
2020-01-28,AU_QLD,,0.0,,,0.0,0.0,,
2020-01-29,AU_QLD,1.0,0.0,,,1.0,0.0,,
2020-01-30,AU_QLD,1.0,0.0,,,2.0,0.0,,
2020-01-31,AU_QLD,,0.0,,,2.0,0.0,,
2020-02-01,AU_QLD,0.0,0.0,,,2.0,0.0,,
2020-02-02,AU_QLD,,0.0,,,2.0,0.0,,
2020-02-03,AU_QLD,,0.0,,,2.0,0.0,,
2020-02-04,AU_QLD,1.0,0.0,,,3.0,0.0,,
2020-02-05,AU_QLD,1.0,0.0,,,4.0,0.0,,
2020-02-06,AU_QLD,1.0,0.0,,,5.0,0.0,,
2020-02-07,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-08,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-09,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-10,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-11,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-12,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-13,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-14,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-15,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-16,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-17,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-18,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-19,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-20,AU_QLD,,0.0,,,5.0,0.0,,
2020-02-21,AU_QLD,,0.0,,,7.0,0.0,,
2020-02-22,AU_QLD,2.0,0.0,,,7.0,0.0,,
2020-02-23,AU_QLD,,0.0,,,8.0,0.0,,
2020-02-24,AU_QLD,,0.0,,,8.0,0.0,,
2020-02-25,AU_QLD,1.0,0.0,,,8.0,0.0,,
2020-02-26,AU_QLD,,0.0,,,8.0,0.0,,
2020-02-27,AU_QLD,,0.0,,,8.0,0.0,,
2020-02-28,AU_QLD,,0.0,,,9.0,0.0,,
2020-02-29,AU_QLD,1.0,0.0,,,9.0,0.0,,
2020-03-01,AU_QLD,0.0,0.0,,,9.0,0.0,,
2020-03-02,AU_QLD,0.0,0.0,,,9.0,0.0,,
2020-03-03,AU_QLD,1.0,0.0,,,10.0,0.0,,
2020-03-04,AU_QLD,1.0,0.0,,,11.0,0.0,,
2020-03-05,AU_QLD,2.0,0.0,,,13.0,0.0,,
2020-03-06,AU_QLD,1.0,0.0,,,14.0,0.0,,
2020-03-07,AU_QLD,0.0,0.0,,,14.0,0.0,,
2020-03-08,AU_QLD,1.0,0.0,,,15.0,0.0,,
2020-03-09,AU_QLD,0.0,0.0,,,15.0,0.0,,
2020-03-10,AU_QLD,3.0,0.0,,,18.0,0.0,,
2020-03-11,AU_QLD,2.0,0.0,,,20.0,0.0,,
2020-03-12,AU_QLD,7.0,0.0,,,27.0,0.0,,
2020-03-13,AU_QLD,8.0,1.0,,,35.0,1.0,,
2020-03-14,AU_QLD,11.0,0.0,,,46.0,1.0,,
2020-03-15,AU_QLD,16.0,0.0,,,62.0,1.0,,
2020-03-16,AU_QLD,6.0,0.0,,,68.0,1.0,,
2020-03-17,AU_QLD,10.0,0.0,,,78.0,1.0,,
2020-03-18,AU_QLD,16.0,0.0,,,94.0,1.0,,
2020-03-19,AU_QLD,50.0,0.0,,,144.0,1.0,,27064.0
2020-03-20,AU_QLD,40.0,0.0,,1322.0,184.0,1.0,,28386.0
2020-03-21,AU_QLD,37.0,0.0,,1481.0,221.0,1.0,,29867.0
2020-03-22,AU_QLD,38.0,0.0,,1442.0,259.0,1.0,,31309.0
2020-03-23,AU_QLD,60.0,0.0,,1085.0,319.0,1.0,,32394.0
2020-03-24,AU_QLD,78.0,0.0,,4940.0,397.0,1.0,,37334.0
2020-03-25,AU_QLD,46.0,1.0,,1526.0,443.0,2.0,,38860.0
2020-03-26,AU_QLD,50.0,0.0,,2086.0,493.0,2.0,,40946.0
2020-03-27,AU_QLD,62.0,0.0,,2019.0,555.0,2.0,,42965.0
2020-03-28,AU_QLD,70.0,0.0,,2034.0,625.0,2.0,,44999.0
2020-03-29,AU_QLD,31.0,1.0,,0.0,656.0,3.0,,44999.0
2020-03-30,AU_QLD,33.0,0.0,,2026.0,689.0,3.0,,47025.0
2020-03-31,AU_QLD,54.0,0.0,,2357.0,743.0,3.0,,49382.0
2020-04-01,AU_QLD,38.0,0.0,,1471.0,781.0,3.0,,50853.0
2020-04-02,AU_QLD,54.0,1.0,,932.0,835.0,4.0,,51785.0
2020-04-03,AU_QLD,38.0,0.0,,2656.0,873.0,4.0,,54441.0
2020-04-04,AU_QLD,27.0,0.0,,1716.0,900.0,4.0,,56157.0
2020-04-05,AU_QLD,7.0,1.0,,1638.0,907.0,5.0,,57795.0
2020-04-06,AU_QLD,14.0,0.0,,695.0,921.0,5.0,173.0,58490.0
2020-04-07,AU_QLD,13.0,0.0,0.0,3344.0,934.0,5.0,173.0,61834.0
2020-04-08,AU_QLD,9.0,0.0,172.0,1718.0,943.0,5.0,345.0,63552.0
2020-04-09,AU_QLD,10.0,0.0,27.0,3214.0,953.0,5.0,372.0,66766.0
2020-04-10,AU_QLD,12.0,0.0,-4.0,2368.0,965.0,5.0,368.0,69134.0
2020-04-11,AU_QLD,9.0,0.0,0.0,2365.0,974.0,5.0,368.0,71499.0
2020-04-12,AU_QLD,9.0,0.0,0.0,814.0,983.0,5.0,368.0,72313.0
2020-04-13,AU_QLD,4.0,0.0,74.0,857.0,987.0,5.0,442.0,73170.0
2020-04-14,AU_QLD,11.0,0.0,0.0,843.0,998.0,5.0,442.0,74013.0
2020-04-15,AU_QLD,1.0,0.0,0.0,1467.0,999.0,5.0,442.0,75480.0
2020-04-16,AU_QLD,2.0,0.0,0.0,2247.0,1001.0,5.0,442.0,77727.0
2020-04-17,AU_QLD,6.0,0.0,0.0,2500.0,1007.0,5.0,442.0,80227.0
2020-04-18,AU_QLD,7.0,1.0,296.0,2536.0,1014.0,6.0,738.0,82763.0
2020-04-19,AU_QLD,5.0,0.0,0.0,1972.0,1019.0,6.0,738.0,84735.0
2020-04-20,AU_QLD,0.0,0.0,0.0,1135.0,1019.0,6.0,738.0,85870.0
2020-04-21,AU_QLD,5.0,0.0,0.0,1600.0,1024.0,6.0,738.0,87470.0
2020-04-22,AU_QLD,0.0,0.0,0.0,2698.0,1024.0,6.0,738.0,90168.0
