date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-01,AU,0.0,0.0,,,0.0,0.0,,
2020-01-02,AU,0.0,0.0,,,0.0,0.0,,
2020-01-03,AU,0.0,0.0,,,0.0,0.0,,
2020-01-04,AU,0.0,0.0,,,0.0,0.0,,
2020-01-05,AU,0.0,0.0,,,0.0,0.0,,
2020-01-06,AU,0.0,0.0,,,0.0,0.0,,
2020-01-07,AU,0.0,0.0,,,0.0,0.0,,
2020-01-08,AU,0.0,0.0,,,0.0,0.0,,
2020-01-09,AU,0.0,0.0,,,0.0,0.0,,
2020-01-10,AU,0.0,0.0,,,0.0,0.0,,
2020-01-11,AU,0.0,0.0,,,0.0,0.0,,
2020-01-12,AU,0.0,0.0,,,0.0,0.0,,
2020-01-13,AU,0.0,0.0,,,0.0,0.0,,
2020-01-14,AU,0.0,0.0,,,0.0,0.0,,
2020-01-15,AU,0.0,0.0,,,0.0,0.0,,
2020-01-16,AU,0.0,0.0,,,0.0,0.0,,
2020-01-17,AU,0.0,0.0,,,0.0,0.0,,
2020-01-18,AU,0.0,0.0,,,0.0,0.0,,
2020-01-19,AU,0.0,0.0,,,0.0,0.0,,
2020-01-20,AU,0.0,0.0,,,0.0,0.0,,
2020-01-21,AU,0.0,0.0,,,0.0,0.0,,
2020-01-22,AU,0.0,0.0,,,0.0,0.0,,
2020-01-23,AU,1.0,0.0,,,1.0,0.0,,
2020-01-24,AU,3.0,0.0,,,4.0,0.0,,
2020-01-25,AU,0.0,0.0,,,4.0,0.0,0.0,
2020-01-26,AU,0.0,0.0,0.0,,4.0,0.0,0.0,
2020-01-27,AU,1.0,0.0,0.0,,5.0,0.0,0.0,
2020-01-28,AU,0.0,0.0,0.0,,5.0,0.0,0.0,
2020-01-29,AU,4.0,0.0,0.0,,9.0,0.0,0.0,
2020-01-30,AU,0.0,0.0,0.0,,9.0,0.0,0.0,
2020-01-31,AU,0.0,0.0,0.0,,9.0,0.0,0.0,
2020-02-01,AU,1.0,0.0,0.0,,10.0,0.0,0.0,
2020-02-02,AU,2.0,0.0,0.0,,12.0,0.0,0.0,
2020-02-03,AU,0.0,0.0,0.0,,12.0,0.0,0.0,
2020-02-04,AU,1.0,0.0,0.0,,13.0,0.0,0.0,
2020-02-05,AU,1.0,0.0,0.0,,14.0,0.0,0.0,
2020-02-06,AU,1.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-07,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-08,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-09,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-10,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-11,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-12,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-13,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-14,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-15,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-16,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-17,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-18,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-19,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-20,AU,0.0,0.0,0.0,,15.0,0.0,0.0,
2020-02-21,AU,4.0,0.0,0.0,,19.0,0.0,0.0,
2020-02-22,AU,1.0,0.0,0.0,,20.0,0.0,0.0,
2020-02-23,AU,0.0,0.0,0.0,,20.0,0.0,0.0,
2020-02-24,AU,0.0,0.0,0.0,,20.0,0.0,0.0,
2020-02-25,AU,0.0,0.0,0.0,,20.0,0.0,0.0,
2020-02-26,AU,0.0,0.0,0.0,,20.0,0.0,0.0,
2020-02-27,AU,3.0,0.0,0.0,,23.0,0.0,0.0,
2020-02-28,AU,2.0,0.0,0.0,,25.0,0.0,0.0,
2020-02-29,AU,0.0,0.0,0.0,,25.0,0.0,0.0,
2020-03-01,AU,3.0,1.0,0.0,,28.0,1.0,0.0,
2020-03-02,AU,4.0,0.0,0.0,,32.0,1.0,0.0,
2020-03-03,AU,8.0,1.0,0.0,,40.0,2.0,0.0,
2020-03-04,AU,11.0,0.0,0.0,,51.0,2.0,0.0,
2020-03-05,AU,8.0,0.0,0.0,,59.0,2.0,0.0,
2020-03-06,AU,4.0,0.0,0.0,,63.0,2.0,0.0,6796.0
2020-03-07,AU,10.0,0.0,0.0,420.0,73.0,2.0,0.0,7216.0
2020-03-08,AU,7.0,1.0,0.0,1155.0,80.0,3.0,0.0,8371.0
2020-03-09,AU,12.0,0.0,0.0,663.0,92.0,3.0,0.0,9034.0
2020-03-10,AU,20.0,0.0,0.0,1187.0,112.0,3.0,0.0,10221.0
2020-03-11,AU,15.0,0.0,0.0,4635.0,127.0,3.0,0.0,14856.0
2020-03-12,AU,30.0,0.0,0.0,1829.0,157.0,3.0,0.0,16685.0
2020-03-13,AU,41.0,1.0,0.0,3811.0,198.0,4.0,0.0,20496.0
2020-03-14,AU,51.0,1.0,0.0,2071.0,249.0,5.0,0.0,22567.0
2020-03-15,AU,48.0,0.0,0.0,22003.0,297.0,5.0,0.0,44570.0
2020-03-16,AU,79.0,0.0,0.0,6487.0,376.0,5.0,0.0,51057.0
2020-03-17,AU,78.0,1.0,0.0,7017.0,454.0,6.0,0.0,58074.0
2020-03-18,AU,113.0,0.0,0.0,45267.0,567.0,6.0,0.0,103341.0
2020-03-19,AU,142.0,0.0,28.0,7443.0,709.0,6.0,28.0,110784.0
2020-03-20,AU,138.0,1.0,11.0,11720.0,847.0,7.0,39.0,122504.0
2020-03-21,AU,225.0,0.0,12.0,10089.0,1072.0,7.0,51.0,132593.0
2020-03-22,AU,280.0,0.0,19.0,11045.0,1352.0,7.0,70.0,143638.0
2020-03-23,AU,328.0,0.0,27.0,13030.0,1680.0,7.0,97.0,156668.0
2020-03-24,AU,370.0,1.0,16.0,11768.0,2050.0,8.0,113.0,168436.0
2020-03-25,AU,380.0,1.0,15.0,11503.0,2430.0,9.0,128.0,179939.0
2020-03-26,AU,379.0,4.0,21.0,12869.0,2809.0,13.0,149.0,192808.0
2020-03-27,AU,372.0,0.0,23.0,17261.0,3181.0,13.0,172.0,210069.0
2020-03-28,AU,459.0,1.0,19.0,13445.0,3640.0,14.0,191.0,223514.0
2020-03-29,AU,345.0,2.0,32.0,9433.0,3984.0,16.0,223.0,223516.0
2020-03-30,AU,270.0,2.0,68.0,9567.0,4250.0,18.0,291.0,233083.0
2020-03-31,AU,313.0,1.0,62.0,12158.0,4561.0,19.0,353.0,245241.0
2020-04-01,AU,306.0,2.0,74.0,11752.0,4864.0,21.0,427.0,256993.0
2020-04-02,AU,276.0,3.0,156.0,10105.0,5136.0,24.0,583.0,267098.0
2020-04-03,AU,227.0,4.0,65.0,10327.0,5362.0,28.0,648.0,277425.0
2020-04-04,AU,190.0,2.0,51.0,10189.0,5552.0,30.0,699.0,287614.0
2020-04-05,AU,143.0,5.0,128.0,9626.0,5693.0,35.0,827.0,297240.0
2020-04-06,AU,106.0,6.0,251.0,5519.0,5799.0,41.0,1078.0,302759.0
2020-04-07,AU,119.0,7.0,117.0,8038.0,5918.0,48.0,1195.0,310797.0
2020-04-08,AU,105.0,2.0,1614.0,8670.0,6023.0,50.0,2809.0,319467.0
2020-04-09,AU,85.0,1.0,182.0,10767.0,6108.0,51.0,2991.0,330234.0
2020-04-10,AU,107.0,3.0,149.0,11155.0,6214.0,54.0,3140.0,341389.0
2020-04-11,AU,97.0,2.0,126.0,9991.0,6302.0,56.0,3266.0,351380.0
