date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_AZ,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_AZ,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_AZ,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_AZ,0.0,0.0,,,0.0,0.0,,
2020-01-26,US_AZ,1.0,0.0,,,1.0,0.0,,
2020-01-27,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-01-28,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-01-29,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-01-30,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-01-31,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-01,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-02,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-03,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-04,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-05,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-06,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-07,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-08,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-09,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-10,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-11,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-12,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-13,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-14,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-15,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-16,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-17,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-18,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-19,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-20,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-21,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-22,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-23,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-24,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-25,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-26,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-27,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-28,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-02-29,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-03-01,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-03-02,US_AZ,0.0,0.0,,,1.0,0.0,,
2020-03-03,US_AZ,1.0,0.0,,,2.0,0.0,,
2020-03-04,US_AZ,0.0,0.0,,0.0,2.0,0.0,,33.0
2020-03-05,US_AZ,0.0,0.0,,30.0,2.0,0.0,,63.0
2020-03-06,US_AZ,1.0,0.0,,17.0,3.0,0.0,,80.0
2020-03-07,US_AZ,2.0,0.0,,37.0,5.0,0.0,,117.0
2020-03-08,US_AZ,0.0,0.0,,13.0,5.0,0.0,,130.0
2020-03-09,US_AZ,0.0,0.0,,17.0,5.0,0.0,,147.0
2020-03-10,US_AZ,1.0,0.0,,75.0,6.0,0.0,,222.0
2020-03-11,US_AZ,3.0,0.0,,63.0,9.0,0.0,,285.0
2020-03-12,US_AZ,0.0,0.0,,137.0,9.0,0.0,,422.0
2020-03-13,US_AZ,0.0,0.0,,391.0,9.0,0.0,,813.0
2020-03-14,US_AZ,3.0,0.0,,478.0,12.0,0.0,,1291.0
2020-03-15,US_AZ,0.0,0.0,,261.0,12.0,0.0,,1552.0
2020-03-16,US_AZ,6.0,0.0,,303.0,18.0,0.0,,1855.0
2020-03-17,US_AZ,2.0,0.0,,1043.0,20.0,0.0,,2898.0
2020-03-18,US_AZ,8.0,0.0,,1396.0,28.0,0.0,,4294.0
2020-03-19,US_AZ,16.0,0.0,,1449.0,44.0,0.0,,5743.0
2020-03-20,US_AZ,21.0,0.0,,1652.0,65.0,0.0,,7395.0
2020-03-21,US_AZ,39.0,1.0,,1919.0,104.0,1.0,,9314.0
2020-03-22,US_AZ,48.0,1.0,,806.0,152.0,2.0,,10120.0
