date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_CA,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_CA,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_CA,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_CA,0.0,0.0,,,1.0,0.0,,
2020-01-26,US_CA,1.0,0.0,,,2.0,0.0,,
2020-01-27,US_CA,0.0,0.0,,,2.0,0.0,,
2020-01-28,US_CA,0.0,0.0,,,2.0,0.0,,
2020-01-29,US_CA,0.0,0.0,,,2.0,0.0,,
2020-01-30,US_CA,0.0,0.0,,,2.0,0.0,,
2020-01-31,US_CA,1.0,0.0,,,3.0,0.0,,
2020-02-01,US_CA,0.0,0.0,,,3.0,0.0,,
2020-02-02,US_CA,3.0,0.0,,,6.0,0.0,,
2020-02-03,US_CA,0.0,0.0,,,6.0,0.0,,
2020-02-04,US_CA,0.0,0.0,,,6.0,0.0,,
2020-02-05,US_CA,0.0,0.0,,,6.0,0.0,,
2020-02-06,US_CA,0.0,0.0,,,6.0,0.0,,
2020-02-07,US_CA,0.0,0.0,,,6.0,0.0,,
2020-02-08,US_CA,0.0,0.0,,,6.0,0.0,,
2020-02-09,US_CA,0.0,0.0,,,6.0,0.0,,
2020-02-10,US_CA,1.0,0.0,,,7.0,0.0,,
2020-02-11,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-12,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-13,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-14,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-15,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-16,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-17,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-18,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-19,US_CA,0.0,0.0,,,7.0,0.0,,
2020-02-20,US_CA,1.0,0.0,,,8.0,0.0,,
2020-02-21,US_CA,1.0,0.0,,,9.0,0.0,,
2020-02-22,US_CA,0.0,0.0,,,9.0,0.0,,
2020-02-23,US_CA,0.0,0.0,,,9.0,0.0,,
2020-02-24,US_CA,2.0,0.0,,,11.0,0.0,,
2020-02-25,US_CA,0.0,0.0,,,11.0,0.0,,
2020-02-26,US_CA,15.0,0.0,,,26.0,0.0,,
2020-02-27,US_CA,0.0,0.0,,,26.0,0.0,,
2020-02-28,US_CA,1.0,0.0,,,27.0,0.0,,
2020-02-29,US_CA,1.0,0.0,,,28.0,0.0,,
2020-03-01,US_CA,5.0,0.0,,,33.0,0.0,,
2020-03-02,US_CA,5.0,0.0,,,38.0,0.0,,
2020-03-03,US_CA,7.0,0.0,,,45.0,0.0,,
2020-03-04,US_CA,0.0,0.0,,0.0,53.0,1.0,,515.0
2020-03-05,US_CA,0.0,0.0,,0.0,53.0,1.0,,515.0
2020-03-06,US_CA,7.0,0.0,,7.0,60.0,1.0,,522.0
