date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-26,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-27,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-28,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-29,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-30,US_CT,0.0,0.0,,,0.0,0.0,,
2020-01-31,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-01,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-02,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-03,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-04,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-05,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-06,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-07,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-08,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-09,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-10,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-11,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-12,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-13,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-14,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-15,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-16,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-17,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-18,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-19,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-20,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-21,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-22,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-23,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-24,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-25,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-26,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-27,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-28,US_CT,0.0,0.0,,,0.0,0.0,,
2020-02-29,US_CT,0.0,0.0,,0.0,0.0,0.0,,3.0
2020-03-01,US_CT,0.0,0.0,,1.0,0.0,0.0,,4.0
2020-03-02,US_CT,0.0,0.0,,4.0,0.0,0.0,,8.0
2020-03-03,US_CT,0.0,0.0,,4.0,0.0,0.0,,12.0
2020-03-04,US_CT,0.0,0.0,,12.0,0.0,0.0,,24.0
2020-03-05,US_CT,0.0,0.0,,12.0,0.0,0.0,,36.0
2020-03-06,US_CT,0.0,0.0,,15.0,0.0,0.0,,51.0
2020-03-07,US_CT,0.0,0.0,,13.0,0.0,0.0,,64.0
2020-03-08,US_CT,1.0,0.0,,23.0,1.0,0.0,,87.0
2020-03-09,US_CT,0.0,0.0,,35.0,1.0,0.0,,122.0
2020-03-10,US_CT,1.0,0.0,,46.0,2.0,0.0,,168.0
2020-03-11,US_CT,1.0,0.0,,27.0,3.0,0.0,,195.0
2020-03-12,US_CT,3.0,0.0,,61.0,6.0,0.0,,256.0
2020-03-13,US_CT,0.0,0.0,,97.0,6.0,0.0,,353.0
2020-03-14,US_CT,5.0,0.0,,143.0,11.0,0.0,,496.0
2020-03-15,US_CT,9.0,0.0,,123.0,20.0,0.0,,619.0
2020-03-16,US_CT,6.0,0.0,,136.0,26.0,0.0,,755.0
2020-03-17,US_CT,15.0,0.0,,570.0,41.0,0.0,,1325.0
2020-03-18,US_CT,27.0,0.0,,989.0,68.0,1.0,,2314.0
2020-03-19,US_CT,28.0,1.0,,1349.0,96.0,1.0,,3663.0
2020-03-20,US_CT,98.0,2.0,,1526.0,194.0,3.0,,5189.0
2020-03-21,US_CT,0.0,1.0,,1685.0,194.0,4.0,,6874.0
2020-03-22,US_CT,29.0,1.0,,974.0,223.0,5.0,,7848.0
2020-03-23,US_CT,192.0,5.0,,693.0,415.0,10.0,,8541.0
2020-03-24,US_CT,203.0,2.0,,1804.0,618.0,12.0,,10345.0
2020-03-25,US_CT,257.0,7.0,,2048.0,875.0,19.0,,12393.0
2020-03-26,US_CT,137.0,2.0,,1956.0,1012.0,21.0,,14349.0
2020-03-27,US_CT,279.0,6.0,,2262.0,1291.0,27.0,,16611.0
2020-03-28,US_CT,233.0,6.0,,2223.0,1524.0,33.0,,18834.0
2020-03-29,US_CT,469.0,1.0,,1328.0,1993.0,34.0,,20162.0
2020-03-30,US_CT,578.0,2.0,,829.0,2571.0,36.0,,20991.0
2020-03-31,US_CT,557.0,33.0,,2127.0,3128.0,69.0,,23118.0
2020-04-01,US_CT,429.0,16.0,,2230.0,3557.0,85.0,,25348.0
2020-04-02,US_CT,267.0,27.0,,2484.0,3824.0,112.0,,27832.0
2020-04-03,US_CT,1090.0,19.0,,2395.0,4914.0,131.0,,30227.0
2020-04-04,US_CT,362.0,34.0,,2440.0,5276.0,165.0,,32667.0
2020-04-05,US_CT,399.0,24.0,,1709.0,5675.0,189.0,,34376.0
2020-04-06,US_CT,1231.0,17.0,,1157.0,6906.0,206.0,,35533.0
2020-04-07,US_CT,875.0,71.0,,2790.0,7781.0,277.0,,38323.0
2020-04-08,US_CT,0.0,0.0,,2873.0,7781.0,277.0,,41196.0
2020-04-09,US_CT,2003.0,103.0,,3006.0,9784.0,380.0,,44202.0
2020-04-10,US_CT,754.0,68.0,,2574.0,10538.0,448.0,,46776.0
2020-04-11,US_CT,972.0,46.0,,2801.0,11510.0,494.0,,49577.0
2020-04-12,US_CT,525.0,60.0,,1805.0,12035.0,554.0,,51382.0
2020-04-13,US_CT,1346.0,48.0,,1054.0,13381.0,602.0,,52436.0
2020-04-14,US_CT,608.0,69.0,,1595.0,13989.0,671.0,,54031.0
2020-04-15,US_CT,766.0,197.0,,3658.0,14755.0,868.0,,57689.0
2020-04-16,US_CT,1129.0,103.0,,3110.0,15884.0,971.0,,60799.0
2020-04-17,US_CT,925.0,65.0,,3167.0,16809.0,1036.0,,63966.0
2020-04-18,US_CT,0.0,0.0,,3698.0,16809.0,1036.0,,67664.0
2020-04-19,US_CT,741.0,50.0,,2227.0,17550.0,1086.0,,69891.0
2020-04-20,US_CT,2265.0,245.0,,1594.0,19815.0,1331.0,,71485.0
2020-04-21,US_CT,545.0,92.0,,3493.0,20360.0,1423.0,,74978.0
2020-04-22,US_CT,2109.0,121.0,,3024.0,22469.0,1544.0,,78002.0
