date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-26,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-27,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-28,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-29,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-30,US_MO,0.0,0.0,,,0.0,0.0,,
2020-01-31,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-01,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-02,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-03,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-04,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-05,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-06,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-07,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-08,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-09,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-10,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-11,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-12,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-13,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-14,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-15,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-16,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-17,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-18,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-19,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-20,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-21,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-22,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-23,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-24,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-25,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-26,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-27,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-28,US_MO,0.0,0.0,,,0.0,0.0,,
2020-02-29,US_MO,0.0,0.0,,,0.0,0.0,,
2020-03-01,US_MO,0.0,0.0,,,0.0,0.0,,
2020-03-02,US_MO,0.0,0.0,,,0.0,0.0,,
2020-03-03,US_MO,0.0,0.0,,,0.0,0.0,,
2020-03-04,US_MO,1.0,0.0,,,1.0,0.0,,
2020-03-05,US_MO,0.0,0.0,,,1.0,0.0,,
2020-03-06,US_MO,1.0,0.0,,,2.0,0.0,,
2020-03-07,US_MO,0.0,0.0,,0.0,0.0,0.0,,23.0
2020-03-08,US_MO,1.0,0.0,,8.0,1.0,0.0,,31.0
2020-03-09,US_MO,0.0,0.0,,5.0,1.0,0.0,,36.0
2020-03-10,US_MO,0.0,0.0,,6.0,1.0,0.0,,42.0
2020-03-11,US_MO,0.0,0.0,,12.0,1.0,0.0,,54.0
2020-03-12,US_MO,0.0,0.0,,11.0,1.0,0.0,,65.0
2020-03-13,US_MO,1.0,0.0,,22.0,2.0,0.0,,87.0
2020-03-14,US_MO,2.0,0.0,,28.0,4.0,0.0,,115.0
2020-03-15,US_MO,1.0,0.0,,73.0,5.0,0.0,,188.0
2020-03-16,US_MO,1.0,0.0,,99.0,6.0,0.0,,287.0
2020-03-17,US_MO,2.0,0.0,,118.0,8.0,0.0,,405.0
2020-03-18,US_MO,5.0,0.0,,440.0,13.0,0.0,,845.0
2020-03-19,US_MO,11.0,1.0,,685.0,24.0,1.0,,1530.0
2020-03-20,US_MO,23.0,0.0,,797.0,47.0,1.0,,2327.0
2020-03-21,US_MO,26.0,2.0,,1128.0,73.0,3.0,,3455.0
2020-03-22,US_MO,17.0,0.0,,1187.0,90.0,3.0,,4642.0
2020-03-23,US_MO,93.0,0.0,,813.0,183.0,3.0,,5455.0
2020-03-24,US_MO,0.0,0.0,,710.0,183.0,3.0,,6165.0
2020-03-25,US_MO,173.0,5.0,,1815.0,356.0,8.0,,7980.0
2020-03-26,US_MO,146.0,0.0,,2064.0,502.0,8.0,,10044.0
2020-03-27,US_MO,167.0,0.0,,2435.0,669.0,8.0,,12479.0
2020-03-28,US_MO,169.0,2.0,,2410.0,838.0,10.0,,14889.0
2020-03-29,US_MO,0.0,0.0,,2136.0,838.0,10.0,,17025.0
2020-03-30,US_MO,193.0,3.0,,1274.0,1031.0,13.0,,18299.0
2020-03-31,US_MO,296.0,1.0,,890.0,1327.0,14.0,,19189.0
2020-04-01,US_MO,254.0,4.0,,2767.0,1581.0,18.0,,21956.0
2020-04-02,US_MO,253.0,1.0,,2459.0,1834.0,19.0,,24415.0
2020-04-03,US_MO,279.0,0.0,,2295.0,2113.0,19.0,,26710.0
2020-04-04,US_MO,178.0,5.0,,2167.0,2291.0,24.0,,28877.0
