date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-26,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-27,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-28,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-29,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-30,US_OK,0.0,0.0,,,0.0,0.0,,
2020-01-31,US_OK,0.0,0.0,,,0.0,0.0,,
2020-02-01,US_OK,0.0,0.0,,,0.0,0.0,,
2020-02-02,US_OK,0.0,0.0,,,0.0,0.0,,
2020-02-03,US_OK,0.0,0.0,,,0.0,0.0,,
2020-02-04,US_OK,0.0,0.0,,,0.0,0.0,,
2020-02-05,US_OK,0.0,0.0,,,0.0,0.0,,
2020-02-06,US_OK,0.0,0.0,,,0.0,0.0,,
2020-02-07,US_OK,1.0,0.0,,,1.0,0.0,,
2020-02-08,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-09,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-10,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-11,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-12,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-13,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-14,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-15,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-16,US_OK,0.0,0.0,,,1.0,0.0,,
2020-02-17,US_OK,2.0,0.0,,,3.0,0.0,,
2020-02-18,US_OK,0.0,0.0,,,3.0,0.0,,
2020-02-19,US_OK,1.0,0.0,,,4.0,0.0,,
2020-02-20,US_OK,1.0,0.0,,,5.0,0.0,,
