date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_VA,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_VA,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_VA,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_VA,0.0,0.0,,,0.0,0.0,,
2020-01-26,US_VA,0.0,0.0,,,0.0,0.0,,
2020-01-27,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-01-28,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-01-29,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-01-30,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-01-31,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-01,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-02,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-03,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-04,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-05,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-06,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-07,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-08,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-09,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-10,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-11,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-12,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-13,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-14,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-15,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-16,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-17,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-18,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-19,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-20,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-21,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-22,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-23,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-24,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-25,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-26,US_VA,0.0,0.0,,0.0,0.0,0.0,,
2020-02-27,US_VA,0.0,0.0,,6445.0,0.0,0.0,,6445.0
2020-02-28,US_VA,0.0,0.0,,0.0,0.0,0.0,,6445.0
2020-02-29,US_VA,0.0,0.0,,2.0,0.0,0.0,,6447.0
2020-03-01,US_VA,0.0,0.0,,2.0,0.0,0.0,,6449.0
2020-03-02,US_VA,0.0,0.0,,1.0,0.0,0.0,,6450.0
2020-03-03,US_VA,0.0,0.0,,1.0,0.0,0.0,,6451.0
2020-03-04,US_VA,0.0,0.0,,1.0,0.0,0.0,,6452.0
2020-03-05,US_VA,0.0,0.0,,1.0,0.0,0.0,,6453.0
2020-03-06,US_VA,0.0,0.0,,2.0,0.0,0.0,,6455.0
2020-03-07,US_VA,0.0,0.0,,2.0,0.0,0.0,,6457.0
2020-03-08,US_VA,2.0,0.0,,5.0,2.0,0.0,,6462.0
2020-03-09,US_VA,1.0,0.0,,1.0,3.0,0.0,,6463.0
2020-03-10,US_VA,5.0,0.0,,10.0,8.0,0.0,,6473.0
2020-03-11,US_VA,1.0,0.0,,11.0,9.0,0.0,,6484.0
2020-03-12,US_VA,8.0,0.0,,32.0,17.0,0.0,,6516.0
2020-03-13,US_VA,13.0,0.0,,85.0,30.0,0.0,,6601.0
2020-03-14,US_VA,0.0,0.0,,79.0,30.0,1.0,,6680.0
2020-03-15,US_VA,15.0,1.0,,59.0,45.0,1.0,,6739.0
2020-03-16,US_VA,6.0,0.0,,88.0,51.0,1.0,,6827.0
2020-03-17,US_VA,16.0,0.0,,325.0,67.0,1.0,,7152.0
2020-03-18,US_VA,10.0,0.0,,224.0,77.0,1.0,,7376.0
2020-03-19,US_VA,17.0,1.0,,424.0,94.0,2.0,,7800.0
2020-03-20,US_VA,20.0,0.0,,593.0,114.0,2.0,,8393.0
2020-03-21,US_VA,38.0,0.0,,595.0,152.0,2.0,,8988.0
2020-03-22,US_VA,67.0,1.0,,907.0,219.0,3.0,,9895.0
2020-03-23,US_VA,35.0,3.0,,498.0,254.0,6.0,,10393.0
2020-03-24,US_VA,36.0,1.0,,810.0,290.0,7.0,,11203.0
2020-03-25,US_VA,101.0,2.0,,1074.0,391.0,9.0,,12277.0
2020-03-26,US_VA,69.0,4.0,,1097.0,460.0,13.0,,13374.0
2020-03-27,US_VA,144.0,1.0,,1404.0,604.0,14.0,,14778.0
2020-03-28,US_VA,135.0,3.0,,1946.0,739.0,17.0,,16724.0
2020-03-29,US_VA,151.0,5.0,,1598.0,890.0,22.0,,18322.0
2020-03-30,US_VA,130.0,3.0,,1386.0,1020.0,25.0,,19708.0
2020-03-31,US_VA,230.0,2.0,,1685.0,1250.0,27.0,,21393.0
2020-04-01,US_VA,234.0,7.0,,1897.0,1484.0,34.0,,23290.0
2020-04-02,US_VA,222.0,7.0,,2392.0,1706.0,41.0,,25682.0
2020-04-03,US_VA,306.0,5.0,,1964.0,2012.0,46.0,,27646.0
2020-04-04,US_VA,395.0,6.0,,2709.0,2407.0,52.0,,30355.0
2020-04-05,US_VA,230.0,-1.0,,2193.0,2637.0,51.0,,32548.0
2020-04-06,US_VA,241.0,3.0,,3809.0,2878.0,54.0,,36357.0
2020-04-07,US_VA,455.0,9.0,,2962.0,3333.0,63.0,,39319.0
2020-04-08,US_VA,312.0,12.0,,2391.0,3645.0,75.0,,41710.0
2020-04-09,US_VA,397.0,34.0,,2310.0,4042.0,109.0,,44020.0
2020-04-10,US_VA,467.0,12.0,,3372.0,4509.0,121.0,,47392.0
2020-04-11,US_VA,568.0,9.0,,2799.0,5077.0,130.0,,50191.0
2020-04-12,US_VA,197.0,11.0,,2365.0,5274.0,141.0,,52556.0
2020-04-13,US_VA,473.0,8.0,,2142.0,5747.0,149.0,,54698.0
2020-04-14,US_VA,424.0,5.0,,1613.0,6171.0,154.0,,56311.0
2020-04-15,US_VA,329.0,41.0,,2047.0,6500.0,195.0,,58358.0
2020-04-16,US_VA,389.0,13.0,,3026.0,6889.0,208.0,,61384.0
2020-04-17,US_VA,602.0,23.0,,3271.0,7491.0,231.0,,64655.0
2020-04-18,US_VA,562.0,27.0,,3305.0,8053.0,258.0,,67960.0
2020-04-19,US_VA,484.0,19.0,,2706.0,8537.0,277.0,,70666.0
2020-04-20,US_VA,453.0,23.0,,2439.0,8990.0,300.0,,73105.0
2020-04-21,US_VA,640.0,24.0,,1974.0,9630.0,324.0,,75079.0
2020-04-22,US_VA,636.0,25.0,,2716.0,10266.0,349.0,,77795.0
2020-04-23,US_VA,732.0,23.0,,4811.0,10998.0,372.0,,82606.0
2020-04-24,US_VA,596.0,38.0,,4990.0,11594.0,410.0,,87596.0
2020-04-25,US_VA,772.0,26.0,,3529.0,12366.0,436.0,,91125.0
2020-04-26,US_VA,604.0,12.0,,4061.0,12970.0,448.0,,95186.0
2020-04-27,US_VA,565.0,10.0,,3742.0,13535.0,458.0,,98928.0
2020-04-28,US_VA,804.0,34.0,,3254.0,14339.0,492.0,,102182.0
2020-04-29,US_VA,622.0,30.0,,4089.0,14961.0,522.0,,106271.0
2020-04-30,US_VA,885.0,30.0,,6644.0,15846.0,552.0,,112915.0
