date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-26,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-27,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-28,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-29,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-30,US_DC,0.0,0.0,,,0.0,0.0,,
2020-01-31,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-01,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-02,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-03,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-04,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-05,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-06,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-07,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-08,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-09,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-10,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-11,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-12,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-13,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-14,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-15,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-16,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-17,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-18,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-19,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-20,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-21,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-22,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-23,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-24,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-25,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-26,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-27,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-28,US_DC,0.0,0.0,,,0.0,0.0,,
2020-02-29,US_DC,0.0,0.0,,,0.0,0.0,,
2020-03-01,US_DC,0.0,0.0,,,0.0,0.0,,
2020-03-02,US_DC,0.0,0.0,,,0.0,0.0,,
2020-03-03,US_DC,0.0,0.0,,,0.0,0.0,,
2020-03-04,US_DC,0.0,0.0,,,0.0,0.0,,
2020-03-05,US_DC,0.0,0.0,,0.0,0.0,0.0,,6.0
2020-03-06,US_DC,0.0,0.0,,2.0,0.0,0.0,,8.0
2020-03-07,US_DC,0.0,0.0,,0.0,2.0,0.0,,8.0
2020-03-08,US_DC,0.0,0.0,,3.0,2.0,0.0,,11.0
2020-03-09,US_DC,2.0,0.0,,4.0,4.0,0.0,,15.0
2020-03-10,US_DC,0.0,0.0,,7.0,4.0,0.0,,22.0
2020-03-11,US_DC,6.0,0.0,,3.0,10.0,0.0,,25.0
2020-03-12,US_DC,0.0,0.0,,5.0,10.0,0.0,,30.0
2020-03-13,US_DC,0.0,0.0,,0.0,10.0,0.0,,30.0
2020-03-14,US_DC,6.0,0.0,,29.0,16.0,0.0,,59.0
2020-03-15,US_DC,1.0,0.0,,36.0,17.0,0.0,,95.0
2020-03-16,US_DC,5.0,0.0,,18.0,22.0,0.0,,113.0
2020-03-17,US_DC,9.0,0.0,,13.0,31.0,0.0,,126.0
2020-03-18,US_DC,8.0,0.0,,43.0,39.0,0.0,,169.0
2020-03-19,US_DC,32.0,0.0,,23.0,71.0,0.0,,192.0
2020-03-20,US_DC,6.0,1.0,,380.0,77.0,1.0,,572.0
2020-03-21,US_DC,21.0,0.0,,11.0,98.0,1.0,,583.0
2020-03-22,US_DC,18.0,0.0,,472.0,116.0,1.0,,1055.0
2020-03-23,US_DC,21.0,1.0,,174.0,137.0,2.0,17.0,1229.0
2020-03-24,US_DC,46.0,0.0,0.0,103.0,183.0,2.0,17.0,1332.0
2020-03-25,US_DC,48.0,0.0,4.0,274.0,231.0,2.0,21.0,1606.0
2020-03-26,US_DC,36.0,1.0,28.0,251.0,267.0,3.0,49.0,1857.0
2020-03-27,US_DC,37.0,0.0,2.0,307.0,304.0,3.0,51.0,2164.0
2020-03-28,US_DC,38.0,1.0,15.0,351.0,342.0,4.0,66.0,2515.0
2020-03-29,US_DC,59.0,1.0,40.0,296.0,401.0,5.0,106.0,2811.0
2020-03-30,US_DC,94.0,4.0,15.0,272.0,495.0,9.0,121.0,3083.0
2020-03-31,US_DC,91.0,0.0,21.0,674.0,586.0,9.0,142.0,3757.0
2020-04-01,US_DC,67.0,2.0,31.0,91.0,653.0,11.0,173.0,3848.0
2020-04-02,US_DC,104.0,1.0,33.0,1222.0,757.0,12.0,206.0,5070.0
2020-04-03,US_DC,145.0,3.0,29.0,514.0,902.0,15.0,235.0,5584.0
2020-04-04,US_DC,96.0,6.0,23.0,854.0,998.0,21.0,258.0,6438.0
2020-04-05,US_DC,99.0,1.0,29.0,396.0,1097.0,22.0,287.0,6834.0
2020-04-06,US_DC,114.0,2.0,31.0,619.0,1211.0,24.0,318.0,7453.0
2020-04-07,US_DC,229.0,-2.0,43.0,370.0,1440.0,22.0,361.0,7823.0
2020-04-08,US_DC,83.0,5.0,32.0,460.0,1523.0,27.0,393.0,8283.0
2020-04-09,US_DC,137.0,5.0,33.0,441.0,1660.0,32.0,426.0,8724.0
2020-04-10,US_DC,118.0,6.0,21.0,631.0,1778.0,38.0,447.0,9355.0
2020-04-11,US_DC,97.0,9.0,46.0,684.0,1875.0,47.0,493.0,10039.0
2020-04-12,US_DC,80.0,3.0,14.0,601.0,1955.0,50.0,507.0,10640.0
2020-04-13,US_DC,103.0,3.0,11.0,294.0,2058.0,53.0,518.0,10934.0
2020-04-14,US_DC,139.0,14.0,12.0,350.0,2197.0,67.0,530.0,11284.0
2020-04-15,US_DC,153.0,5.0,22.0,241.0,2350.0,72.0,552.0,11525.0
2020-04-16,US_DC,126.0,9.0,21.0,625.0,2476.0,81.0,573.0,12150.0
2020-04-17,US_DC,190.0,5.0,35.0,493.0,2666.0,86.0,608.0,12643.0
2020-04-18,US_DC,127.0,5.0,14.0,625.0,2793.0,91.0,622.0,13268.0
2020-04-19,US_DC,134.0,5.0,8.0,431.0,2927.0,96.0,630.0,13699.0
2020-04-20,US_DC,171.0,9.0,6.0,414.0,3098.0,105.0,636.0,14113.0
2020-04-21,US_DC,108.0,7.0,9.0,826.0,3206.0,112.0,645.0,14939.0
2020-04-22,US_DC,155.0,15.0,3.0,563.0,3361.0,127.0,648.0,15502.0
2020-04-23,US_DC,167.0,12.0,3.0,428.0,3528.0,139.0,651.0,15930.0
2020-04-24,US_DC,171.0,14.0,1.0,603.0,3699.0,153.0,652.0,16533.0
2020-04-25,US_DC,142.0,12.0,5.0,769.0,3841.0,165.0,657.0,17302.0
2020-04-26,US_DC,51.0,13.0,2.0,766.0,3892.0,178.0,659.0,18068.0
2020-04-27,US_DC,102.0,7.0,1.0,348.0,3994.0,185.0,660.0,18416.0
2020-04-28,US_DC,112.0,5.0,0.0,469.0,4106.0,190.0,660.0,18885.0
2020-04-29,US_DC,217.0,15.0,0.0,344.0,4323.0,205.0,660.0,19229.0
2020-04-30,US_DC,335.0,19.0,6.0,850.0,4658.0,224.0,666.0,20079.0
2020-05-01,US_DC,139.0,7.0,0.0,1056.0,4797.0,231.0,666.0,21135.0
2020-05-02,US_DC,219.0,9.0,0.0,869.0,5016.0,240.0,666.0,22004.0
2020-05-03,US_DC,154.0,11.0,0.0,1098.0,5170.0,251.0,666.0,23102.0
2020-05-04,US_DC,152.0,7.0,1.0,693.0,5322.0,258.0,667.0,23795.0
2020-05-05,US_DC,139.0,6.0,141.0,534.0,5461.0,264.0,808.0,24329.0
2020-05-06,US_DC,193.0,13.0,17.0,655.0,5654.0,277.0,825.0,24984.0
2020-05-07,US_DC,245.0,8.0,0.0,872.0,5899.0,285.0,825.0,25856.0
2020-05-08,US_DC,203.0,19.0,54.0,1259.0,6102.0,304.0,879.0,27115.0
2020-05-09,US_DC,170.0,7.0,1.0,1068.0,6272.0,311.0,880.0,28183.0
2020-05-10,US_DC,117.0,12.0,1.0,1387.0,6389.0,323.0,881.0,29570.0
2020-05-11,US_DC,96.0,5.0,5.0,691.0,6485.0,328.0,886.0,30261.0
2020-05-12,US_DC,99.0,8.0,48.0,789.0,6584.0,336.0,934.0,31050.0
2020-05-13,US_DC,152.0,14.0,32.0,0.0,6736.0,350.0,966.0,31050.0
2020-05-14,US_DC,135.0,8.0,9.0,608.0,6871.0,358.0,975.0,31658.0
2020-05-15,US_DC,171.0,10.0,23.0,2681.0,7042.0,368.0,998.0,34339.0
2020-05-16,US_DC,81.0,7.0,25.0,1193.0,7123.0,375.0,1023.0,35532.0
2020-05-17,US_DC,147.0,8.0,5.0,994.0,7270.0,383.0,1028.0,36526.0
2020-05-18,US_DC,164.0,9.0,12.0,1299.0,7434.0,392.0,1040.0,37825.0
