date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-26,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-27,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-28,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-29,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-30,US_VI,0.0,0.0,,,0.0,0.0,,
2020-01-31,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-01,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-02,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-03,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-04,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-05,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-06,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-07,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-08,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-09,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-10,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-11,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-12,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-13,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-14,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-15,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-16,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-17,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-18,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-19,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-20,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-21,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-22,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-23,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-24,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-25,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-26,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-27,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-28,US_VI,0.0,0.0,,,0.0,0.0,,
2020-02-29,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-01,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-02,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-03,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-04,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-05,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-06,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-07,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-08,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-09,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-10,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-11,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-12,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-13,US_VI,0.0,0.0,,,0.0,0.0,,
2020-03-14,US_VI,0.0,0.0,,,1.0,0.0,,
2020-03-15,US_VI,0.0,0.0,,,1.0,0.0,,
2020-03-16,US_VI,0.0,0.0,,0.0,1.0,0.0,,1.0
2020-03-17,US_VI,1.0,0.0,,1.0,2.0,0.0,,2.0
2020-03-18,US_VI,0.0,0.0,,0.0,2.0,0.0,,2.0
2020-03-19,US_VI,1.0,0.0,,1.0,3.0,0.0,,3.0
2020-03-20,US_VI,0.0,0.0,,0.0,3.0,0.0,,3.0
2020-03-21,US_VI,3.0,0.0,,3.0,6.0,0.0,,6.0
2020-03-22,US_VI,0.0,0.0,,0.0,6.0,0.0,,6.0
2020-03-23,US_VI,11.0,0.0,,11.0,17.0,0.0,,17.0
2020-03-24,US_VI,0.0,0.0,,0.0,17.0,0.0,,17.0
2020-03-25,US_VI,0.0,0.0,,55.0,17.0,0.0,,72.0
2020-03-26,US_VI,0.0,0.0,,0.0,17.0,0.0,,72.0
2020-03-27,US_VI,2.0,0.0,,2.0,19.0,0.0,,74.0
2020-03-28,US_VI,3.0,0.0,,54.0,22.0,0.0,,128.0
2020-03-29,US_VI,1.0,0.0,,18.0,23.0,0.0,,146.0
2020-03-30,US_VI,7.0,0.0,,10.0,30.0,0.0,,156.0
2020-03-31,US_VI,0.0,0.0,,0.0,30.0,0.0,21.0,156.0
2020-04-01,US_VI,0.0,0.0,0.0,0.0,30.0,0.0,21.0,156.0
2020-04-02,US_VI,3.0,0.0,4.0,26.0,33.0,0.0,25.0,182.0
2020-04-03,US_VI,5.0,0.0,4.0,10.0,38.0,0.0,29.0,192.0
2020-04-04,US_VI,2.0,0.0,5.0,32.0,40.0,0.0,34.0,224.0
2020-04-05,US_VI,2.0,1.0,0.0,24.0,42.0,1.0,34.0,248.0
2020-04-06,US_VI,1.0,0.0,2.0,17.0,43.0,1.0,36.0,265.0
