date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-18,AU_NSW,,,,,,5.0,,,
2020-03-19,AU_NSW,,,,,,5.0,,,
2020-03-20,AU_NSW,,,,,,6.0,,,
2020-03-24,AU_NSW,,,,,,12.0,,,8.0
2020-03-25,AU_NSW,,,,,,10.0,,,4.0
2020-03-26,AU_NSW,,,,,,16.0,,,10.0
2020-03-27,AU_NSW,,,53.0,,,19.0,,,9.0
2020-03-28,AU_NSW,,,,,,22.0,,,11.0
2020-03-29,AU_NSW,,,,,,24.0,,,12.0
2020-03-30,AU_NSW,,,,,,26.0,,,13.0
2020-03-31,AU_NSW,,,,,,35.0,,,16.0
2020-04-01,AU_NSW,,,,,,42.0,,,22.0
2020-04-02,AU_NSW,,,,,,43.0,,,20.0
2020-04-03,AU_NSW,,,,,,42.0,,,22.0
2020-04-04,AU_NSW,,,,,,41.0,,,23.0
2020-04-05,AU_NSW,,,118.0,,,39.0,,,23.0
2020-04-06,AU_NSW,,,250.0,,,40.0,,,20.0
2020-04-07,AU_NSW,,,103.0,,,37.0,,,24.0
2020-04-08,AU_NSW,,,92.0,,,36.0,,,22.0
2020-04-09,AU_NSW,,,88.0,,,31.0,,,21.0
2020-04-10,AU_NSW,,,83.0,,,29.0,,,23.0
2020-04-11,AU_NSW,,,78.0,,,30.0,,,23.0
2020-04-12,AU_NSW,,,78.0,,,30.0,,,21.0
2020-04-13,AU_NSW,,,77.0,,,30.0,,,21.0
2020-04-14,AU_NSW,,,80.0,,,32.0,,,19.0
2020-04-15,AU_NSW,,,73.0,,,29.0,,,18.0
2020-04-16,AU_NSW,,,64.0,,,26.0,,,19.0
2020-04-17,AU_NSW,,,63.0,,,26.0,,,19.0
2020-04-18,AU_NSW,,,57.0,,,25.0,,,18.0
2020-04-19,AU_NSW,,,57.0,,,21.0,,,17.0
2020-04-20,AU_NSW,,,53.0,,,22.0,,,15.0
2020-04-21,AU_NSW,,,55.0,,,21.0,,,17.0
2020-04-22,AU_NSW,,,50.0,,,20.0,,,16.0
2020-04-23,AU_NSW,,,47.0,,,21.0,,,15.0
2020-04-24,AU_NSW,,,43.0,,,19.0,,,15.0
2020-04-25,AU_NSW,,,39.0,,,19.0,,,15.0
2020-04-26,AU_NSW,,,37.0,,,19.0,,,15.0
2020-04-27,AU_NSW,,,35.0,,,19.0,,,15.0
2020-04-28,AU_NSW,,,34.0,,,19.0,,,15.0
2020-04-29,AU_NSW,,,28.0,,,17.0,,,14.0
2020-04-30,AU_NSW,,,27.0,,,15.0,,,13.0
2020-05-01,AU_NSW,,,27.0,,,14.0,,,12.0
2020-05-02,AU_NSW,,,28.0,,,14.0,,,12.0
2020-05-03,AU_NSW,,,27.0,,,14.0,,,11.0
2020-05-04,AU_NSW,,,27.0,,,14.0,,,10.0
2020-05-05,AU_NSW,,,25.0,,,13.0,,,11.0
2020-05-06,AU_NSW,,,25.0,,,13.0,,,9.0
