date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-29,AU_NT,,,,,,0.0,,,
2020-03-30,AU_NT,,,,,,0.0,,,
2020-03-31,AU_NT,,,,,,0.0,,,
2020-04-01,AU_NT,,,,,,0.0,,,
2020-04-02,AU_NT,,,,,,0.0,,,
2020-04-03,AU_NT,,,,,,0.0,,,
2020-04-04,AU_NT,,,,,,0.0,,,
2020-04-05,AU_NT,,,23.0,,,0.0,,,0.0
2020-04-06,AU_NT,,,24.0,,,0.0,,,0.0
2020-04-07,AU_NT,,,24.0,,,0.0,,,0.0
2020-04-08,AU_NT,,,24.0,,,0.0,,,0.0
2020-04-09,AU_NT,,,24.0,,,0.0,,,0.0
2020-04-10,AU_NT,,,24.0,,,0.0,,,0.0
2020-04-11,AU_NT,,,24.0,,,0.0,,,0.0
2020-04-12,AU_NT,,,22.0,,,0.0,,,0.0
2020-04-13,AU_NT,,,22.0,,,0.0,,,0.0
2020-04-14,AU_NT,,,22.0,,,0.0,,,0.0
2020-04-15,AU_NT,,,21.0,,,0.0,,,0.0
2020-04-16,AU_NT,,,20.0,,,0.0,,,0.0
2020-04-17,AU_NT,,,19.0,,,0.0,,,0.0
2020-04-18,AU_NT,,,17.0,,,0.0,,,0.0
2020-04-19,AU_NT,,,16.0,,,0.0,,,0.0
2020-04-20,AU_NT,,,16.0,,,0.0,,,0.0
2020-04-21,AU_NT,,,14.0,,,0.0,,,0.0
2020-04-22,AU_NT,,,14.0,,,0.0,,,0.0
2020-04-23,AU_NT,,,13.0,,,0.0,,,0.0
2020-04-24,AU_NT,,,10.0,,,0.0,,,0.0
2020-04-25,AU_NT,,,5.0,,,0.0,,,0.0
2020-04-26,AU_NT,,,5.0,,,0.0,,,0.0
2020-04-27,AU_NT,,,5.0,,,0.0,,,0.0
2020-04-28,AU_NT,,,5.0,,,0.0,,,0.0
2020-04-29,AU_NT,,,3.0,,,0.0,,,0.0
2020-04-30,AU_NT,,,3.0,,,0.0,,,0.0
2020-05-01,AU_NT,,,3.0,,,0.0,,,0.0
2020-05-02,AU_NT,,,5.0,,,0.0,,,0.0
2020-05-03,AU_NT,,,5.0,,,0.0,,,0.0
2020-05-04,AU_NT,,,5.0,,,0.0,,,0.0
2020-05-05,AU_NT,,,3.0,,,0.0,,,0.0
2020-05-06,AU_NT,,,3.0,,,0.0,,,0.0
2020-05-07,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-08,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-09,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-10,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-11,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-12,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-13,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-14,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-15,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-16,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-17,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-18,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-19,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-20,AU_NT,,,2.0,,,0.0,,,0.0
2020-05-21,AU_NT,,,1.0,,,0.0,,,0.0
2020-05-22,AU_NT,,,1.0,,,0.0,,,0.0
2020-05-23,AU_NT,,,0.0,,,0.0,,,0.0
2020-05-24,AU_NT,,,0.0,,,0.0,,,0.0
2020-05-25,AU_NT,,,0.0,,,0.0,,,0.0
2020-05-26,AU_NT,,,0.0,,,0.0,,,0.0
2020-05-27,AU_NT,,,0.0,,,0.0,,,0.0
2020-05-28,AU_NT,,,0.0,,,0.0,,,0.0
2020-05-29,AU_NT,,,0.0,,,0.0,,,0.0
2020-05-30,AU_NT,,,0.0,,,0.0,,,0.0
2020-05-31,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-01,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-02,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-03,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-04,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-05,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-06,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-07,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-08,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-09,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-10,AU_NT,,,0.0,,,0.0,,,0.0
2020-06-11,AU_NT,,,0.0,,,0.0,,,0.0
