date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-04-01,CL_BI,,,,,,14.0,,,
2020-04-02,CL_BI,,,,,,18.0,,,
2020-04-03,CL_BI,,,,,,21.0,,,
2020-04-04,CL_BI,,,,,,24.0,,,
2020-04-05,CL_BI,,,,,,26.0,,,
2020-04-06,CL_BI,,,,,,27.0,,,
2020-04-07,CL_BI,,,,,,32.0,,,
2020-04-08,CL_BI,,,,,,31.0,,,
2020-04-09,CL_BI,,,,,,33.0,,,
2020-04-10,CL_BI,,,,,,32.0,,,
2020-04-11,CL_BI,,,,,,33.0,,,
2020-04-12,CL_BI,,,,,,31.0,,,
2020-04-13,CL_BI,,,,,,35.0,,,
2020-04-14,CL_BI,,,,,,35.0,,,
2020-04-15,CL_BI,,,,,,35.0,,,
2020-04-16,CL_BI,,,,,,30.0,,,
2020-04-17,CL_BI,,,,,,27.0,,,
2020-04-18,CL_BI,,,,,,25.0,,,
2020-04-19,CL_BI,,,,,,26.0,,,
2020-04-20,CL_BI,,,,,,26.0,,,
2020-04-21,CL_BI,,,,,,25.0,,,
2020-04-22,CL_BI,,,,,,25.0,,,
2020-04-23,CL_BI,,,,,,25.0,,,
2020-04-24,CL_BI,,,,,,22.0,,,
2020-04-25,CL_BI,,,,,,22.0,,,
2020-04-26,CL_BI,,,,,,23.0,,,
2020-04-27,CL_BI,,,,,,24.0,,,
2020-04-28,CL_BI,,,,,,21.0,,,
2020-04-29,CL_BI,,,,,,22.0,,,
2020-04-30,CL_BI,,,,,,22.0,,,
2020-05-01,CL_BI,,,,,,23.0,,,
2020-05-02,CL_BI,,,,,,21.0,,,
2020-05-03,CL_BI,,,,,,20.0,,,
2020-05-04,CL_BI,,,,,,18.0,,,
2020-05-05,CL_BI,,,,,,18.0,,,
2020-05-06,CL_BI,,,,,,15.0,,,
2020-05-07,CL_BI,,,,,,14.0,,,
2020-05-08,CL_BI,,,,,,16.0,,,
2020-05-09,CL_BI,,,,,,18.0,,,
2020-05-10,CL_BI,,,,,,19.0,,,
2020-05-11,CL_BI,,,,,,18.0,,,
2020-05-12,CL_BI,,,,,,17.0,,,
2020-05-13,CL_BI,,,,,,14.0,,,
2020-05-14,CL_BI,,,,,,11.0,,,
2020-05-15,CL_BI,,,,,,12.0,,,
2020-05-16,CL_BI,,,,,,14.0,,,
2020-05-17,CL_BI,,,,,,14.0,,,
2020-05-18,CL_BI,,,,,,17.0,,,
2020-05-19,CL_BI,,,,,,18.0,,,
2020-05-20,CL_BI,,,,,,19.0,,,
2020-05-21,CL_BI,,,,,,23.0,,,
2020-05-22,CL_BI,,,,,,21.0,,,
2020-05-23,CL_BI,,,,,,23.0,,,
2020-05-24,CL_BI,,,,,,22.0,,,
2020-05-25,CL_BI,,,,,,23.0,,,
2020-05-26,CL_BI,,,,,,26.0,,,
2020-05-27,CL_BI,,,,,,26.0,,,
2020-05-28,CL_BI,,,,,,29.0,,,
2020-05-29,CL_BI,,,,,,31.0,,,
2020-05-30,CL_BI,,,,,,32.0,,,
2020-05-31,CL_BI,,,,,,30.0,,,
2020-06-01,CL_BI,,,,,,33.0,,,
2020-06-02,CL_BI,,,,,,37.0,,,
2020-06-03,CL_BI,,,,,,39.0,,,
2020-06-04,CL_BI,,,,,,43.0,,,
2020-06-05,CL_BI,,,,,,47.0,,,
2020-06-06,CL_BI,,,,,,50.0,,,
2020-06-07,CL_BI,,,,,,47.0,,,
2020-06-08,CL_BI,,,,,,46.0,,,
2020-06-09,CL_BI,,,,,,46.0,,,
2020-06-10,CL_BI,,,,,,45.0,,,
2020-06-11,CL_BI,,,,,,52.0,,,
2020-06-12,CL_BI,,,,,,55.0,,,
2020-06-13,CL_BI,,,,,,66.0,,,
2020-06-14,CL_BI,,,,,,68.0,,,
2020-06-15,CL_BI,,,,,,72.0,,,
2020-06-16,CL_BI,,,,,,66.0,,,
2020-06-17,CL_BI,,,,,,63.0,,,
2020-06-18,CL_BI,,,,,,61.0,,,
2020-06-19,CL_BI,,,,,,63.0,,,
2020-06-20,CL_BI,,,,,,66.0,,,
2020-06-21,CL_BI,,,,,,68.0,,,
2020-06-22,CL_BI,,,,,,66.0,,,
2020-06-23,CL_BI,,,,,,68.0,,,
2020-06-24,CL_BI,,,,,,64.0,,,
2020-06-25,CL_BI,,,,,,68.0,,,
2020-06-26,CL_BI,,,,,,69.0,,,
2020-06-27,CL_BI,,,,,,72.0,,,
2020-06-28,CL_BI,,,,,,69.0,,,
2020-06-29,CL_BI,,,,,,65.0,,,
2020-06-30,CL_BI,,,,,,71.0,,,
2020-07-01,CL_BI,,,,,,70.0,,,
2020-07-02,CL_BI,,,,,,71.0,,,
2020-07-03,CL_BI,,,,,,70.0,,,
2020-07-04,CL_BI,,,,,,69.0,,,
2020-07-05,CL_BI,,,,,,66.0,,,
2020-07-06,CL_BI,,,,,,66.0,,,
2020-07-07,CL_BI,,,,,,65.0,,,
2020-07-08,CL_BI,,,,,,67.0,,,
2020-07-09,CL_BI,,,,,,67.0,,,
2020-07-10,CL_BI,,,,,,70.0,,,
2020-07-11,CL_BI,,,,,,73.0,,,
2020-07-12,CL_BI,,,,,,74.0,,,
2020-07-13,CL_BI,,,,,,74.0,,,
2020-07-14,CL_BI,,,,,,71.0,,,
2020-07-15,CL_BI,,,,,,68.0,,,
2020-07-16,CL_BI,,,,,,67.0,,,
2020-07-17,CL_BI,,,,,,69.0,,,
2020-07-18,CL_BI,,,,,,75.0,,,
2020-07-19,CL_BI,,,,,,70.0,,,
2020-07-20,CL_BI,,,,,,72.0,,,
2020-07-21,CL_BI,,,,,,72.0,,,
2020-07-22,CL_BI,,,,,,73.0,,,
2020-07-23,CL_BI,,,,,,75.0,,,
2020-07-24,CL_BI,,,,,,74.0,,,
2020-07-25,CL_BI,,,,,,74.0,,,
2020-07-26,CL_BI,,,,,,73.0,,,
2020-07-27,CL_BI,,,,,,69.0,,,
2020-07-28,CL_BI,,,,,,70.0,,,
2020-07-29,CL_BI,,,,,,63.0,,,
2020-07-30,CL_BI,,,,,,64.0,,,
2020-07-31,CL_BI,,,,,,68.0,,,
2020-08-01,CL_BI,,,,,,68.0,,,
2020-08-02,CL_BI,,,,,,66.0,,,
2020-08-03,CL_BI,,,,,,67.0,,,
2020-08-04,CL_BI,,,,,,66.0,,,
2020-08-05,CL_BI,,,,,,71.0,,,
2020-08-06,CL_BI,,,,,,77.0,,,
2020-08-07,CL_BI,,,,,,80.0,,,
2020-08-08,CL_BI,,,,,,80.0,,,
2020-08-09,CL_BI,,,,,,78.0,,,
2020-08-10,CL_BI,,,,,,73.0,,,
2020-08-11,CL_BI,,,,,,72.0,,,
2020-08-12,CL_BI,,,,,,74.0,,,
2020-08-13,CL_BI,,,,,,70.0,,,
2020-08-14,CL_BI,,,,,,72.0,,,
2020-08-15,CL_BI,,,,,,71.0,,,
2020-08-16,CL_BI,,,,,,78.0,,,
2020-08-17,CL_BI,,,,,,76.0,,,
2020-08-18,CL_BI,,,,,,76.0,,,
2020-08-19,CL_BI,,,,,,76.0,,,
2020-08-20,CL_BI,,,,,,70.0,,,
2020-08-21,CL_BI,,,,,,79.0,,,
2020-08-22,CL_BI,,,,,,83.0,,,
2020-08-23,CL_BI,,,,,,80.0,,,
2020-08-24,CL_BI,,,,,,81.0,,,
2020-08-25,CL_BI,,,,,,83.0,,,
2020-08-26,CL_BI,,,,,,82.0,,,
2020-08-27,CL_BI,,,,,,82.0,,,
2020-08-28,CL_BI,,,,,,85.0,,,
2020-08-29,CL_BI,,,,,,83.0,,,
2020-08-30,CL_BI,,,,,,88.0,,,
2020-08-31,CL_BI,,,,,,88.0,,,
2020-09-01,CL_BI,,,,,,85.0,,,
2020-09-02,CL_BI,,,,,,88.0,,,
2020-09-03,CL_BI,,,,,,90.0,,,
2020-09-04,CL_BI,,,,,,90.0,,,
2020-09-05,CL_BI,,,,,,85.0,,,
2020-09-06,CL_BI,,,,,,85.0,,,
2020-09-07,CL_BI,,,,,,83.0,,,
2020-09-08,CL_BI,,,,,,88.0,,,
2020-09-09,CL_BI,,,,,,91.0,,,
2020-09-10,CL_BI,,,,,,100.0,,,
2020-09-11,CL_BI,,,,,,96.0,,,
2020-09-12,CL_BI,,,,,,95.0,,,
2020-09-13,CL_BI,,,,,,96.0,,,
2020-09-14,CL_BI,,,,,,92.0,,,
2020-09-15,CL_BI,,,,,,97.0,,,
2020-09-16,CL_BI,,,,,,89.0,,,
2020-09-17,CL_BI,,,,,,89.0,,,
2020-09-18,CL_BI,,,,,,96.0,,,
2020-09-19,CL_BI,,,,,,99.0,,,
2020-09-20,CL_BI,,,,,,105.0,,,
2020-09-21,CL_BI,,,,,,102.0,,,
2020-09-22,CL_BI,,,,,,104.0,,,
2020-09-23,CL_BI,,,,,,106.0,,,
2020-09-24,CL_BI,,,,,,104.0,,,
2020-09-25,CL_BI,,,,,,99.0,,,
2020-09-26,CL_BI,,,,,,95.0,,,
2020-09-27,CL_BI,,,,,,96.0,,,
2020-09-28,CL_BI,,,,,,93.0,,,
2020-09-29,CL_BI,,,,,,95.0,,,
2020-09-30,CL_BI,,,,,,93.0,,,
2020-10-01,CL_BI,,,,,,90.0,,,
2020-10-02,CL_BI,,,,,,89.0,,,
2020-10-03,CL_BI,,,,,,97.0,,,
2020-10-04,CL_BI,,,,,,97.0,,,
2020-10-05,CL_BI,,,,,,91.0,,,
2020-10-06,CL_BI,,,,,,93.0,,,
2020-10-07,CL_BI,,,,,,92.0,,,
2020-10-08,CL_BI,,,,,,88.0,,,
2020-10-09,CL_BI,,,,,,87.0,,,
2020-10-10,CL_BI,,,,,,82.0,,,
2020-10-11,CL_BI,,,,,,77.0,,,
2020-10-12,CL_BI,,,,,,78.0,,,
2020-10-13,CL_BI,,,,,,76.0,,,
2020-10-14,CL_BI,,,,,,79.0,,,
2020-10-15,CL_BI,,,,,,86.0,,,
2020-10-16,CL_BI,,,,,,87.0,,,
2020-10-17,CL_BI,,,,,,85.0,,,
2020-10-18,CL_BI,,,,,,80.0,,,
2020-10-19,CL_BI,,,,,,83.0,,,
2020-10-20,CL_BI,,,,,,84.0,,,
2020-10-21,CL_BI,,,,,,83.0,,,
2020-10-22,CL_BI,,,,,,78.0,,,
2020-10-23,CL_BI,,,,,,78.0,,,
2020-10-24,CL_BI,,,,,,76.0,,,
2020-10-25,CL_BI,,,,,,74.0,,,
2020-10-26,CL_BI,,,,,,71.0,,,
2020-10-27,CL_BI,,,,,,70.0,,,
2020-10-28,CL_BI,,,,,,75.0,,,
2020-10-29,CL_BI,,,,,,82.0,,,
2020-10-30,CL_BI,,,,,,85.0,,,
2020-10-31,CL_BI,,,,,,85.0,,,
2020-11-01,CL_BI,,,,,,81.0,,,
2020-11-02,CL_BI,,,,,,80.0,,,
2020-11-03,CL_BI,,,,,,80.0,,,
2020-11-04,CL_BI,,,,,,82.0,,,
2020-11-05,CL_BI,,,,,,81.0,,,
2020-11-06,CL_BI,,,,,,79.0,,,
2020-11-07,CL_BI,,,,,,84.0,,,
2020-11-08,CL_BI,,,,,,85.0,,,
2020-11-09,CL_BI,,,,,,90.0,,,
2020-11-10,CL_BI,,,,,,90.0,,,
2020-11-11,CL_BI,,,,,,100.0,,,
2020-11-12,CL_BI,,,,,,96.0,,,
2020-11-13,CL_BI,,,,,,97.0,,,
2020-11-14,CL_BI,,,,,,98.0,,,
2020-11-15,CL_BI,,,,,,98.0,,,
2020-11-16,CL_BI,,,,,,95.0,,,
2020-11-17,CL_BI,,,,,,98.0,,,
2020-11-18,CL_BI,,,,,,96.0,,,
2020-11-19,CL_BI,,,,,,97.0,,,
2020-11-20,CL_BI,,,,,,99.0,,,
2020-11-21,CL_BI,,,,,,102.0,,,
2020-11-22,CL_BI,,,,,,98.0,,,
2020-11-23,CL_BI,,,,,,101.0,,,
2020-11-24,CL_BI,,,,,,96.0,,,
2020-11-25,CL_BI,,,,,,96.0,,,
2020-11-26,CL_BI,,,,,,94.0,,,
2020-11-27,CL_BI,,,,,,98.0,,,
2020-11-28,CL_BI,,,,,,97.0,,,
2020-11-29,CL_BI,,,,,,97.0,,,
2020-11-30,CL_BI,,,,,,97.0,,,
2020-12-01,CL_BI,,,,,,90.0,,,
2020-12-02,CL_BI,,,,,,95.0,,,
2020-12-03,CL_BI,,,,,,91.0,,,
2020-12-04,CL_BI,,,,,,91.0,,,
2020-12-05,CL_BI,,,,,,92.0,,,
2020-12-06,CL_BI,,,,,,97.0,,,
2020-12-07,CL_BI,,,,,,96.0,,,
2020-12-08,CL_BI,,,,,,93.0,,,
2020-12-09,CL_BI,,,,,,98.0,,,
2020-12-10,CL_BI,,,,,,99.0,,,
2020-12-11,CL_BI,,,,,,100.0,,,
2020-12-12,CL_BI,,,,,,105.0,,,
2020-12-13,CL_BI,,,,,,108.0,,,
2020-12-14,CL_BI,,,,,,103.0,,,
2020-12-15,CL_BI,,,,,,110.0,,,
2020-12-16,CL_BI,,,,,,102.0,,,
2020-12-17,CL_BI,,,,,,98.0,,,
2020-12-18,CL_BI,,,,,,102.0,,,
2020-12-19,CL_BI,,,,,,104.0,,,
2020-12-20,CL_BI,,,,,,106.0,,,
2020-12-21,CL_BI,,,,,,103.0,,,
2020-12-22,CL_BI,,,,,,108.0,,,
2020-12-23,CL_BI,,,,,,114.0,,,
2020-12-24,CL_BI,,,,,,116.0,,,
2020-12-25,CL_BI,,,,,,116.0,,,
2020-12-26,CL_BI,,,,,,115.0,,,
2020-12-27,CL_BI,,,,,,116.0,,,
2020-12-28,CL_BI,,,,,,117.0,,,
2020-12-29,CL_BI,,,,,,125.0,,,
2020-12-30,CL_BI,,,,,,129.0,,,
2020-12-31,CL_BI,,,,,,121.0,,,
2021-01-01,CL_BI,,,,,,125.0,,,
2021-01-02,CL_BI,,,,,,129.0,,,
2021-01-03,CL_BI,,,,,,127.0,,,
2021-01-04,CL_BI,,,,,,123.0,,,
2021-01-05,CL_BI,,,,,,121.0,,,
2021-01-06,CL_BI,,,,,,129.0,,,
2021-01-07,CL_BI,,,,,,137.0,,,
2021-01-08,CL_BI,,,,,,133.0,,,
2021-01-09,CL_BI,,,,,,139.0,,,
2021-01-10,CL_BI,,,,,,146.0,,,
2021-01-11,CL_BI,,,,,,144.0,,,
2021-01-12,CL_BI,,,,,,143.0,,,
2021-01-13,CL_BI,,,,,,148.0,,,
2021-01-14,CL_BI,,,,,,149.0,,,
2021-01-15,CL_BI,,,,,,151.0,,,
2021-01-16,CL_BI,,,,,,154.0,,,
2021-01-17,CL_BI,,,,,,151.0,,,
2021-01-18,CL_BI,,,,,,160.0,,,
2021-01-19,CL_BI,,,,,,165.0,,,
2021-01-20,CL_BI,,,,,,168.0,,,
2021-01-21,CL_BI,,,,,,172.0,,,
2021-01-22,CL_BI,,,,,,168.0,,,
2021-01-23,CL_BI,,,,,,171.0,,,
2021-01-24,CL_BI,,,,,,174.0,,,
2021-01-25,CL_BI,,,,,,173.0,,,
2021-01-26,CL_BI,,,,,,170.0,,,
2021-01-27,CL_BI,,,,,,175.0,,,
2021-01-28,CL_BI,,,,,,181.0,,,
2021-01-29,CL_BI,,,,,,178.0,,,
2021-01-30,CL_BI,,,,,,178.0,,,
2021-01-31,CL_BI,,,,,,187.0,,,
2021-02-01,CL_BI,,,,,,180.0,,,
2021-02-02,CL_BI,,,,,,181.0,,,
2021-02-03,CL_BI,,,,,,179.0,,,
2021-02-04,CL_BI,,,,,,174.0,,,
2021-02-05,CL_BI,,,,,,169.0,,,
2021-02-06,CL_BI,,,,,,167.0,,,
2021-02-07,CL_BI,,,,,,169.0,,,
2021-02-08,CL_BI,,,,,,169.0,,,
2021-02-09,CL_BI,,,,,,169.0,,,
2021-02-10,CL_BI,,,,,,163.0,,,
2021-02-11,CL_BI,,,,,,160.0,,,
2021-02-12,CL_BI,,,,,,163.0,,,
2021-02-13,CL_BI,,,,,,162.0,,,
2021-02-14,CL_BI,,,,,,160.0,,,
2021-02-15,CL_BI,,,,,,155.0,,,
2021-02-16,CL_BI,,,,,,156.0,,,
2021-02-17,CL_BI,,,,,,156.0,,,
2021-02-18,CL_BI,,,,,,156.0,,,
2021-02-19,CL_BI,,,,,,156.0,,,
2021-02-20,CL_BI,,,,,,160.0,,,
2021-02-21,CL_BI,,,,,,154.0,,,
2021-02-22,CL_BI,,,,,,155.0,,,
2021-02-23,CL_BI,,,,,,165.0,,,
2021-02-24,CL_BI,,,,,,159.0,,,
2021-02-25,CL_BI,,,,,,159.0,,,
2021-02-26,CL_BI,,,,,,163.0,,,
2021-02-27,CL_BI,,,,,,168.0,,,
2021-02-28,CL_BI,,,,,,162.0,,,
2021-03-01,CL_BI,,,,,,169.0,,,
2021-03-02,CL_BI,,,,,,172.0,,,
2021-03-03,CL_BI,,,,,,177.0,,,
2021-03-04,CL_BI,,,,,,164.0,,,
2021-03-05,CL_BI,,,,,,163.0,,,
2021-03-06,CL_BI,,,,,,166.0,,,
2021-03-07,CL_BI,,,,,,169.0,,,
2021-03-08,CL_BI,,,,,,173.0,,,
2021-03-09,CL_BI,,,,,,175.0,,,
2021-03-10,CL_BI,,,,,,177.0,,,
2021-03-11,CL_BI,,,,,,180.0,,,
2021-03-12,CL_BI,,,,,,182.0,,,
2021-03-13,CL_BI,,,,,,186.0,,,
2021-03-14,CL_BI,,,,,,195.0,,,
2021-03-15,CL_BI,,,,,,201.0,,,
2021-03-16,CL_BI,,,,,,206.0,,,
2021-03-17,CL_BI,,,,,,209.0,,,
2021-03-18,CL_BI,,,,,,209.0,,,
2021-03-19,CL_BI,,,,,,215.0,,,
2021-03-20,CL_BI,,,,,,212.0,,,
2021-03-21,CL_BI,,,,,,213.0,,,
2021-03-22,CL_BI,,,,,,215.0,,,
2021-03-23,CL_BI,,,,,,210.0,,,
2021-03-24,CL_BI,,,,,,216.0,,,
2021-03-25,CL_BI,,,,,,211.0,,,
2021-03-26,CL_BI,,,,,,214.0,,,
2021-03-27,CL_BI,,,,,,219.0,,,
2021-03-28,CL_BI,,,,,,222.0,,,
2021-03-29,CL_BI,,,,,,219.0,,,
2021-03-30,CL_BI,,,,,,218.0,,,
2021-03-31,CL_BI,,,,,,218.0,,,
2021-04-01,CL_BI,,,,,,225.0,,,
2021-04-02,CL_BI,,,,,,228.0,,,
2021-04-03,CL_BI,,,,,,235.0,,,
2021-04-04,CL_BI,,,,,,236.0,,,
2021-04-05,CL_BI,,,,,,233.0,,,
2021-04-06,CL_BI,,,,,,238.0,,,
2021-04-07,CL_BI,,,,,,238.0,,,
2021-04-08,CL_BI,,,,,,240.0,,,
2021-04-09,CL_BI,,,,,,233.0,,,
2021-04-10,CL_BI,,,,,,237.0,,,
2021-04-11,CL_BI,,,,,,236.0,,,
2021-04-12,CL_BI,,,,,,239.0,,,
2021-04-13,CL_BI,,,,,,239.0,,,
2021-04-14,CL_BI,,,,,,237.0,,,
2021-04-15,CL_BI,,,,,,238.0,,,
2021-04-16,CL_BI,,,,,,234.0,,,
2021-04-17,CL_BI,,,,,,232.0,,,
2021-04-18,CL_BI,,,,,,228.0,,,
2021-04-19,CL_BI,,,,,,237.0,,,
2021-04-20,CL_BI,,,,,,238.0,,,
2021-04-21,CL_BI,,,,,,235.0,,,
2021-04-22,CL_BI,,,,,,233.0,,,
2021-04-23,CL_BI,,,,,,232.0,,,
2021-04-24,CL_BI,,,,,,229.0,,,
2021-04-25,CL_BI,,,,,,226.0,,,
2021-04-26,CL_BI,,,,,,224.0,,,
2021-04-27,CL_BI,,,,,,226.0,,,
2021-04-28,CL_BI,,,,,,221.0,,,
2021-04-29,CL_BI,,,,,,213.0,,,
2021-04-30,CL_BI,,,,,,203.0,,,
2021-05-01,CL_BI,,,,,,212.0,,,
2021-05-02,CL_BI,,,,,,209.0,,,
2021-05-03,CL_BI,,,,,,214.0,,,
2021-05-04,CL_BI,,,,,,218.0,,,
2021-05-05,CL_BI,,,,,,210.0,,,
