date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-04-01,CL_RM,,,,,,83.0,,,
2020-04-02,CL_RM,,,,,,90.0,,,
2020-04-03,CL_RM,,,,,,107.0,,,
2020-04-04,CL_RM,,,,,,129.0,,,
2020-04-05,CL_RM,,,,,,146.0,,,
2020-04-06,CL_RM,,,,,,161.0,,,
2020-04-07,CL_RM,,,,,,160.0,,,
2020-04-08,CL_RM,,,,,,174.0,,,
2020-04-09,CL_RM,,,,,,164.0,,,
2020-04-10,CL_RM,,,,,,181.0,,,
2020-04-11,CL_RM,,,,,,178.0,,,
2020-04-12,CL_RM,,,,,,185.0,,,
2020-04-13,CL_RM,,,,,,189.0,,,
2020-04-14,CL_RM,,,,,,190.0,,,
2020-04-15,CL_RM,,,,,,198.0,,,
2020-04-16,CL_RM,,,,,,196.0,,,
2020-04-17,CL_RM,,,,,,202.0,,,
2020-04-18,CL_RM,,,,,,181.0,,,
2020-04-19,CL_RM,,,,,,186.0,,,
2020-04-20,CL_RM,,,,,,194.0,,,
2020-04-21,CL_RM,,,,,,204.0,,,
2020-04-22,CL_RM,,,,,,213.0,,,
2020-04-23,CL_RM,,,,,,234.0,,,
2020-04-24,CL_RM,,,,,,242.0,,,
2020-04-25,CL_RM,,,,,,246.0,,,
2020-04-26,CL_RM,,,,,,248.0,,,
2020-04-27,CL_RM,,,,,,252.0,,,
2020-04-28,CL_RM,,,,,,258.0,,,
2020-04-29,CL_RM,,,,,,256.0,,,
2020-04-30,CL_RM,,,,,,257.0,,,
2020-05-01,CL_RM,,,,,,262.0,,,
2020-05-02,CL_RM,,,,,,269.0,,,
2020-05-03,CL_RM,,,,,,289.0,,,
2020-05-04,CL_RM,,,,,,303.0,,,
2020-05-05,CL_RM,,,,,,314.0,,,
2020-05-06,CL_RM,,,,,,340.0,,,
2020-05-07,CL_RM,,,,,,348.0,,,
2020-05-08,CL_RM,,,,,,366.0,,,
2020-05-09,CL_RM,,,,,,394.0,,,
2020-05-10,CL_RM,,,,,,415.0,,,
2020-05-11,CL_RM,,,,,,421.0,,,
2020-05-12,CL_RM,,,,,,450.0,,,
2020-05-13,CL_RM,,,,,,490.0,,,
2020-05-14,CL_RM,,,,,,509.0,,,
2020-05-15,CL_RM,,,,,,551.0,,,
2020-05-16,CL_RM,,,,,,581.0,,,
2020-05-17,CL_RM,,,,,,595.0,,,
2020-05-18,CL_RM,,,,,,620.0,,,
2020-05-19,CL_RM,,,,,,682.0,,,
2020-05-20,CL_RM,,,,,,705.0,,,
2020-05-21,CL_RM,,,,,,730.0,,,
2020-05-22,CL_RM,,,,,,771.0,,,
2020-05-23,CL_RM,,,,,,832.0,,,
2020-05-24,CL_RM,,,,,,851.0,,,
2020-05-25,CL_RM,,,,,,884.0,,,
2020-05-26,CL_RM,,,,,,927.0,,,
2020-05-27,CL_RM,,,,,,959.0,,,
2020-05-28,CL_RM,,,,,,977.0,,,
2020-05-29,CL_RM,,,,,,1014.0,,,
2020-05-30,CL_RM,,,,,,1022.0,,,
2020-05-31,CL_RM,,,,,,1033.0,,,
2020-06-01,CL_RM,,,,,,1088.0,,,
2020-06-02,CL_RM,,,,,,1090.0,,,
2020-06-03,CL_RM,,,,,,1112.0,,,
2020-06-04,CL_RM,,,,,,1128.0,,,
2020-06-05,CL_RM,,,,,,1147.0,,,
2020-06-06,CL_RM,,,,,,1144.0,,,
2020-06-07,CL_RM,,,,,,1174.0,,,
2020-06-08,CL_RM,,,,,,1182.0,,,
2020-06-09,CL_RM,,,,,,1172.0,,,
2020-06-10,CL_RM,,,,,,1179.0,,,
2020-06-11,CL_RM,,,,,,1185.0,,,
2020-06-12,CL_RM,,,,,,1207.0,,,
2020-06-13,CL_RM,,,,,,1207.0,,,
2020-06-14,CL_RM,,,,,,1257.0,,,
2020-06-15,CL_RM,,,,,,1270.0,,,
2020-06-16,CL_RM,,,,,,1271.0,,,
2020-06-17,CL_RM,,,,,,1329.0,,,
2020-06-18,CL_RM,,,,,,1372.0,,,
2020-06-19,CL_RM,,,,,,1411.0,,,
2020-06-20,CL_RM,,,,,,1437.0,,,
2020-06-21,CL_RM,,,,,,1459.0,,,
2020-06-22,CL_RM,,,,,,1469.0,,,
2020-06-23,CL_RM,,,,,,1467.0,,,
2020-06-24,CL_RM,,,,,,1482.0,,,
2020-06-25,CL_RM,,,,,,1495.0,,,
2020-06-26,CL_RM,,,,,,1479.0,,,
2020-06-27,CL_RM,,,,,,1498.0,,,
2020-06-28,CL_RM,,,,,,1533.0,,,
2020-06-29,CL_RM,,,,,,1496.0,,,
2020-06-30,CL_RM,,,,,,1499.0,,,
2020-07-01,CL_RM,,,,,,1474.0,,,
2020-07-02,CL_RM,,,,,,1493.0,,,
2020-07-03,CL_RM,,,,,,1498.0,,,
2020-07-04,CL_RM,,,,,,1480.0,,,
2020-07-05,CL_RM,,,,,,1485.0,,,
2020-07-06,CL_RM,,,,,,1474.0,,,
2020-07-07,CL_RM,,,,,,1453.0,,,
2020-07-08,CL_RM,,,,,,1449.0,,,
2020-07-09,CL_RM,,,,,,1424.0,,,
2020-07-10,CL_RM,,,,,,1422.0,,,
2020-07-11,CL_RM,,,,,,1424.0,,,
2020-07-12,CL_RM,,,,,,1429.0,,,
2020-07-13,CL_RM,,,,,,1378.0,,,
2020-07-14,CL_RM,,,,,,1376.0,,,
2020-07-15,CL_RM,,,,,,1336.0,,,
2020-07-16,CL_RM,,,,,,1274.0,,,
2020-07-17,CL_RM,,,,,,1260.0,,,
2020-07-18,CL_RM,,,,,,1240.0,,,
2020-07-19,CL_RM,,,,,,1223.0,,,
2020-07-20,CL_RM,,,,,,1210.0,,,
2020-07-21,CL_RM,,,,,,1185.0,,,
2020-07-22,CL_RM,,,,,,1159.0,,,
2020-07-23,CL_RM,,,,,,1134.0,,,
2020-07-24,CL_RM,,,,,,1109.0,,,
2020-07-25,CL_RM,,,,,,1096.0,,,
2020-07-26,CL_RM,,,,,,1069.0,,,
2020-07-27,CL_RM,,,,,,1040.0,,,
2020-07-28,CL_RM,,,,,,1026.0,,,
2020-07-29,CL_RM,,,,,,1001.0,,,
2020-07-30,CL_RM,,,,,,979.0,,,
2020-07-31,CL_RM,,,,,,953.0,,,
2020-08-01,CL_RM,,,,,,953.0,,,
2020-08-02,CL_RM,,,,,,950.0,,,
2020-08-03,CL_RM,,,,,,945.0,,,
2020-08-04,CL_RM,,,,,,939.0,,,
2020-08-05,CL_RM,,,,,,937.0,,,
2020-08-06,CL_RM,,,,,,899.0,,,
2020-08-07,CL_RM,,,,,,876.0,,,
2020-08-08,CL_RM,,,,,,842.0,,,
2020-08-09,CL_RM,,,,,,821.0,,,
2020-08-10,CL_RM,,,,,,826.0,,,
2020-08-11,CL_RM,,,,,,811.0,,,
2020-08-12,CL_RM,,,,,,801.0,,,
2020-08-13,CL_RM,,,,,,802.0,,,
2020-08-14,CL_RM,,,,,,792.0,,,
2020-08-15,CL_RM,,,,,,741.0,,,
2020-08-16,CL_RM,,,,,,723.0,,,
2020-08-17,CL_RM,,,,,,708.0,,,
2020-08-18,CL_RM,,,,,,693.0,,,
2020-08-19,CL_RM,,,,,,669.0,,,
2020-08-20,CL_RM,,,,,,649.0,,,
2020-08-21,CL_RM,,,,,,631.0,,,
2020-08-22,CL_RM,,,,,,610.0,,,
2020-08-23,CL_RM,,,,,,582.0,,,
2020-08-24,CL_RM,,,,,,572.0,,,
2020-08-25,CL_RM,,,,,,561.0,,,
2020-08-26,CL_RM,,,,,,563.0,,,
2020-08-27,CL_RM,,,,,,569.0,,,
2020-08-28,CL_RM,,,,,,539.0,,,
2020-08-29,CL_RM,,,,,,519.0,,,
2020-08-30,CL_RM,,,,,,518.0,,,
2020-08-31,CL_RM,,,,,,521.0,,,
2020-09-01,CL_RM,,,,,,508.0,,,
2020-09-02,CL_RM,,,,,,494.0,,,
2020-09-03,CL_RM,,,,,,488.0,,,
2020-09-04,CL_RM,,,,,,486.0,,,
2020-09-05,CL_RM,,,,,,466.0,,,
2020-09-06,CL_RM,,,,,,462.0,,,
2020-09-07,CL_RM,,,,,,471.0,,,
2020-09-08,CL_RM,,,,,,468.0,,,
2020-09-09,CL_RM,,,,,,476.0,,,
2020-09-10,CL_RM,,,,,,478.0,,,
2020-09-11,CL_RM,,,,,,437.0,,,
2020-09-12,CL_RM,,,,,,431.0,,,
