date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-04,FR,,,,,,15.0,,,
2020-03-05,FR,,,,,,23.0,,,
2020-03-06,FR,,,,,,39.0,,,
2020-03-07,FR,,,,,,45.0,,,
2020-03-09,FR,,,,,,66.0,,,
2020-03-10,FR,,,,,,86.0,,,
2020-03-11,FR,,,,,,105.0,,,
2020-03-12,FR,,,,,,129.0,,,
2020-03-14,FR,,,,,,300.0,,,
2020-03-15,FR,,,400.0,,,,,,
2020-03-17,FR,,,2579.0,,,699.0,,,
2020-03-18,FR,,,2972.0,,,771.0,,,
2020-03-19,FR,2229.0,2229.0,4073.0,438.0,438.0,1002.0,,,
2020-03-20,FR,1256.0,3485.0,5226.0,242.0,680.0,1297.0,,,
2020-03-21,FR,1540.0,5025.0,5900.0,298.0,978.0,1453.0,,,
2020-03-22,FR,1534.0,6559.0,6954.0,309.0,1287.0,1674.0,,,
2020-03-23,FR,2053.0,8612.0,8673.0,448.0,1735.0,2080.0,,,
2020-03-24,FR,2618.0,11230.0,10163.0,571.0,2306.0,2503.0,,,
2020-03-25,FR,3166.0,14396.0,12072.0,607.0,2913.0,2935.0,,,
2020-03-26,FR,3097.0,17493.0,13879.0,612.0,3525.0,3351.0,,,
2020-03-27,FR,3059.0,20552.0,15701.0,608.0,4133.0,3758.0,,,
2020-03-28,FR,3353.0,23905.0,17580.0,695.0,4828.0,4236.0,,,
2020-03-29,FR,2685.0,26590.0,19311.0,543.0,5371.0,4592.0,,,
2020-03-30,FR,3108.0,29698.0,20946.0,694.0,6065.0,5056.0,,,
2020-03-31,FR,4146.0,33844.0,22672.0,767.0,6832.0,5496.0,,,
2020-04-01,FR,4281.0,38125.0,24543.0,771.0,7603.0,5940.0,,,
2020-04-02,FR,3845.0,41970.0,26131.0,728.0,8331.0,6305.0,,,
2020-04-03,FR,3627.0,45597.0,27302.0,640.0,8971.0,6556.0,,,
2020-04-04,FR,2822.0,48419.0,28003.0,502.0,9473.0,6723.0,,,
2020-04-05,FR,1931.0,50350.0,28747.0,390.0,9863.0,6859.0,,,
2020-04-06,FR,2754.0,53104.0,29569.0,478.0,10341.0,6948.0,,,
2020-04-07,FR,3277.0,56381.0,29871.0,518.0,10859.0,7004.0,,,
2020-04-08,FR,3139.0,59520.0,30217.0,482.0,11341.0,7019.0,,,
2020-04-09,FR,2990.0,62510.0,30608.0,369.0,11710.0,6937.0,,,
2020-04-10,FR,3161.0,65671.0,31108.0,431.0,12141.0,6875.0,,,
2020-04-11,FR,2044.0,67715.0,31159.0,255.0,12396.0,6752.0,,,
2020-04-12,FR,1688.0,69403.0,31665.0,220.0,12616.0,6714.0,,,
2020-04-13,FR,1257.0,70660.0,31952.0,227.0,12843.0,6690.0,,,
2020-04-14,FR,1965.0,72625.0,32131.0,275.0,13118.0,6599.0,,,
2020-04-15,FR,2415.0,75040.0,31623.0,284.0,13402.0,6331.0,,,
2020-04-16,FR,2084.0,77124.0,31172.0,270.0,13672.0,6139.0,,,
2020-04-17,FR,2166.0,79290.0,31061.0,242.0,13914.0,5922.0,,,
2020-04-18,FR,1565.0,80855.0,30515.0,206.0,14120.0,5733.0,,,
2020-04-19,FR,890.0,81745.0,30486.0,137.0,14257.0,5644.0,,,
2020-04-20,FR,1464.0,83209.0,30462.0,208.0,14465.0,5584.0,,,
2020-04-21,FR,1885.0,85094.0,29984.0,190.0,14655.0,5334.0,,,
2020-04-22,FR,1619.0,86713.0,29627.0,183.0,14838.0,5127.0,,,
2020-04-23,FR,1410.0,88123.0,29113.0,178.0,15016.0,4967.0,,,
2020-04-24,FR,1346.0,89469.0,28554.0,155.0,15171.0,4785.0,,,
2020-04-25,FR,999.0,90468.0,28119.0,124.0,15295.0,4641.0,,,
2020-04-26,FR,481.0,90949.0,28114.0,79.0,15374.0,4598.0,,,
2020-04-27,FR,964.0,91913.0,27954.0,125.0,15499.0,4526.0,,,
2020-04-28,FR,1321.0,93234.0,27607.0,153.0,15652.0,4392.0,,,
2020-04-29,FR,1070.0,94304.0,26736.0,110.0,15762.0,4128.0,,,
2020-04-30,FR,1048.0,95352.0,26192.0,121.0,15883.0,3947.0,,,
