date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-18,FR_BRE,,,60.0,,,23.0,,,
2020-03-19,FR_BRE,,,77.0,,,26.0,,,
2020-03-20,FR_BRE,,,94.0,,,25.0,,,
2020-03-21,FR_BRE,,,109.0,,,24.0,,,
2020-03-22,FR_BRE,,,130.0,,,31.0,,,
2020-03-23,FR_BRE,,,132.0,,,30.0,,,
2020-03-24,FR_BRE,,,133.0,,,30.0,,,
2020-03-25,FR_BRE,,,158.0,,,38.0,,,
2020-03-26,FR_BRE,,,202.0,,,45.0,,,
2020-03-27,FR_BRE,,,215.0,,,49.0,,,
2020-03-28,FR_BRE,,,240.0,,,57.0,,,
2020-03-29,FR_BRE,,,268.0,,,57.0,,,
2020-03-30,FR_BRE,,,290.0,,,63.0,,,
2020-03-31,FR_BRE,,,299.0,,,69.0,,,
2020-04-01,FR_BRE,,,342.0,,,79.0,,,
2020-04-02,FR_BRE,,,391.0,,,111.0,,,
2020-04-03,FR_BRE,,,411.0,,,114.0,,,
2020-04-04,FR_BRE,,,408.0,,,112.0,,,
2020-04-05,FR_BRE,,,423.0,,,112.0,,,
2020-04-06,FR_BRE,,,471.0,,,141.0,,,
2020-04-07,FR_BRE,,,461.0,,,133.0,,,
2020-04-08,FR_BRE,,,484.0,,,136.0,,,
2020-04-09,FR_BRE,,,493.0,,,133.0,,,
2020-04-10,FR_BRE,,,490.0,,,127.0,,,
2020-04-11,FR_BRE,,,487.0,,,124.0,,,
2020-04-12,FR_BRE,,,510.0,,,119.0,,,
2020-04-13,FR_BRE,,,510.0,,,118.0,,,
2020-04-14,FR_BRE,,,514.0,,,117.0,,,
2020-04-15,FR_BRE,,,504.0,,,106.0,,,
2020-04-16,FR_BRE,,,484.0,,,102.0,,,
2020-04-17,FR_BRE,,,483.0,,,93.0,,,
2020-04-18,FR_BRE,,,468.0,,,88.0,,,
2020-04-19,FR_BRE,,,461.0,,,86.0,,,
2020-04-20,FR_BRE,,,455.0,,,83.0,,,
2020-04-21,FR_BRE,,,436.0,,,78.0,,,
2020-04-22,FR_BRE,,,430.0,,,74.0,,,
2020-04-23,FR_BRE,,,430.0,,,69.0,,,
2020-04-24,FR_BRE,,,429.0,,,59.0,,,
2020-04-25,FR_BRE,,,412.0,,,59.0,,,
2020-04-26,FR_BRE,,,408.0,,,58.0,,,
2020-04-27,FR_BRE,,,406.0,,,57.0,,,
2020-04-28,FR_BRE,,,393.0,,,52.0,,,
2020-04-29,FR_BRE,,,392.0,,,50.0,,,
2020-04-30,FR_BRE,,,391.0,,,47.0,,,
2020-05-01,FR_BRE,,,373.0,,,44.0,,,
2020-05-02,FR_BRE,,,373.0,,,45.0,,,
2020-05-03,FR_BRE,,,369.0,,,45.0,,,
2020-05-04,FR_BRE,,,365.0,,,45.0,,,
2020-05-05,FR_BRE,,,359.0,,,40.0,,,
2020-05-06,FR_BRE,,,352.0,,,40.0,,,
2020-05-07,FR_BRE,,,339.0,,,41.0,,,
2020-05-08,FR_BRE,,,329.0,,,41.0,,,
2020-05-09,FR_BRE,,,327.0,,,43.0,,,
2020-05-10,FR_BRE,,,327.0,,,43.0,,,
2020-05-11,FR_BRE,,,328.0,,,42.0,,,
2020-05-12,FR_BRE,,,317.0,,,35.0,,,
2020-05-13,FR_BRE,,,289.0,,,32.0,,,
2020-05-14,FR_BRE,,,286.0,,,29.0,,,
2020-05-15,FR_BRE,,,265.0,,,27.0,,,
2020-05-16,FR_BRE,,,264.0,,,29.0,,,
2020-05-17,FR_BRE,,,262.0,,,29.0,,,
2020-05-18,FR_BRE,,,249.0,,,28.0,,,
2020-05-19,FR_BRE,,,238.0,,,24.0,,,
2020-05-20,FR_BRE,,,237.0,,,21.0,,,
2020-05-21,FR_BRE,,,232.0,,,20.0,,,
2020-05-22,FR_BRE,,,236.0,,,20.0,,,
2020-05-23,FR_BRE,,,233.0,,,21.0,,,
2020-05-24,FR_BRE,,,232.0,,,22.0,,,
2020-05-25,FR_BRE,,,229.0,,,23.0,,,
2020-05-26,FR_BRE,,,216.0,,,22.0,,,
2020-05-27,FR_BRE,,,214.0,,,20.0,,,
2020-05-28,FR_BRE,,,206.0,,,20.0,,,
2020-05-29,FR_BRE,,,205.0,,,19.0,,,
2020-05-30,FR_BRE,,,197.0,,,17.0,,,
2020-05-31,FR_BRE,,,198.0,,,17.0,,,
2020-06-01,FR_BRE,,,196.0,,,17.0,,,
2020-06-02,FR_BRE,,,189.0,,,16.0,,,
2020-06-03,FR_BRE,,,178.0,,,14.0,,,
2020-06-04,FR_BRE,,,175.0,,,13.0,,,
2020-06-05,FR_BRE,,,168.0,,,12.0,,,
2020-06-06,FR_BRE,,,165.0,,,12.0,,,
2020-06-07,FR_BRE,,,166.0,,,12.0,,,
2020-06-08,FR_BRE,,,163.0,,,13.0,,,
2020-06-09,FR_BRE,,,160.0,,,11.0,,,
2020-06-10,FR_BRE,,,162.0,,,11.0,,,
2020-06-11,FR_BRE,,,155.0,,,11.0,,,
2020-06-12,FR_BRE,,,150.0,,,11.0,,,
2020-06-13,FR_BRE,,,140.0,,,11.0,,,
2020-06-14,FR_BRE,,,138.0,,,11.0,,,
2020-06-15,FR_BRE,,,139.0,,,10.0,,,
2020-06-16,FR_BRE,,,136.0,,,10.0,,,
2020-06-17,FR_BRE,,,135.0,,,10.0,,,
2020-06-18,FR_BRE,,,129.0,,,8.0,,,
2020-06-19,FR_BRE,,,123.0,,,7.0,,,
2020-06-20,FR_BRE,,,117.0,,,6.0,,,
2020-06-21,FR_BRE,,,117.0,,,6.0,,,
2020-06-22,FR_BRE,,,115.0,,,5.0,,,
2020-06-23,FR_BRE,,,110.0,,,3.0,,,
2020-06-24,FR_BRE,,,107.0,,,3.0,,,
2020-06-25,FR_BRE,,,101.0,,,3.0,,,
2020-06-26,FR_BRE,,,97.0,,,3.0,,,
2020-06-27,FR_BRE,,,96.0,,,3.0,,,
2020-06-28,FR_BRE,,,96.0,,,3.0,,,
2020-06-29,FR_BRE,,,94.0,,,3.0,,,
2020-06-30,FR_BRE,,,93.0,,,3.0,,,
2020-07-01,FR_BRE,,,90.0,,,3.0,,,
2020-07-02,FR_BRE,,,84.0,,,2.0,,,
2020-07-03,FR_BRE,,,81.0,,,2.0,,,
2020-07-04,FR_BRE,,,81.0,,,2.0,,,
2020-07-05,FR_BRE,,,81.0,,,2.0,,,
2020-07-06,FR_BRE,,,77.0,,,2.0,,,
2020-07-07,FR_BRE,,,77.0,,,2.0,,,
2020-07-08,FR_BRE,,,78.0,,,2.0,,,
2020-07-09,FR_BRE,,,77.0,,,2.0,,,
2020-07-10,FR_BRE,,,76.0,,,2.0,,,
2020-07-11,FR_BRE,,,71.0,,,2.0,,,
2020-07-12,FR_BRE,,,72.0,,,3.0,,,
2020-07-13,FR_BRE,,,72.0,,,3.0,,,
2020-07-14,FR_BRE,,,74.0,,,3.0,,,
2020-07-15,FR_BRE,,,76.0,,,3.0,,,
2020-07-16,FR_BRE,,,72.0,,,3.0,,,
2020-07-17,FR_BRE,,,74.0,,,4.0,,,
2020-07-18,FR_BRE,,,72.0,,,3.0,,,
2020-07-19,FR_BRE,,,72.0,,,3.0,,,
2020-07-20,FR_BRE,,,74.0,,,2.0,,,
2020-07-21,FR_BRE,,,75.0,,,3.0,,,
2020-07-22,FR_BRE,,,76.0,,,3.0,,,
2020-07-23,FR_BRE,,,69.0,,,3.0,,,
2020-07-24,FR_BRE,,,68.0,,,3.0,,,
2020-07-25,FR_BRE,,,68.0,,,3.0,,,
2020-07-26,FR_BRE,,,68.0,,,3.0,,,
2020-07-27,FR_BRE,,,65.0,,,4.0,,,
2020-07-28,FR_BRE,,,61.0,,,4.0,,,
2020-07-29,FR_BRE,,,61.0,,,4.0,,,
2020-07-30,FR_BRE,,,63.0,,,4.0,,,
2020-07-31,FR_BRE,,,57.0,,,3.0,,,
2020-08-01,FR_BRE,,,56.0,,,3.0,,,
2020-08-02,FR_BRE,,,56.0,,,3.0,,,
2020-08-03,FR_BRE,,,58.0,,,8.0,,,
2020-08-04,FR_BRE,,,64.0,,,10.0,,,
2020-08-05,FR_BRE,,,62.0,,,7.0,,,
2020-08-06,FR_BRE,,,60.0,,,7.0,,,
2020-08-07,FR_BRE,,,60.0,,,6.0,,,
2020-08-08,FR_BRE,,,60.0,,,6.0,,,
2020-08-09,FR_BRE,,,60.0,,,6.0,,,
2020-08-10,FR_BRE,,,58.0,,,5.0,,,
2020-08-11,FR_BRE,,,61.0,,,4.0,,,
2020-08-12,FR_BRE,,,64.0,,,4.0,,,
2020-08-13,FR_BRE,,,64.0,,,4.0,,,
2020-08-14,FR_BRE,,,63.0,,,4.0,,,
2020-08-15,FR_BRE,,,63.0,,,4.0,,,
2020-08-16,FR_BRE,,,63.0,,,4.0,,,
2020-08-17,FR_BRE,,,62.0,,,6.0,,,
2020-08-18,FR_BRE,,,62.0,,,6.0,,,
2020-08-19,FR_BRE,,,64.0,,,4.0,,,
2020-08-20,FR_BRE,,,62.0,,,4.0,,,
2020-08-21,FR_BRE,,,65.0,,,5.0,,,
2020-08-22,FR_BRE,,,66.0,,,5.0,,,
2020-08-23,FR_BRE,,,66.0,,,5.0,,,
2020-08-24,FR_BRE,,,64.0,,,6.0,,,
2020-08-25,FR_BRE,,,62.0,,,6.0,,,
2020-08-26,FR_BRE,,,61.0,,,6.0,,,
2020-08-27,FR_BRE,,,64.0,,,6.0,,,
2020-08-28,FR_BRE,,,65.0,,,6.0,,,
2020-08-29,FR_BRE,,,63.0,,,6.0,,,
2020-08-30,FR_BRE,,,64.0,,,6.0,,,
2020-08-31,FR_BRE,,,63.0,,,5.0,,,
2020-09-01,FR_BRE,,,65.0,,,6.0,,,
2020-09-02,FR_BRE,,,65.0,,,5.0,,,
2020-09-03,FR_BRE,,,62.0,,,6.0,,,
2020-09-04,FR_BRE,,,62.0,,,6.0,,,
2020-09-05,FR_BRE,,,63.0,,,6.0,,,
2020-09-06,FR_BRE,,,61.0,,,6.0,,,
2020-09-07,FR_BRE,,,62.0,,,6.0,,,
2020-09-08,FR_BRE,,,66.0,,,8.0,,,
2020-09-09,FR_BRE,,,69.0,,,8.0,,,
2020-09-10,FR_BRE,,,80.0,,,7.0,,,
2020-09-11,FR_BRE,,,98.0,,,7.0,,,
2020-09-12,FR_BRE,,,104.0,,,8.0,,,
2020-09-13,FR_BRE,,,108.0,,,8.0,,,
2020-09-14,FR_BRE,,,114.0,,,10.0,,,
2020-09-15,FR_BRE,,,116.0,,,12.0,,,
2020-09-16,FR_BRE,,,126.0,,,12.0,,,
2020-09-17,FR_BRE,,,132.0,,,13.0,,,
2020-09-18,FR_BRE,,,140.0,,,8.0,,,
2020-09-19,FR_BRE,,,155.0,,,9.0,,,
2020-09-20,FR_BRE,,,157.0,,,9.0,,,
2020-09-21,FR_BRE,,,165.0,,,11.0,,,
2020-09-22,FR_BRE,,,161.0,,,9.0,,,
2020-09-23,FR_BRE,,,172.0,,,11.0,,,
2020-09-24,FR_BRE,,,178.0,,,14.0,,,
2020-09-25,FR_BRE,,,181.0,,,13.0,,,
2020-09-26,FR_BRE,,,184.0,,,13.0,,,
2020-09-27,FR_BRE,,,188.0,,,14.0,,,
2020-09-28,FR_BRE,,,193.0,,,16.0,,,
2020-09-29,FR_BRE,,,190.0,,,13.0,,,
2020-09-30,FR_BRE,,,191.0,,,17.0,,,
2020-10-01,FR_BRE,,,190.0,,,19.0,,,
2020-10-02,FR_BRE,,,183.0,,,18.0,,,
2020-10-03,FR_BRE,,,177.0,,,20.0,,,
2020-10-04,FR_BRE,,,171.0,,,18.0,,,
2020-10-05,FR_BRE,,,183.0,,,20.0,,,
2020-10-06,FR_BRE,,,187.0,,,21.0,,,
2020-10-07,FR_BRE,,,185.0,,,18.0,,,
2020-10-08,FR_BRE,,,185.0,,,19.0,,,
2020-10-09,FR_BRE,,,184.0,,,18.0,,,
2020-10-10,FR_BRE,,,183.0,,,18.0,,,
2020-10-11,FR_BRE,,,192.0,,,19.0,,,
2020-10-12,FR_BRE,,,207.0,,,24.0,,,
2020-10-13,FR_BRE,,,193.0,,,22.0,,,
2020-10-14,FR_BRE,,,200.0,,,23.0,,,
2020-10-15,FR_BRE,,,201.0,,,25.0,,,
2020-10-16,FR_BRE,,,206.0,,,25.0,,,
