date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-18,FR_NAQ,,,41.0,,,12.0,,,
2020-03-19,FR_NAQ,,,52.0,,,11.0,,,
2020-03-20,FR_NAQ,,,65.0,,,15.0,,,
2020-03-21,FR_NAQ,,,107.0,,,28.0,,,
2020-03-22,FR_NAQ,,,146.0,,,40.0,,,
2020-03-23,FR_NAQ,,,196.0,,,47.0,,,
2020-03-24,FR_NAQ,,,263.0,,,69.0,,,
2020-03-25,FR_NAQ,,,340.0,,,75.0,,,
2020-03-26,FR_NAQ,,,399.0,,,96.0,,,
2020-03-27,FR_NAQ,,,482.0,,,116.0,,,
2020-03-28,FR_NAQ,,,490.0,,,127.0,,,
2020-03-29,FR_NAQ,,,558.0,,,160.0,,,
2020-03-30,FR_NAQ,,,658.0,,,182.0,,,
2020-03-31,FR_NAQ,,,672.0,,,202.0,,,
2020-04-01,FR_NAQ,,,700.0,,,215.0,,,
2020-04-02,FR_NAQ,,,705.0,,,221.0,,,
2020-04-03,FR_NAQ,,,735.0,,,225.0,,,
2020-04-04,FR_NAQ,,,749.0,,,239.0,,,
2020-04-05,FR_NAQ,,,762.0,,,243.0,,,
2020-04-06,FR_NAQ,,,783.0,,,247.0,,,
2020-04-07,FR_NAQ,,,792.0,,,243.0,,,
2020-04-08,FR_NAQ,,,797.0,,,242.0,,,
2020-04-09,FR_NAQ,,,792.0,,,241.0,,,
2020-04-10,FR_NAQ,,,775.0,,,229.0,,,
2020-04-11,FR_NAQ,,,815.0,,,264.0,,,
2020-04-12,FR_NAQ,,,832.0,,,257.0,,,
2020-04-13,FR_NAQ,,,857.0,,,259.0,,,
2020-04-14,FR_NAQ,,,866.0,,,251.0,,,
2020-04-15,FR_NAQ,,,828.0,,,236.0,,,
2020-04-16,FR_NAQ,,,812.0,,,220.0,,,
2020-04-17,FR_NAQ,,,830.0,,,203.0,,,
2020-04-18,FR_NAQ,,,812.0,,,193.0,,,
2020-04-19,FR_NAQ,,,825.0,,,196.0,,,
2020-04-20,FR_NAQ,,,838.0,,,191.0,,,
2020-04-21,FR_NAQ,,,823.0,,,182.0,,,
2020-04-22,FR_NAQ,,,800.0,,,161.0,,,
2020-04-23,FR_NAQ,,,769.0,,,156.0,,,
2020-04-24,FR_NAQ,,,727.0,,,144.0,,,
2020-04-25,FR_NAQ,,,707.0,,,133.0,,,
2020-04-26,FR_NAQ,,,710.0,,,134.0,,,
2020-04-27,FR_NAQ,,,721.0,,,128.0,,,
2020-04-28,FR_NAQ,,,716.0,,,126.0,,,
2020-04-29,FR_NAQ,,,663.0,,,117.0,,,
2020-04-30,FR_NAQ,,,615.0,,,111.0,,,
2020-05-01,FR_NAQ,,,595.0,,,111.0,,,
2020-05-02,FR_NAQ,,,592.0,,,109.0,,,
2020-05-03,FR_NAQ,,,592.0,,,109.0,,,
2020-05-04,FR_NAQ,,,583.0,,,103.0,,,
2020-05-05,FR_NAQ,,,567.0,,,102.0,,,
2020-05-06,FR_NAQ,,,535.0,,,92.0,,,
2020-05-07,FR_NAQ,,,521.0,,,85.0,,,
2020-05-08,FR_NAQ,,,499.0,,,84.0,,,
2020-05-09,FR_NAQ,,,499.0,,,85.0,,,
2020-05-10,FR_NAQ,,,493.0,,,85.0,,,
2020-05-11,FR_NAQ,,,487.0,,,84.0,,,
2020-05-12,FR_NAQ,,,458.0,,,75.0,,,
2020-05-13,FR_NAQ,,,463.0,,,73.0,,,
2020-05-14,FR_NAQ,,,454.0,,,68.0,,,
2020-05-15,FR_NAQ,,,440.0,,,66.0,,,
2020-05-16,FR_NAQ,,,433.0,,,64.0,,,
2020-05-17,FR_NAQ,,,428.0,,,63.0,,,
2020-05-18,FR_NAQ,,,423.0,,,62.0,,,
2020-05-19,FR_NAQ,,,412.0,,,64.0,,,
2020-05-20,FR_NAQ,,,391.0,,,58.0,,,
2020-05-21,FR_NAQ,,,382.0,,,56.0,,,
2020-05-22,FR_NAQ,,,374.0,,,57.0,,,
2020-05-23,FR_NAQ,,,374.0,,,56.0,,,
2020-05-24,FR_NAQ,,,378.0,,,57.0,,,
2020-05-25,FR_NAQ,,,359.0,,,54.0,,,
2020-05-26,FR_NAQ,,,348.0,,,48.0,,,
