date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-18,FR_NOR,,,45.0,,,4.0,,,
2020-03-19,FR_NOR,,,46.0,,,6.0,,,
2020-03-20,FR_NOR,,,71.0,,,13.0,,,
2020-03-21,FR_NOR,,,92.0,,,21.0,,,
2020-03-22,FR_NOR,,,118.0,,,25.0,,,
2020-03-23,FR_NOR,,,148.0,,,33.0,,,
2020-03-24,FR_NOR,,,170.0,,,40.0,,,
2020-03-25,FR_NOR,,,225.0,,,56.0,,,
2020-03-26,FR_NOR,,,273.0,,,75.0,,,
2020-03-27,FR_NOR,,,313.0,,,93.0,,,
2020-03-28,FR_NOR,,,385.0,,,111.0,,,
2020-03-29,FR_NOR,,,455.0,,,122.0,,,
2020-03-30,FR_NOR,,,479.0,,,137.0,,,
2020-03-31,FR_NOR,,,535.0,,,161.0,,,
2020-04-01,FR_NOR,,,563.0,,,164.0,,,
2020-04-02,FR_NOR,,,630.0,,,185.0,,,
2020-04-03,FR_NOR,,,650.0,,,197.0,,,
2020-04-04,FR_NOR,,,677.0,,,209.0,,,
2020-04-05,FR_NOR,,,710.0,,,217.0,,,
2020-04-06,FR_NOR,,,712.0,,,223.0,,,
2020-04-07,FR_NOR,,,713.0,,,225.0,,,
2020-04-08,FR_NOR,,,680.0,,,213.0,,,
2020-04-09,FR_NOR,,,697.0,,,212.0,,,
2020-04-10,FR_NOR,,,741.0,,,210.0,,,
2020-04-11,FR_NOR,,,726.0,,,202.0,,,
2020-04-12,FR_NOR,,,716.0,,,186.0,,,
2020-04-13,FR_NOR,,,713.0,,,189.0,,,
2020-04-14,FR_NOR,,,705.0,,,177.0,,,
2020-04-15,FR_NOR,,,686.0,,,167.0,,,
2020-04-16,FR_NOR,,,674.0,,,166.0,,,
2020-04-17,FR_NOR,,,660.0,,,152.0,,,
2020-04-18,FR_NOR,,,657.0,,,146.0,,,
2020-04-19,FR_NOR,,,666.0,,,149.0,,,
2020-04-20,FR_NOR,,,663.0,,,143.0,,,
2020-04-21,FR_NOR,,,650.0,,,137.0,,,
2020-04-22,FR_NOR,,,625.0,,,133.0,,,
2020-04-23,FR_NOR,,,614.0,,,131.0,,,
2020-04-24,FR_NOR,,,612.0,,,121.0,,,
