date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-18,FR_OCC,,,95.0,,,39.0,,,
2020-03-19,FR_OCC,,,138.0,,,55.0,,,
2020-03-20,FR_OCC,,,183.0,,,66.0,,,
2020-03-21,FR_OCC,,,209.0,,,70.0,,,
2020-03-22,FR_OCC,,,262.0,,,78.0,,,
2020-03-23,FR_OCC,,,331.0,,,101.0,,,
2020-03-24,FR_OCC,,,382.0,,,125.0,,,
2020-03-25,FR_OCC,,,469.0,,,147.0,,,
2020-03-26,FR_OCC,,,551.0,,,177.0,,,
2020-03-27,FR_OCC,,,618.0,,,187.0,,,
2020-03-28,FR_OCC,,,706.0,,,212.0,,,
2020-03-29,FR_OCC,,,796.0,,,227.0,,,
2020-03-30,FR_OCC,,,854.0,,,267.0,,,
2020-03-31,FR_OCC,,,874.0,,,276.0,,,
2020-04-01,FR_OCC,,,926.0,,,304.0,,,
2020-04-02,FR_OCC,,,976.0,,,321.0,,,
2020-04-03,FR_OCC,,,1007.0,,,322.0,,,
2020-04-04,FR_OCC,,,997.0,,,328.0,,,
2020-04-05,FR_OCC,,,1024.0,,,321.0,,,
2020-04-06,FR_OCC,,,1047.0,,,333.0,,,
2020-04-07,FR_OCC,,,1031.0,,,336.0,,,
2020-04-08,FR_OCC,,,1000.0,,,329.0,,,
2020-04-09,FR_OCC,,,992.0,,,328.0,,,
2020-04-10,FR_OCC,,,958.0,,,314.0,,,
2020-04-11,FR_OCC,,,918.0,,,295.0,,,
2020-04-12,FR_OCC,,,954.0,,,294.0,,,
2020-04-13,FR_OCC,,,974.0,,,291.0,,,
2020-04-14,FR_OCC,,,962.0,,,279.0,,,
2020-04-15,FR_OCC,,,913.0,,,265.0,,,
2020-04-16,FR_OCC,,,870.0,,,256.0,,,
2020-04-17,FR_OCC,,,866.0,,,243.0,,,
2020-04-18,FR_OCC,,,860.0,,,240.0,,,
2020-04-19,FR_OCC,,,877.0,,,245.0,,,
2020-04-20,FR_OCC,,,893.0,,,234.0,,,
2020-04-21,FR_OCC,,,877.0,,,221.0,,,
2020-04-22,FR_OCC,,,857.0,,,211.0,,,
2020-04-23,FR_OCC,,,804.0,,,197.0,,,
2020-04-24,FR_OCC,,,742.0,,,186.0,,,
2020-04-25,FR_OCC,,,724.0,,,172.0,,,
2020-04-26,FR_OCC,,,728.0,,,168.0,,,
2020-04-27,FR_OCC,,,730.0,,,165.0,,,
2020-04-28,FR_OCC,,,703.0,,,159.0,,,
2020-04-29,FR_OCC,,,665.0,,,147.0,,,
2020-04-30,FR_OCC,,,636.0,,,142.0,,,
2020-05-01,FR_OCC,,,610.0,,,142.0,,,
2020-05-02,FR_OCC,,,603.0,,,137.0,,,
2020-05-03,FR_OCC,,,610.0,,,135.0,,,
2020-05-04,FR_OCC,,,572.0,,,126.0,,,
2020-05-05,FR_OCC,,,536.0,,,118.0,,,
2020-05-06,FR_OCC,,,499.0,,,112.0,,,
2020-05-07,FR_OCC,,,466.0,,,103.0,,,
2020-05-08,FR_OCC,,,440.0,,,107.0,,,
2020-05-09,FR_OCC,,,438.0,,,108.0,,,
2020-05-10,FR_OCC,,,440.0,,,108.0,,,
2020-05-11,FR_OCC,,,434.0,,,105.0,,,
2020-05-12,FR_OCC,,,407.0,,,94.0,,,
2020-05-13,FR_OCC,,,406.0,,,97.0,,,
2020-05-14,FR_OCC,,,376.0,,,88.0,,,
2020-05-15,FR_OCC,,,354.0,,,83.0,,,
2020-05-16,FR_OCC,,,349.0,,,80.0,,,
2020-05-17,FR_OCC,,,348.0,,,80.0,,,
2020-05-18,FR_OCC,,,327.0,,,81.0,,,
2020-05-19,FR_OCC,,,314.0,,,76.0,,,
2020-05-20,FR_OCC,,,298.0,,,67.0,,,
2020-05-21,FR_OCC,,,292.0,,,65.0,,,
2020-05-22,FR_OCC,,,297.0,,,62.0,,,
2020-05-23,FR_OCC,,,291.0,,,60.0,,,
2020-05-24,FR_OCC,,,293.0,,,60.0,,,
2020-05-25,FR_OCC,,,283.0,,,56.0,,,
2020-05-26,FR_OCC,,,274.0,,,55.0,,,
2020-05-27,FR_OCC,,,270.0,,,55.0,,,
2020-05-28,FR_OCC,,,253.0,,,50.0,,,
2020-05-29,FR_OCC,,,250.0,,,47.0,,,
2020-05-30,FR_OCC,,,243.0,,,45.0,,,
2020-05-31,FR_OCC,,,237.0,,,44.0,,,
2020-06-01,FR_OCC,,,238.0,,,43.0,,,
2020-06-02,FR_OCC,,,240.0,,,38.0,,,
2020-06-03,FR_OCC,,,222.0,,,37.0,,,
