date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-18,FR_PAC,,,166.0,,,24.0,,,
2020-03-19,FR_PAC,,,213.0,,,44.0,,,
2020-03-20,FR_PAC,,,281.0,,,55.0,,,
2020-03-21,FR_PAC,,,326.0,,,66.0,,,
2020-03-22,FR_PAC,,,388.0,,,78.0,,,
2020-03-23,FR_PAC,,,481.0,,,112.0,,,
2020-03-24,FR_PAC,,,545.0,,,133.0,,,
2020-03-25,FR_PAC,,,608.0,,,143.0,,,
2020-03-26,FR_PAC,,,695.0,,,164.0,,,
2020-03-27,FR_PAC,,,823.0,,,186.0,,,
2020-03-28,FR_PAC,,,934.0,,,208.0,,,
2020-03-29,FR_PAC,,,1073.0,,,243.0,,,
2020-03-30,FR_PAC,,,1220.0,,,287.0,,,
2020-03-31,FR_PAC,,,1296.0,,,311.0,,,
2020-04-01,FR_PAC,,,1357.0,,,332.0,,,
2020-04-02,FR_PAC,,,1492.0,,,370.0,,,
2020-04-03,FR_PAC,,,1593.0,,,397.0,,,
2020-04-04,FR_PAC,,,1641.0,,,417.0,,,
2020-04-05,FR_PAC,,,1722.0,,,435.0,,,
2020-04-06,FR_PAC,,,1827.0,,,440.0,,,
2020-04-07,FR_PAC,,,1738.0,,,434.0,,,
2020-04-08,FR_PAC,,,1796.0,,,437.0,,,
2020-04-09,FR_PAC,,,1748.0,,,426.0,,,
2020-04-10,FR_PAC,,,1804.0,,,441.0,,,
2020-04-11,FR_PAC,,,1766.0,,,436.0,,,
2020-04-12,FR_PAC,,,1830.0,,,438.0,,,
2020-04-13,FR_PAC,,,1859.0,,,437.0,,,
2020-04-14,FR_PAC,,,1894.0,,,422.0,,,
2020-04-15,FR_PAC,,,1909.0,,,403.0,,,
2020-04-16,FR_PAC,,,1883.0,,,393.0,,,
2020-04-17,FR_PAC,,,1889.0,,,378.0,,,
2020-04-18,FR_PAC,,,1846.0,,,364.0,,,
2020-04-19,FR_PAC,,,1776.0,,,348.0,,,
2020-04-20,FR_PAC,,,1786.0,,,355.0,,,
2020-04-21,FR_PAC,,,1781.0,,,334.0,,,
2020-04-22,FR_PAC,,,1799.0,,,326.0,,,
2020-04-23,FR_PAC,,,1783.0,,,314.0,,,
2020-04-24,FR_PAC,,,1746.0,,,303.0,,,
