date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-18,FR_PDL,,,44.0,,,4.0,,,
2020-03-19,FR_PDL,,,58.0,,,11.0,,,
2020-03-20,FR_PDL,,,73.0,,,17.0,,,
2020-03-21,FR_PDL,,,80.0,,,21.0,,,
2020-03-22,FR_PDL,,,99.0,,,25.0,,,
2020-03-23,FR_PDL,,,147.0,,,35.0,,,
2020-03-24,FR_PDL,,,187.0,,,43.0,,,
2020-03-25,FR_PDL,,,236.0,,,49.0,,,
2020-03-26,FR_PDL,,,282.0,,,59.0,,,
2020-03-27,FR_PDL,,,371.0,,,84.0,,,
2020-03-28,FR_PDL,,,441.0,,,103.0,,,
2020-03-29,FR_PDL,,,499.0,,,107.0,,,
2020-03-30,FR_PDL,,,512.0,,,116.0,,,
2020-03-31,FR_PDL,,,510.0,,,132.0,,,
2020-04-01,FR_PDL,,,549.0,,,133.0,,,
2020-04-02,FR_PDL,,,571.0,,,141.0,,,
2020-04-03,FR_PDL,,,608.0,,,169.0,,,
2020-04-04,FR_PDL,,,649.0,,,175.0,,,
2020-04-05,FR_PDL,,,667.0,,,181.0,,,
2020-04-06,FR_PDL,,,685.0,,,182.0,,,
2020-04-07,FR_PDL,,,694.0,,,176.0,,,
2020-04-08,FR_PDL,,,700.0,,,178.0,,,
2020-04-09,FR_PDL,,,741.0,,,176.0,,,
2020-04-10,FR_PDL,,,772.0,,,180.0,,,
2020-04-11,FR_PDL,,,778.0,,,164.0,,,
2020-04-12,FR_PDL,,,810.0,,,167.0,,,
2020-04-13,FR_PDL,,,823.0,,,162.0,,,
2020-04-14,FR_PDL,,,820.0,,,155.0,,,
2020-04-15,FR_PDL,,,794.0,,,145.0,,,
2020-04-16,FR_PDL,,,799.0,,,136.0,,,
2020-04-17,FR_PDL,,,802.0,,,131.0,,,
2020-04-18,FR_PDL,,,787.0,,,125.0,,,
2020-04-19,FR_PDL,,,787.0,,,121.0,,,
2020-04-20,FR_PDL,,,775.0,,,123.0,,,
2020-04-21,FR_PDL,,,760.0,,,115.0,,,
2020-04-22,FR_PDL,,,747.0,,,107.0,,,
2020-04-23,FR_PDL,,,747.0,,,105.0,,,
2020-04-24,FR_PDL,,,722.0,,,100.0,,,
2020-04-25,FR_PDL,,,717.0,,,100.0,,,
2020-04-26,FR_PDL,,,711.0,,,98.0,,,
2020-04-27,FR_PDL,,,705.0,,,98.0,,,
2020-04-28,FR_PDL,,,701.0,,,94.0,,,
2020-04-29,FR_PDL,,,650.0,,,80.0,,,
2020-04-30,FR_PDL,,,629.0,,,73.0,,,
2020-05-01,FR_PDL,,,622.0,,,69.0,,,
2020-05-02,FR_PDL,,,624.0,,,70.0,,,
2020-05-03,FR_PDL,,,629.0,,,70.0,,,
2020-05-04,FR_PDL,,,623.0,,,67.0,,,
2020-05-05,FR_PDL,,,613.0,,,67.0,,,
2020-05-06,FR_PDL,,,602.0,,,64.0,,,
2020-05-07,FR_PDL,,,591.0,,,58.0,,,
2020-05-08,FR_PDL,,,580.0,,,56.0,,,
2020-05-09,FR_PDL,,,568.0,,,54.0,,,
2020-05-10,FR_PDL,,,572.0,,,53.0,,,
2020-05-11,FR_PDL,,,568.0,,,54.0,,,
2020-05-12,FR_PDL,,,552.0,,,50.0,,,
2020-05-13,FR_PDL,,,544.0,,,48.0,,,
2020-05-14,FR_PDL,,,526.0,,,42.0,,,
2020-05-15,FR_PDL,,,509.0,,,42.0,,,
2020-05-16,FR_PDL,,,497.0,,,39.0,,,
2020-05-17,FR_PDL,,,500.0,,,39.0,,,
2020-05-18,FR_PDL,,,489.0,,,39.0,,,
2020-05-19,FR_PDL,,,478.0,,,41.0,,,
2020-05-20,FR_PDL,,,462.0,,,36.0,,,
2020-05-21,FR_PDL,,,451.0,,,33.0,,,
2020-05-22,FR_PDL,,,452.0,,,32.0,,,
2020-05-23,FR_PDL,,,440.0,,,30.0,,,
2020-05-24,FR_PDL,,,444.0,,,30.0,,,
2020-05-25,FR_PDL,,,441.0,,,31.0,,,
2020-05-26,FR_PDL,,,431.0,,,29.0,,,
2020-05-27,FR_PDL,,,417.0,,,25.0,,,
2020-05-28,FR_PDL,,,408.0,,,22.0,,,
2020-05-29,FR_PDL,,,399.0,,,21.0,,,
2020-05-30,FR_PDL,,,388.0,,,20.0,,,
2020-05-31,FR_PDL,,,385.0,,,19.0,,,
2020-06-01,FR_PDL,,,385.0,,,20.0,,,
2020-06-02,FR_PDL,,,376.0,,,21.0,,,
2020-06-03,FR_PDL,,,353.0,,,19.0,,,
2020-06-04,FR_PDL,,,333.0,,,19.0,,,
2020-06-05,FR_PDL,,,321.0,,,18.0,,,
2020-06-06,FR_PDL,,,311.0,,,17.0,,,
2020-06-07,FR_PDL,,,310.0,,,17.0,,,
2020-06-08,FR_PDL,,,311.0,,,18.0,,,
2020-06-09,FR_PDL,,,295.0,,,14.0,,,
2020-06-10,FR_PDL,,,288.0,,,14.0,,,
2020-06-11,FR_PDL,,,279.0,,,14.0,,,
2020-06-12,FR_PDL,,,266.0,,,13.0,,,
2020-06-13,FR_PDL,,,267.0,,,14.0,,,
2020-06-14,FR_PDL,,,267.0,,,14.0,,,
2020-06-15,FR_PDL,,,265.0,,,13.0,,,
2020-06-16,FR_PDL,,,262.0,,,11.0,,,
2020-06-17,FR_PDL,,,237.0,,,13.0,,,
2020-06-18,FR_PDL,,,228.0,,,11.0,,,
