date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-01,GB_NIR,,,11.0,,,,,,
2020-03-02,GB_NIR,1.0,1.0,12.0,,,,,,
2020-03-03,GB_NIR,0.0,1.0,12.0,,,,,,
2020-03-04,GB_NIR,0.0,1.0,12.0,,,,,,
2020-03-05,GB_NIR,1.0,2.0,13.0,,,,,,
2020-03-06,GB_NIR,3.0,5.0,16.0,,,,,,
2020-03-07,GB_NIR,0.0,5.0,16.0,,,,,,
2020-03-08,GB_NIR,0.0,5.0,16.0,,,,,,
2020-03-09,GB_NIR,1.0,6.0,17.0,,,,,,
2020-03-10,GB_NIR,4.0,10.0,21.0,,,,,,
2020-03-11,GB_NIR,4.0,14.0,25.0,,,,,,
2020-03-12,GB_NIR,3.0,17.0,28.0,,,,,,
2020-03-13,GB_NIR,2.0,19.0,29.0,,,,,,
2020-03-14,GB_NIR,2.0,21.0,31.0,,,,,,
2020-03-15,GB_NIR,1.0,22.0,31.0,,,,,,
2020-03-16,GB_NIR,4.0,26.0,35.0,,,,,,
2020-03-17,GB_NIR,5.0,31.0,37.0,,,,,,
2020-03-18,GB_NIR,8.0,39.0,43.0,,,,,,
2020-03-19,GB_NIR,5.0,44.0,44.0,,,,,,
2020-03-20,GB_NIR,11.0,55.0,55.0,,,,,,
2020-03-21,GB_NIR,15.0,70.0,69.0,,,,,,
2020-03-22,GB_NIR,10.0,80.0,76.0,,,,,,
2020-03-23,GB_NIR,18.0,98.0,86.0,,,,,,6.0
2020-03-24,GB_NIR,15.0,113.0,94.0,,,,,,2.0
2020-03-25,GB_NIR,29.0,142.0,116.0,,,,,,10.0
2020-03-26,GB_NIR,28.0,170.0,140.0,,,,,,10.0
2020-03-27,GB_NIR,30.0,200.0,158.0,,,,,,15.0
2020-03-28,GB_NIR,37.0,237.0,188.0,,,,,,19.0
2020-03-29,GB_NIR,34.0,271.0,207.0,,,,,,26.0
2020-03-30,GB_NIR,35.0,306.0,227.0,,,,,,25.0
2020-03-31,GB_NIR,43.0,349.0,252.0,,,,,,32.0
2020-04-01,GB_NIR,45.0,394.0,280.0,,,,,,46.0
2020-04-02,GB_NIR,44.0,438.0,305.0,,,,,,47.0
2020-04-03,GB_NIR,44.0,482.0,306.0,,,,,,46.0
2020-04-04,GB_NIR,41.0,523.0,329.0,,,,,,45.0
2020-04-05,GB_NIR,29.0,552.0,329.0,,,,,,44.0
2020-04-06,GB_NIR,42.0,594.0,345.0,,,,,,44.0
2020-04-07,GB_NIR,39.0,633.0,353.0,,,,,,49.0
