date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-24,IT_75,,,0.0,,,0.0,,,
2020-02-25,IT_75,,,0.0,,,0.0,,,
2020-02-26,IT_75,,,0.0,,,0.0,,,
2020-02-27,IT_75,,,1.0,,,0.0,,,
2020-02-28,IT_75,,,1.0,,,0.0,,,
2020-02-29,IT_75,,,1.0,,,0.0,,,
2020-03-01,IT_75,,,1.0,,,0.0,,,
2020-03-02,IT_75,,,2.0,,,0.0,,,
2020-03-03,IT_75,,,2.0,,,0.0,,,
2020-03-04,IT_75,,,4.0,,,0.0,,,
2020-03-05,IT_75,,,6.0,,,1.0,,,
2020-03-06,IT_75,,,6.0,,,1.0,,,
2020-03-07,IT_75,,,11.0,,,2.0,,,
2020-03-08,IT_75,,,20.0,,,3.0,,,
2020-03-09,IT_75,,,26.0,,,6.0,,,
2020-03-10,IT_75,,,34.0,,,6.0,,,
2020-03-11,IT_75,,,42.0,,,4.0,,,
2020-03-12,IT_75,,,60.0,,,2.0,,,
2020-03-13,IT_75,,,79.0,,,2.0,,,
2020-03-14,IT_75,,,97.0,,,6.0,,,
2020-03-15,IT_75,,,122.0,,,6.0,,,
2020-03-16,IT_75,,,122.0,,,6.0,,,
2020-03-17,IT_75,,,169.0,,,14.0,,,
2020-03-18,IT_75,,,186.0,,,30.0,,,
2020-03-19,IT_75,,,204.0,,,31.0,,,
2020-03-20,IT_75,,,222.0,,,31.0,,,
2020-03-21,IT_75,,,242.0,,,33.0,,,
2020-03-22,IT_75,,,289.0,,,37.0,,,
2020-03-23,IT_75,,,330.0,,,45.0,,,
2020-03-24,IT_75,,,374.0,,,57.0,,,
2020-03-25,IT_75,,,413.0,,,64.0,,,
2020-03-26,IT_75,,,556.0,,,76.0,,,
2020-03-27,IT_75,,,612.0,,,82.0,,,
2020-03-28,IT_75,,,661.0,,,98.0,,,
2020-03-29,IT_75,,,658.0,,,99.0,,,
2020-03-30,IT_75,,,696.0,,,106.0,,,
2020-03-31,IT_75,,,714.0,,,105.0,,,
2020-04-01,IT_75,,,744.0,,,107.0,,,
2020-04-02,IT_75,,,763.0,,,118.0,,,
2020-04-03,IT_75,,,771.0,,,123.0,,,
2020-04-04,IT_75,,,780.0,,,153.0,,,
2020-04-05,IT_75,,,733.0,,,159.0,,,
2020-04-06,IT_75,,,722.0,,,97.0,,,
2020-04-07,IT_75,,,708.0,,,93.0,,,
2020-04-08,IT_75,,,729.0,,,90.0,,,
2020-04-09,IT_75,,,716.0,,,86.0,,,
2020-04-10,IT_75,,,711.0,,,80.0,,,
2020-04-11,IT_75,,,700.0,,,73.0,,,
2020-04-12,IT_75,,,680.0,,,71.0,,,
2020-04-13,IT_75,,,671.0,,,71.0,,,
2020-04-14,IT_75,,,673.0,,,62.0,,,
2020-04-15,IT_75,,,665.0,,,73.0,,,
2020-04-16,IT_75,,,661.0,,,58.0,,,
2020-04-17,IT_75,,,652.0,,,62.0,,,
2020-04-18,IT_75,,,654.0,,,60.0,,,
2020-04-19,IT_75,,,650.0,,,60.0,,,
2020-04-20,IT_75,,,650.0,,,66.0,,,
2020-04-21,IT_75,,,634.0,,,65.0,,,
2020-04-22,IT_75,,,624.0,,,60.0,,,
2020-04-23,IT_75,,,591.0,,,55.0,,,
2020-04-24,IT_75,,,547.0,,,51.0,,,
2020-04-25,IT_75,,,517.0,,,48.0,,,
2020-04-26,IT_75,,,512.0,,,48.0,,,
2020-04-27,IT_75,,,500.0,,,51.0,,,
2020-04-28,IT_75,,,499.0,,,51.0,,,
2020-04-29,IT_75,,,496.0,,,47.0,,,
2020-04-30,IT_75,,,481.0,,,42.0,,,
2020-05-01,IT_75,,,467.0,,,39.0,,,
2020-05-02,IT_75,,,455.0,,,39.0,,,
2020-05-03,IT_75,,,450.0,,,40.0,,,
2020-05-04,IT_75,,,436.0,,,39.0,,,
2020-05-05,IT_75,,,423.0,,,39.0,,,
2020-05-06,IT_75,,,401.0,,,36.0,,,
2020-05-07,IT_75,,,390.0,,,35.0,,,
2020-05-08,IT_75,,,382.0,,,33.0,,,
2020-05-09,IT_75,,,377.0,,,33.0,,,
2020-05-10,IT_75,,,377.0,,,34.0,,,
2020-05-11,IT_75,,,372.0,,,32.0,,,
2020-05-12,IT_75,,,365.0,,,31.0,,,
2020-05-13,IT_75,,,337.0,,,27.0,,,
2020-05-14,IT_75,,,320.0,,,24.0,,,
2020-05-15,IT_75,,,308.0,,,23.0,,,
2020-05-16,IT_75,,,294.0,,,22.0,,,
2020-05-17,IT_75,,,284.0,,,21.0,,,
2020-05-18,IT_75,,,276.0,,,22.0,,,
2020-05-19,IT_75,,,269.0,,,22.0,,,
2020-05-20,IT_75,,,263.0,,,21.0,,,
2020-05-21,IT_75,,,256.0,,,20.0,,,
