date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-24,IT_BZ,,,0.0,,,0.0,,,
2020-02-25,IT_BZ,,,1.0,,,0.0,,,
2020-02-26,IT_BZ,,,1.0,,,0.0,,,
2020-02-27,IT_BZ,,,1.0,,,0.0,,,
2020-02-28,IT_BZ,,,1.0,,,0.0,,,
2020-02-29,IT_BZ,,,1.0,,,0.0,,,
2020-03-01,IT_BZ,,,1.0,,,0.0,,,
2020-03-02,IT_BZ,,,1.0,,,0.0,,,
2020-03-03,IT_BZ,,,1.0,,,0.0,,,
2020-03-04,IT_BZ,,,1.0,,,0.0,,,
2020-03-05,IT_BZ,,,1.0,,,0.0,,,
2020-03-06,IT_BZ,,,4.0,,,0.0,,,
2020-03-07,IT_BZ,,,8.0,,,0.0,,,
2020-03-08,IT_BZ,,,8.0,,,0.0,,,
2020-03-09,IT_BZ,,,8.0,,,0.0,,,
2020-03-10,IT_BZ,,,18.0,,,1.0,,,
2020-03-11,IT_BZ,,,12.0,,,4.0,,,
2020-03-12,IT_BZ,,,25.0,,,4.0,,,
2020-03-13,IT_BZ,,,25.0,,,5.0,,,
2020-03-14,IT_BZ,,,33.0,,,7.0,,,
2020-03-15,IT_BZ,,,54.0,,,4.0,,,
2020-03-16,IT_BZ,,,64.0,,,11.0,,,
2020-03-17,IT_BZ,,,82.0,,,11.0,,,
2020-03-18,IT_BZ,,,97.0,,,18.0,,,
2020-03-19,IT_BZ,,,105.0,,,18.0,,,
2020-03-20,IT_BZ,,,123.0,,,24.0,,,
2020-03-21,IT_BZ,,,157.0,,,30.0,,,
2020-03-22,IT_BZ,,,178.0,,,32.0,,,
2020-03-23,IT_BZ,,,178.0,,,33.0,,,
2020-03-24,IT_BZ,,,204.0,,,38.0,,,
2020-03-25,IT_BZ,,,230.0,,,40.0,,,
2020-03-26,IT_BZ,,,266.0,,,43.0,,,
2020-03-27,IT_BZ,,,294.0,,,45.0,,,
2020-03-28,IT_BZ,,,276.0,,,51.0,,,
2020-03-29,IT_BZ,,,290.0,,,56.0,,,
2020-03-30,IT_BZ,,,293.0,,,62.0,,,
2020-03-31,IT_BZ,,,311.0,,,62.0,,,
2020-04-01,IT_BZ,,,326.0,,,57.0,,,
2020-04-02,IT_BZ,,,339.0,,,60.0,,,
2020-04-03,IT_BZ,,,351.0,,,60.0,,,
2020-04-04,IT_BZ,,,352.0,,,61.0,,,
2020-04-05,IT_BZ,,,292.0,,,53.0,,,
2020-04-06,IT_BZ,,,297.0,,,52.0,,,
2020-04-07,IT_BZ,,,389.0,,,64.0,,,
2020-04-08,IT_BZ,,,333.0,,,65.0,,,
2020-04-09,IT_BZ,,,327.0,,,64.0,,,
2020-04-10,IT_BZ,,,316.0,,,58.0,,,
2020-04-11,IT_BZ,,,302.0,,,56.0,,,
2020-04-12,IT_BZ,,,228.0,,,45.0,,,
2020-04-13,IT_BZ,,,231.0,,,41.0,,,
2020-04-14,IT_BZ,,,216.0,,,39.0,,,
2020-04-15,IT_BZ,,,198.0,,,32.0,,,
2020-04-16,IT_BZ,,,214.0,,,34.0,,,
2020-04-17,IT_BZ,,,213.0,,,32.0,,,
2020-04-18,IT_BZ,,,207.0,,,28.0,,,
2020-04-19,IT_BZ,,,185.0,,,23.0,,,
2020-04-20,IT_BZ,,,179.0,,,19.0,,,
2020-04-21,IT_BZ,,,179.0,,,20.0,,,
2020-04-22,IT_BZ,,,176.0,,,19.0,,,
2020-04-23,IT_BZ,,,158.0,,,17.0,,,
2020-04-24,IT_BZ,,,164.0,,,16.0,,,
2020-04-25,IT_BZ,,,155.0,,,14.0,,,
2020-04-26,IT_BZ,,,152.0,,,14.0,,,
2020-04-27,IT_BZ,,,166.0,,,16.0,,,
2020-04-28,IT_BZ,,,151.0,,,15.0,,,
2020-04-29,IT_BZ,,,133.0,,,14.0,,,
2020-04-30,IT_BZ,,,139.0,,,13.0,,,
2020-05-01,IT_BZ,,,123.0,,,11.0,,,
2020-05-02,IT_BZ,,,123.0,,,10.0,,,
2020-05-03,IT_BZ,,,120.0,,,11.0,,,
2020-05-04,IT_BZ,,,113.0,,,10.0,,,
2020-05-05,IT_BZ,,,110.0,,,11.0,,,
2020-05-06,IT_BZ,,,110.0,,,11.0,,,
2020-05-07,IT_BZ,,,98.0,,,11.0,,,
2020-05-08,IT_BZ,,,87.0,,,9.0,,,
2020-05-09,IT_BZ,,,64.0,,,9.0,,,
