date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-24,IT_TN,,,0.0,,,0.0,,,
2020-02-25,IT_TN,,,0.0,,,0.0,,,
2020-02-26,IT_TN,,,0.0,,,0.0,,,
2020-02-27,IT_TN,,,0.0,,,0.0,,,
2020-02-28,IT_TN,,,0.0,,,0.0,,,
2020-02-29,IT_TN,,,0.0,,,0.0,,,
2020-03-01,IT_TN,,,0.0,,,0.0,,,
2020-03-02,IT_TN,,,0.0,,,0.0,,,
2020-03-03,IT_TN,,,1.0,,,0.0,,,
2020-03-04,IT_TN,,,1.0,,,0.0,,,
2020-03-05,IT_TN,,,2.0,,,0.0,,,
2020-03-06,IT_TN,,,4.0,,,0.0,,,
2020-03-07,IT_TN,,,7.0,,,1.0,,,
2020-03-08,IT_TN,,,9.0,,,2.0,,,
2020-03-09,IT_TN,,,12.0,,,2.0,,,
2020-03-10,IT_TN,,,22.0,,,3.0,,,
2020-03-11,IT_TN,,,32.0,,,4.0,,,
2020-03-12,IT_TN,,,48.0,,,5.0,,,
2020-03-13,IT_TN,,,64.0,,,6.0,,,
2020-03-14,IT_TN,,,80.0,,,12.0,,,
2020-03-15,IT_TN,,,92.0,,,19.0,,,
2020-03-16,IT_TN,,,92.0,,,19.0,,,
2020-03-17,IT_TN,,,129.0,,,22.0,,,
2020-03-18,IT_TN,,,163.0,,,22.0,,,
2020-03-19,IT_TN,,,199.0,,,30.0,,,
2020-03-20,IT_TN,,,232.0,,,34.0,,,
2020-03-21,IT_TN,,,272.0,,,39.0,,,
2020-03-22,IT_TN,,,281.0,,,46.0,,,
2020-03-23,IT_TN,,,295.0,,,46.0,,,
2020-03-24,IT_TN,,,357.0,,,49.0,,,
2020-03-25,IT_TN,,,373.0,,,65.0,,,
2020-03-26,IT_TN,,,366.0,,,66.0,,,
2020-03-27,IT_TN,,,407.0,,,66.0,,,
2020-03-28,IT_TN,,,423.0,,,72.0,,,
2020-03-29,IT_TN,,,431.0,,,75.0,,,
2020-03-30,IT_TN,,,431.0,,,78.0,,,
2020-03-31,IT_TN,,,434.0,,,80.0,,,
2020-04-01,IT_TN,,,421.0,,,76.0,,,
2020-04-02,IT_TN,,,417.0,,,78.0,,,
2020-04-03,IT_TN,,,423.0,,,80.0,,,
2020-04-04,IT_TN,,,434.0,,,81.0,,,
2020-04-05,IT_TN,,,432.0,,,80.0,,,
2020-04-06,IT_TN,,,433.0,,,79.0,,,
2020-04-07,IT_TN,,,438.0,,,78.0,,,
2020-04-08,IT_TN,,,431.0,,,77.0,,,
2020-04-09,IT_TN,,,414.0,,,69.0,,,
2020-04-10,IT_TN,,,405.0,,,70.0,,,
2020-04-11,IT_TN,,,397.0,,,62.0,,,
2020-04-12,IT_TN,,,383.0,,,61.0,,,
2020-04-13,IT_TN,,,382.0,,,56.0,,,
2020-04-14,IT_TN,,,379.0,,,54.0,,,
2020-04-15,IT_TN,,,360.0,,,48.0,,,
2020-04-16,IT_TN,,,339.0,,,43.0,,,
2020-04-17,IT_TN,,,330.0,,,44.0,,,
2020-04-18,IT_TN,,,318.0,,,42.0,,,
2020-04-19,IT_TN,,,319.0,,,41.0,,,
2020-04-20,IT_TN,,,312.0,,,40.0,,,
2020-04-21,IT_TN,,,292.0,,,38.0,,,
2020-04-22,IT_TN,,,279.0,,,34.0,,,
2020-04-23,IT_TN,,,263.0,,,29.0,,,
2020-04-24,IT_TN,,,252.0,,,28.0,,,
2020-04-25,IT_TN,,,229.0,,,27.0,,,
2020-04-26,IT_TN,,,223.0,,,24.0,,,
2020-04-27,IT_TN,,,224.0,,,23.0,,,
2020-04-28,IT_TN,,,204.0,,,22.0,,,
2020-04-29,IT_TN,,,187.0,,,22.0,,,
2020-04-30,IT_TN,,,179.0,,,21.0,,,
2020-05-01,IT_TN,,,165.0,,,19.0,,,
2020-05-02,IT_TN,,,157.0,,,19.0,,,
2020-05-03,IT_TN,,,153.0,,,17.0,,,
2020-05-04,IT_TN,,,152.0,,,17.0,,,
2020-05-05,IT_TN,,,141.0,,,15.0,,,
2020-05-06,IT_TN,,,129.0,,,13.0,,,
2020-05-07,IT_TN,,,110.0,,,11.0,,,
2020-05-08,IT_TN,,,105.0,,,11.0,,,
2020-05-09,IT_TN,,,97.0,,,10.0,,,
2020-05-10,IT_TN,,,92.0,,,10.0,,,
2020-05-11,IT_TN,,,95.0,,,11.0,,,
2020-05-12,IT_TN,,,89.0,,,9.0,,,
2020-05-13,IT_TN,,,85.0,,,9.0,,,
2020-05-14,IT_TN,,,75.0,,,9.0,,,
2020-05-15,IT_TN,,,62.0,,,9.0,,,
2020-05-16,IT_TN,,,52.0,,,8.0,,,
