date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-05-09,JP_24,12.0,12.0,,,,,,,
2020-05-10,JP_24,11.0,23.0,,,,,,,
2020-05-11,JP_24,10.0,33.0,,,,,,,
2020-05-12,JP_24,10.0,43.0,,,,,,,
2020-05-13,JP_24,10.0,53.0,,,,,,,
2020-05-14,JP_24,8.0,61.0,,,,,,,
2020-05-15,JP_24,7.0,68.0,,,,,,,
2020-05-16,JP_24,7.0,75.0,,,,,,,
2020-05-17,JP_24,6.0,81.0,,,,,,,
2020-05-18,JP_24,5.0,86.0,,,,,,,
2020-05-19,JP_24,5.0,91.0,,,,,,,
2020-05-20,JP_24,5.0,96.0,,,,,,,
2020-05-21,JP_24,5.0,101.0,,,,,,,
2020-05-22,JP_24,5.0,106.0,,,,,,,
2020-05-23,JP_24,5.0,111.0,,,,,,,
2020-05-24,JP_24,4.0,115.0,,,,,,,
2020-05-25,JP_24,4.0,119.0,,,,,,,
2020-05-26,JP_24,3.0,122.0,,,,,,,
2020-05-27,JP_24,3.0,125.0,,,,,,,
2020-05-28,JP_24,3.0,128.0,,,,,,,
2020-05-29,JP_24,3.0,131.0,,,,,,,
2020-05-30,JP_24,3.0,134.0,,,,,,,
2020-05-31,JP_24,0.0,134.0,,,,,,,
2020-06-01,JP_24,0.0,134.0,,,,,,,
2020-06-02,JP_24,0.0,134.0,,,,,,,
2020-06-03,JP_24,0.0,134.0,,,,,,,
2020-06-04,JP_24,0.0,134.0,,,,,,,
2020-06-05,JP_24,0.0,134.0,,,,,,,
2020-06-06,JP_24,0.0,134.0,,,,,,,
2020-06-07,JP_24,0.0,134.0,,,,,,,
2020-06-08,JP_24,0.0,134.0,,,,,,,
2020-06-09,JP_24,0.0,134.0,,,,,,,
2020-06-10,JP_24,0.0,134.0,,,,,,,
2020-06-11,JP_24,0.0,134.0,,,,,,,
2020-06-12,JP_24,0.0,134.0,,,,,,,
2020-06-13,JP_24,0.0,134.0,,,,,,,
2020-06-14,JP_24,0.0,134.0,,,,,,,
2020-06-15,JP_24,0.0,134.0,,,,,,,
2020-06-16,JP_24,0.0,134.0,,,,,,,
2020-06-17,JP_24,0.0,134.0,,,,,,,
2020-06-18,JP_24,0.0,134.0,,,,,,,
2020-06-19,JP_24,1.0,135.0,,,,,,,
2020-06-20,JP_24,1.0,136.0,,,,,,,
2020-06-21,JP_24,1.0,137.0,,,,,,,
2020-06-22,JP_24,1.0,138.0,,,,,,,
2020-06-23,JP_24,1.0,139.0,,,,,,,
2020-06-24,JP_24,1.0,140.0,,,,,,,
2020-06-25,JP_24,1.0,141.0,,,,,,,
2020-06-26,JP_24,1.0,142.0,,,,,,,
2020-06-27,JP_24,1.0,143.0,,,,,,,
2020-06-28,JP_24,1.0,144.0,,,,,,,
2020-06-29,JP_24,1.0,145.0,,,,,,,
2020-06-30,JP_24,0.0,145.0,,,,,,,
2020-07-01,JP_24,0.0,145.0,,,,,,,
2020-07-02,JP_24,0.0,145.0,,,,,,,
2020-07-03,JP_24,0.0,145.0,,,,,,,
2020-07-04,JP_24,0.0,145.0,,,,,,,
2020-07-05,JP_24,0.0,145.0,,,,,,,
2020-07-06,JP_24,0.0,145.0,,,,,,,
2020-07-07,JP_24,0.0,145.0,,,,,,,
2020-07-08,JP_24,0.0,145.0,,,,,,,
2020-07-09,JP_24,0.0,145.0,,,,,,,
2020-07-10,JP_24,0.0,145.0,,,,,,,
2020-07-11,JP_24,0.0,145.0,,,,,,,
2020-07-12,JP_24,0.0,145.0,,,,,,,
2020-07-13,JP_24,3.0,148.0,,,,,,,
2020-07-14,JP_24,3.0,151.0,,,,,,,
2020-07-15,JP_24,3.0,154.0,,,,,,,
2020-07-16,JP_24,4.0,158.0,,,,,,,
2020-07-17,JP_24,7.0,165.0,,,,,,,
2020-07-18,JP_24,7.0,172.0,,,,,,,
2020-07-19,JP_24,8.0,180.0,,,,,,,
2020-07-20,JP_24,9.0,189.0,,,,,,,
2020-07-21,JP_24,9.0,198.0,,,,,,,
2020-07-22,JP_24,9.0,207.0,,,,,,,
2020-07-23,JP_24,8.0,215.0,,,,,,,
2020-07-24,JP_24,10.0,225.0,,,,,,,
2020-07-25,JP_24,11.0,236.0,,,,,,,
2020-07-26,JP_24,13.0,249.0,,,,,,,
2020-07-27,JP_24,17.0,266.0,,,,,,,
