date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-24,LU,,,,,,0.0,,,
2020-02-25,LU,,,,,,0.0,,,
2020-02-26,LU,,,,,,0.0,,,
2020-02-27,LU,,,,,,0.0,,,
2020-02-28,LU,,,,,,0.0,,,
2020-02-29,LU,,,,,,0.0,,,
2020-03-01,LU,,,,,,0.0,,,
2020-03-02,LU,,,,,,0.0,,,
2020-03-03,LU,,,,,,0.0,,,
2020-03-04,LU,,,,,,0.0,,,
2020-03-05,LU,,,,,,0.0,,,
2020-03-06,LU,,,,,,0.0,,,
2020-03-07,LU,,,,,,0.0,,,
2020-03-08,LU,,,,,,0.0,,,
2020-03-09,LU,,,,,,0.0,,,
2020-03-10,LU,,,,,,0.0,,,
2020-03-11,LU,,,,,,0.0,,,
2020-03-12,LU,,,,,,0.0,,,
2020-03-13,LU,,,,,,0.0,,,
2020-03-14,LU,,,,,,0.0,,,
2020-03-15,LU,,,,,,0.0,,,
2020-03-16,LU,,,,,,0.0,,,
2020-03-17,LU,,,,,,0.0,,,
2020-03-18,LU,,,,,,0.0,,,
2020-03-19,LU,,,,,,0.0,,,
2020-03-20,LU,,,,,,3.0,,,
2020-03-21,LU,,,,,,6.0,,,
2020-03-22,LU,,,,,,5.0,,,
2020-03-23,LU,,,,,,7.0,,,
2020-03-24,LU,,,,,,9.0,,,
2020-03-25,LU,,,,,,21.0,,,
2020-03-26,LU,,,,,,26.0,,,
2020-03-27,LU,,,,,,26.0,,,
2020-03-28,LU,,,,,,29.0,,,
2020-03-29,LU,,,,,,27.0,,,
2020-03-30,LU,,,,,,30.0,,,
2020-03-31,LU,,,,,,32.0,,,
2020-04-01,LU,,,,,,33.0,,,
2020-04-02,LU,,,,,,40.0,,,
2020-04-03,LU,,,,,,45.0,,,
2020-04-04,LU,,,,,,43.0,,,
2020-04-05,LU,,,,,,43.0,,,
2020-04-06,LU,,,,,,41.0,,,
2020-04-07,LU,,,,,,41.0,,,
2020-04-08,LU,,,,,,43.0,,,
2020-04-09,LU,,,,,,39.0,,,
2020-04-10,LU,,,,,,38.0,,,
2020-04-11,LU,,,,,,40.0,,,
2020-04-12,LU,,,,,,40.0,,,
2020-04-13,LU,,,,,,42.0,,,
2020-04-14,LU,,,,,,43.0,,,
2020-04-15,LU,,,,,,44.0,,,
2020-04-16,LU,,,,,,41.0,,,
2020-04-17,LU,,,,,,39.0,,,
2020-04-18,LU,,,,,,40.0,,,
2020-04-19,LU,,,,,,39.0,,,
2020-04-20,LU,,,,,,39.0,,,
2020-04-21,LU,,,,,,38.0,,,
2020-04-22,LU,,,,,,35.0,,,
2020-04-23,LU,,,,,,30.0,,,
2020-04-24,LU,,,,,,30.0,,,
2020-04-25,LU,,,,,,28.0,,,
2020-04-26,LU,,,,,,25.0,,,
2020-04-27,LU,,,,,,25.0,,,
2020-04-28,LU,,,,,,25.0,,,
2020-04-29,LU,,,,,,27.0,,,
2020-04-30,LU,,,,,,27.0,,,
2020-05-01,LU,,,,,,28.0,,,
2020-05-02,LU,,,,,,27.0,,,
2020-05-03,LU,,,,,,26.0,,,
2020-05-04,LU,,,,,,25.0,,,
2020-05-05,LU,,,,,,23.0,,,
2020-05-06,LU,,,,,,24.0,,,
2020-05-07,LU,,,,,,19.0,,,
2020-05-08,LU,,,,,,18.0,,,
2020-05-09,LU,,,,,,17.0,,,
2020-05-10,LU,,,,,,21.0,,,
2020-05-11,LU,,,,,,23.0,,,
2020-05-12,LU,,,,,,23.0,,,
2020-05-13,LU,,,,,,12.0,,,
2020-05-14,LU,,,,,,12.0,,,
2020-05-15,LU,,,,,,16.0,,,
2020-05-16,LU,,,,,,14.0,,,
2020-05-17,LU,,,,,,9.0,,,
2020-05-18,LU,,,,,,11.0,,,
2020-05-19,LU,,,,,,7.0,,,
2020-05-20,LU,,,,,,7.0,,,
2020-05-21,LU,,,,,,6.0,,,
2020-05-22,LU,,,,,,9.0,,,
2020-05-23,LU,,,,,,8.0,,,
2020-05-24,LU,,,,,,5.0,,,
2020-05-25,LU,,,,,,6.0,,,
2020-05-26,LU,,,,,,5.0,,,
2020-05-27,LU,,,,,,5.0,,,
2020-05-28,LU,,,,,,5.0,,,
2020-05-29,LU,,,,,,4.0,,,
2020-05-30,LU,,,,,,4.0,,,
2020-05-31,LU,,,,,,4.0,,,
2020-06-01,LU,,,,,,4.0,,,
2020-06-02,LU,,,,,,2.0,,,
2020-06-03,LU,,,,,,3.0,,,
2020-06-04,LU,,,,,,1.0,,,
2020-06-05,LU,,,,,,1.0,,,
2020-06-06,LU,,,,,,1.0,,,
2020-06-07,LU,,,,,,2.0,,,
2020-06-08,LU,,,,,,2.0,,,
2020-06-09,LU,,,,,,1.0,,,
2020-06-10,LU,,,,,,1.0,,,
2020-06-11,LU,,,,,,0.0,,,
2020-06-12,LU,,,,,,0.0,,,
2020-06-13,LU,,,,,,1.0,,,
2020-06-14,LU,,,,,,1.0,,,
2020-06-15,LU,,,,,,2.0,,,
2020-06-16,LU,,,,,,1.0,,,
2020-06-17,LU,,,,,,2.0,,,
2020-06-18,LU,,,,,,2.0,,,
2020-06-19,LU,,,,,,1.0,,,
2020-06-20,LU,,,,,,1.0,,,
2020-06-21,LU,,,,,,2.0,,,
2020-06-22,LU,,,,,,1.0,,,
2020-06-23,LU,,,,,,0.0,,,
2020-06-24,LU,,,,,,0.0,,,
2020-06-25,LU,,,,,,1.0,,,
2020-06-26,LU,,,,,,1.0,,,
2020-06-27,LU,,,,,,1.0,,,
2020-06-28,LU,,,,,,2.0,,,
2020-06-29,LU,,,,,,2.0,,,
2020-06-30,LU,,,,,,2.0,,,
2020-07-01,LU,,,,,,2.0,,,
2020-07-02,LU,,,,,,3.0,,,
2020-07-03,LU,,,,,,3.0,,,
2020-07-04,LU,,,,,,3.0,,,
2020-07-05,LU,,,,,,3.0,,,
2020-07-06,LU,,,,,,3.0,,,
2020-07-07,LU,,,,,,1.0,,,
2020-07-08,LU,,,,,,2.0,,,
2020-07-09,LU,,,,,,3.0,,,
2020-07-10,LU,,,,,,2.0,,,
2020-07-11,LU,,,,,,3.0,,,
2020-07-12,LU,,,,,,4.0,,,
2020-07-13,LU,,,,,,3.0,,,
2020-07-14,LU,,,,,,4.0,,,
2020-07-15,LU,,,,,,5.0,,,
2020-07-16,LU,,,,,,4.0,,,
2020-07-17,LU,,,,,,6.0,,,
2020-07-18,LU,,,,,,6.0,,,
2020-07-19,LU,,,,,,7.0,,,
2020-07-20,LU,,,,,,5.0,,,
2020-07-21,LU,,,,,,5.0,,,
2020-07-22,LU,,,,,,1.0,,,
2020-07-23,LU,,,,,,3.0,,,
2020-07-24,LU,,,,,,4.0,,,
2020-07-25,LU,,,,,,4.0,,,
2020-07-26,LU,,,,,,6.0,,,
2020-07-27,LU,,,,,,5.0,,,
2020-07-28,LU,,,,,,4.0,,,
2020-07-29,LU,,,,,,6.0,,,
2020-07-30,LU,,,,,,7.0,,,
2020-07-31,LU,,,,,,6.0,,,
2020-08-01,LU,,,,,,6.0,,,
2020-08-02,LU,,,,,,7.0,,,
2020-08-03,LU,,,,,,7.0,,,
2020-08-04,LU,,,,,,5.0,,,
2020-08-05,LU,,,,,,9.0,,,
2020-08-06,LU,,,,,,6.0,,,
2020-08-07,LU,,,,,,8.0,,,
2020-08-08,LU,,,,,,8.0,,,
2020-08-09,LU,,,,,,6.0,,,
2020-08-10,LU,,,,,,4.0,,,
2020-08-11,LU,,,,,,3.0,,,
2020-08-12,LU,,,,,,1.0,,,
2020-08-13,LU,,,,,,3.0,,,
2020-08-14,LU,,,,,,4.0,,,
2020-08-15,LU,,,,,,3.0,,,
2020-08-16,LU,,,,,,3.0,,,
2020-08-17,LU,,,,,,4.0,,,
2020-08-18,LU,,,,,,3.0,,,
2020-08-19,LU,,,,,,3.0,,,
2020-08-20,LU,,,,,,3.0,,,
2020-08-21,LU,,,,,,1.0,,,
2020-08-22,LU,,,,,,1.0,,,
2020-08-23,LU,,,,,,1.0,,,
2020-08-24,LU,,,,,,1.0,,,
2020-08-25,LU,,,,,,2.0,,,
2020-08-26,LU,,,,,,2.0,,,
2020-08-27,LU,,,,,,2.0,,,
2020-08-28,LU,,,,,,4.0,,,
2020-08-29,LU,,,,,,3.0,,,
2020-08-30,LU,,,,,,2.0,,,
2020-08-31,LU,,,,,,2.0,,,
2020-09-01,LU,,,,,,1.0,,,
2020-09-02,LU,,,,,,2.0,,,
2020-09-03,LU,,,,,,0.0,,,
2020-09-04,LU,,,,,,0.0,,,
2020-09-05,LU,,,,,,0.0,,,
2020-09-06,LU,,,,,,0.0,,,
2020-09-07,LU,,,,,,0.0,,,
2020-09-08,LU,,,,,,0.0,,,
2020-09-09,LU,,,,,,0.0,,,
2020-09-10,LU,,,,,,1.0,,,
2020-09-11,LU,,,,,,0.0,,,
2020-09-12,LU,,,,,,0.0,,,
2020-09-13,LU,,,,,,1.0,,,
2020-09-14,LU,,,,,,0.0,,,
2020-09-15,LU,,,,,,0.0,,,
2020-09-16,LU,,,,,,0.0,,,
2020-09-17,LU,,,,,,1.0,,,
2020-09-18,LU,,,,,,0.0,,,
2020-09-19,LU,,,,,,2.0,,,
2020-09-20,LU,,,,,,1.0,,,
2020-09-21,LU,,,,,,1.0,,,
2020-09-22,LU,,,,,,1.0,,,
2020-09-23,LU,,,,,,3.0,,,
2020-09-24,LU,,,,,,1.0,,,
2020-09-25,LU,,,,,,1.0,,,
2020-09-26,LU,,,,,,3.0,,,
2020-09-27,LU,,,,,,3.0,,,
2020-09-28,LU,,,,,,4.0,,,
2020-09-29,LU,,,,,,5.0,,,
2020-09-30,LU,,,,,,5.0,,,
2020-10-01,LU,,,,,,3.0,,,
2020-10-02,LU,,,,,,4.0,,,
2020-10-03,LU,,,,,,2.0,,,
2020-10-04,LU,,,,,,2.0,,,
2020-10-05,LU,,,,,,1.0,,,
2020-10-06,LU,,,,,,2.0,,,
