date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-27,MX_CMX,1.0,1.0,,1.0,1.0,,,,
2020-02-28,MX_CMX,0.0,1.0,,0.0,1.0,,,,
2020-02-29,MX_CMX,1.0,2.0,,0.0,1.0,,,,
2020-03-01,MX_CMX,0.0,2.0,,0.0,1.0,,,,
2020-03-02,MX_CMX,0.0,2.0,,0.0,1.0,,,,
2020-03-03,MX_CMX,0.0,2.0,,0.0,1.0,,,,
2020-03-04,MX_CMX,1.0,3.0,,0.0,1.0,,,,
2020-03-05,MX_CMX,2.0,5.0,,0.0,1.0,,,,
2020-03-06,MX_CMX,0.0,5.0,,0.0,1.0,,,,
2020-03-07,MX_CMX,0.0,5.0,,0.0,1.0,,,,
2020-03-08,MX_CMX,1.0,6.0,,0.0,1.0,,,,
2020-03-09,MX_CMX,0.0,6.0,,0.0,1.0,,,,
2020-03-10,MX_CMX,1.0,7.0,,0.0,1.0,,,,
2020-03-11,MX_CMX,5.0,12.0,,3.0,4.0,,,,
2020-03-12,MX_CMX,4.0,16.0,,0.0,4.0,,,,
2020-03-13,MX_CMX,3.0,19.0,,1.0,5.0,,,,
2020-03-14,MX_CMX,0.0,19.0,,0.0,5.0,,,,
2020-03-15,MX_CMX,3.0,22.0,,1.0,6.0,,,,
2020-03-16,MX_CMX,6.0,28.0,,1.0,7.0,,,,
2020-03-17,MX_CMX,3.0,31.0,,0.0,7.0,,,,
2020-03-18,MX_CMX,5.0,36.0,,0.0,7.0,,,,
2020-03-19,MX_CMX,41.0,77.0,,3.0,10.0,,,,
2020-03-20,MX_CMX,32.0,109.0,,2.0,12.0,,,,
2020-03-21,MX_CMX,20.0,129.0,,5.0,17.0,,,,
2020-03-22,MX_CMX,23.0,152.0,,2.0,19.0,,,,
2020-03-23,MX_CMX,31.0,183.0,,4.0,23.0,,,,
2020-03-24,MX_CMX,62.0,245.0,,2.0,25.0,,,,
2020-03-25,MX_CMX,39.0,284.0,,2.0,27.0,,,,
2020-03-26,MX_CMX,52.0,336.0,,9.0,36.0,,,,
2020-03-27,MX_CMX,54.0,390.0,,9.0,45.0,,,,
2020-03-28,MX_CMX,46.0,436.0,,7.0,52.0,,,,
2020-03-29,MX_CMX,32.0,468.0,,7.0,59.0,,,,
2020-03-30,MX_CMX,35.0,503.0,,3.0,62.0,,,,
2020-03-31,MX_CMX,27.0,530.0,,7.0,69.0,,,,
