date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-27,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-02-28,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-02-29,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-01,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-02,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-03,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-04,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-05,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-06,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-07,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-08,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-09,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-10,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-11,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-12,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-13,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-14,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-15,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-16,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-17,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-18,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-19,MX_HID,0.0,0.0,,0.0,0.0,,,,
2020-03-20,MX_HID,1.0,1.0,,0.0,0.0,,,,
2020-03-21,MX_HID,0.0,1.0,,0.0,0.0,,,,
2020-03-22,MX_HID,0.0,1.0,,0.0,0.0,,,,
2020-03-23,MX_HID,0.0,1.0,,0.0,0.0,,,,
2020-03-24,MX_HID,0.0,1.0,,0.0,0.0,,,,
2020-03-25,MX_HID,3.0,4.0,,0.0,0.0,,,,
2020-03-26,MX_HID,2.0,6.0,,0.0,0.0,,,,
2020-03-27,MX_HID,1.0,7.0,,0.0,0.0,,,,
2020-03-28,MX_HID,0.0,7.0,,0.0,0.0,,,,
2020-03-29,MX_HID,1.0,8.0,,1.0,1.0,,,,
2020-03-30,MX_HID,1.0,9.0,,0.0,1.0,,,,
2020-03-31,MX_HID,2.0,11.0,,0.0,1.0,,,,
2020-04-01,MX_HID,3.0,14.0,,1.0,2.0,,,,
2020-04-02,MX_HID,0.0,14.0,,0.0,2.0,,,,
2020-04-03,MX_HID,1.0,15.0,,0.0,2.0,,,,
2020-04-04,MX_HID,2.0,17.0,,0.0,2.0,,,,
2020-04-05,MX_HID,1.0,18.0,,0.0,2.0,,,,
2020-04-06,MX_HID,2.0,20.0,,1.0,3.0,,,,
2020-04-07,MX_HID,0.0,20.0,,0.0,3.0,,,,
2020-04-08,MX_HID,2.0,22.0,,0.0,3.0,,,,
2020-04-09,MX_HID,0.0,22.0,,0.0,3.0,,,,
2020-04-10,MX_HID,6.0,28.0,,2.0,5.0,,,,
2020-04-11,MX_HID,3.0,31.0,,0.0,5.0,,,,
2020-04-12,MX_HID,1.0,32.0,,0.0,5.0,,,,
2020-04-13,MX_HID,2.0,34.0,,0.0,5.0,,,,
2020-04-14,MX_HID,4.0,38.0,,0.0,5.0,,,,
2020-04-15,MX_HID,2.0,40.0,,0.0,5.0,,,,
2020-04-16,MX_HID,4.0,44.0,,0.0,5.0,,,,
2020-04-17,MX_HID,1.0,45.0,,1.0,6.0,,,,
2020-04-18,MX_HID,4.0,49.0,,1.0,7.0,,,,
2020-04-19,MX_HID,9.0,58.0,,2.0,9.0,,,,
2020-04-20,MX_HID,12.0,70.0,,1.0,10.0,,,,
2020-04-21,MX_HID,4.0,74.0,,1.0,11.0,,,,
2020-04-22,MX_HID,12.0,86.0,,3.0,14.0,,,,
2020-04-23,MX_HID,13.0,99.0,,3.0,17.0,,,,
2020-04-24,MX_HID,18.0,117.0,,2.0,19.0,,,,
2020-04-25,MX_HID,17.0,134.0,,2.0,21.0,,,,
2020-04-26,MX_HID,13.0,147.0,,1.0,22.0,,,,
2020-04-27,MX_HID,15.0,162.0,,1.0,23.0,,,,
2020-04-28,MX_HID,15.0,177.0,,3.0,26.0,,,,
2020-04-29,MX_HID,14.0,191.0,,2.0,28.0,,,,
2020-04-30,MX_HID,16.0,207.0,,0.0,28.0,,,,
2020-05-01,MX_HID,20.0,227.0,,4.0,32.0,,,,
2020-05-02,MX_HID,17.0,244.0,,4.0,36.0,,,,
2020-05-03,MX_HID,16.0,260.0,,2.0,38.0,,,,
2020-05-04,MX_HID,14.0,274.0,,2.0,40.0,,,,
