date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-27,MX_MEX,0.0,0.0,,0.0,0.0,,,,
2020-02-28,MX_MEX,0.0,0.0,,0.0,0.0,,,,
2020-02-29,MX_MEX,0.0,0.0,,0.0,0.0,,,,
2020-03-01,MX_MEX,0.0,0.0,,0.0,0.0,,,,
2020-03-02,MX_MEX,1.0,1.0,,0.0,0.0,,,,
2020-03-03,MX_MEX,1.0,2.0,,0.0,0.0,,,,
2020-03-04,MX_MEX,0.0,2.0,,0.0,0.0,,,,
2020-03-05,MX_MEX,0.0,2.0,,0.0,0.0,,,,
2020-03-06,MX_MEX,0.0,2.0,,0.0,0.0,,,,
2020-03-07,MX_MEX,0.0,2.0,,0.0,0.0,,,,
2020-03-08,MX_MEX,0.0,2.0,,0.0,0.0,,,,
2020-03-09,MX_MEX,1.0,3.0,,0.0,0.0,,,,
2020-03-10,MX_MEX,1.0,4.0,,0.0,0.0,,,,
2020-03-11,MX_MEX,1.0,5.0,,0.0,0.0,,,,
2020-03-12,MX_MEX,1.0,6.0,,1.0,1.0,,,,
2020-03-13,MX_MEX,1.0,7.0,,0.0,1.0,,,,
2020-03-14,MX_MEX,0.0,7.0,,0.0,1.0,,,,
2020-03-15,MX_MEX,3.0,10.0,,1.0,2.0,,,,
2020-03-16,MX_MEX,2.0,12.0,,0.0,2.0,,,,
2020-03-17,MX_MEX,1.0,13.0,,0.0,2.0,,,,
2020-03-18,MX_MEX,0.0,13.0,,0.0,2.0,,,,
2020-03-19,MX_MEX,3.0,16.0,,1.0,3.0,,,,
2020-03-20,MX_MEX,2.0,18.0,,0.0,3.0,,,,
2020-03-21,MX_MEX,6.0,24.0,,0.0,3.0,,,,
2020-03-22,MX_MEX,2.0,26.0,,0.0,3.0,,,,
2020-03-23,MX_MEX,7.0,33.0,,1.0,4.0,,,,
2020-03-24,MX_MEX,9.0,42.0,,1.0,5.0,,,,
2020-03-25,MX_MEX,7.0,49.0,,3.0,8.0,,,,
2020-03-26,MX_MEX,8.0,57.0,,0.0,8.0,,,,
2020-03-27,MX_MEX,16.0,73.0,,0.0,8.0,,,,
2020-03-28,MX_MEX,11.0,84.0,,1.0,9.0,,,,
2020-03-29,MX_MEX,6.0,90.0,,1.0,10.0,,,,
2020-03-30,MX_MEX,14.0,104.0,,1.0,11.0,,,,
2020-03-31,MX_MEX,8.0,112.0,,0.0,11.0,,,,
2020-04-01,MX_MEX,19.0,131.0,,1.0,12.0,,,,
2020-04-02,MX_MEX,14.0,145.0,,2.0,14.0,,,,
2020-04-03,MX_MEX,24.0,169.0,,1.0,15.0,,,,
2020-04-04,MX_MEX,15.0,184.0,,1.0,16.0,,,,
2020-04-05,MX_MEX,19.0,203.0,,2.0,18.0,,,,
2020-04-06,MX_MEX,28.0,231.0,,4.0,22.0,,,,
2020-04-07,MX_MEX,29.0,260.0,,5.0,27.0,,,,
2020-04-08,MX_MEX,31.0,291.0,,1.0,28.0,,,,
2020-04-09,MX_MEX,36.0,327.0,,1.0,29.0,,,,
2020-04-10,MX_MEX,47.0,374.0,,2.0,31.0,,,,
2020-04-11,MX_MEX,40.0,414.0,,0.0,31.0,,,,
2020-04-12,MX_MEX,47.0,461.0,,3.0,34.0,,,,
2020-04-13,MX_MEX,61.0,522.0,,6.0,40.0,,,,
2020-04-14,MX_MEX,64.0,586.0,,5.0,45.0,,,,
2020-04-15,MX_MEX,82.0,668.0,,4.0,49.0,,,,
2020-04-16,MX_MEX,72.0,740.0,,3.0,52.0,,,,
2020-04-17,MX_MEX,75.0,815.0,,3.0,55.0,,,,
2020-04-18,MX_MEX,92.0,907.0,,7.0,62.0,,,,
2020-04-19,MX_MEX,105.0,1012.0,,1.0,63.0,,,,
2020-04-20,MX_MEX,144.0,1156.0,,4.0,67.0,,,,
2020-04-21,MX_MEX,152.0,1308.0,,7.0,74.0,,,,
2020-04-22,MX_MEX,128.0,1436.0,,5.0,79.0,,,,
2020-04-23,MX_MEX,146.0,1582.0,,5.0,84.0,,,,
2020-04-24,MX_MEX,140.0,1722.0,,4.0,88.0,,,,
2020-04-25,MX_MEX,123.0,1845.0,,4.0,92.0,,,,
2020-04-26,MX_MEX,166.0,2011.0,,5.0,97.0,,,,
2020-04-27,MX_MEX,197.0,2208.0,,6.0,103.0,,,,
2020-04-28,MX_MEX,184.0,2392.0,,6.0,109.0,,,,
2020-04-29,MX_MEX,191.0,2583.0,,4.0,113.0,,,,
2020-04-30,MX_MEX,139.0,2722.0,,7.0,120.0,,,,
2020-05-01,MX_MEX,163.0,2885.0,,7.0,127.0,,,,
2020-05-02,MX_MEX,161.0,3046.0,,9.0,136.0,,,,
2020-05-03,MX_MEX,150.0,3196.0,,5.0,141.0,,,,
2020-05-04,MX_MEX,168.0,3364.0,,5.0,146.0,,,,
2020-05-05,MX_MEX,146.0,3510.0,,4.0,150.0,,,,
2020-05-06,MX_MEX,133.0,3643.0,,8.0,158.0,,,,
2020-05-07,MX_MEX,179.0,3822.0,,7.0,165.0,,,,
2020-05-08,MX_MEX,160.0,3982.0,,6.0,171.0,,,,
2020-05-09,MX_MEX,166.0,4148.0,,7.0,178.0,,,,
2020-05-10,MX_MEX,173.0,4321.0,,2.0,180.0,,,,
2020-05-11,MX_MEX,273.0,4594.0,,6.0,186.0,,,,
2020-05-12,MX_MEX,217.0,4811.0,,4.0,190.0,,,,
2020-05-13,MX_MEX,227.0,5038.0,,6.0,196.0,,,,
2020-05-14,MX_MEX,245.0,5283.0,,4.0,200.0,,,,
2020-05-15,MX_MEX,246.0,5529.0,,6.0,206.0,,,,
2020-05-16,MX_MEX,196.0,5725.0,,2.0,208.0,,,,
2020-05-17,MX_MEX,186.0,5911.0,,5.0,213.0,,,,
2020-05-18,MX_MEX,259.0,6170.0,,5.0,218.0,,,,
2020-05-19,MX_MEX,212.0,6382.0,,5.0,223.0,,,,
2020-05-20,MX_MEX,263.0,6645.0,,8.0,231.0,,,,
2020-05-21,MX_MEX,223.0,6868.0,,6.0,237.0,,,,
2020-05-22,MX_MEX,237.0,7105.0,,3.0,240.0,,,,
2020-05-23,MX_MEX,164.0,7269.0,,3.0,243.0,,,,
2020-05-24,MX_MEX,245.0,7514.0,,7.0,250.0,,,,
2020-05-25,MX_MEX,306.0,7820.0,,8.0,258.0,,,,
2020-05-26,MX_MEX,226.0,8046.0,,9.0,267.0,,,,
2020-05-27,MX_MEX,297.0,8343.0,,2.0,269.0,,,,
2020-05-28,MX_MEX,236.0,8579.0,,17.0,286.0,,,,
2020-05-29,MX_MEX,275.0,8854.0,,9.0,295.0,,,,
2020-05-30,MX_MEX,207.0,9061.0,,11.0,306.0,,,,
2020-05-31,MX_MEX,234.0,9295.0,,5.0,311.0,,,,
2020-06-01,MX_MEX,315.0,9610.0,,14.0,325.0,,,,
2020-06-02,MX_MEX,266.0,9876.0,,17.0,342.0,,,,
2020-06-03,MX_MEX,306.0,10182.0,,10.0,352.0,,,,
2020-06-04,MX_MEX,337.0,10519.0,,12.0,364.0,,,,
2020-06-05,MX_MEX,291.0,10810.0,,13.0,377.0,,,,
2020-06-06,MX_MEX,205.0,11015.0,,5.0,382.0,,,,
2020-06-07,MX_MEX,233.0,11248.0,,3.0,385.0,,,,
2020-06-08,MX_MEX,349.0,11597.0,,9.0,394.0,,,,
2020-06-09,MX_MEX,237.0,11834.0,,11.0,405.0,,,,
