date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-27,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-02-28,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-02-29,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-01,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-02,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-03,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-04,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-05,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-06,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-07,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-08,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-09,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-10,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-11,MX_ROO,0.0,0.0,,0.0,0.0,,,,
2020-03-12,MX_ROO,1.0,1.0,,0.0,0.0,,,,
2020-03-13,MX_ROO,0.0,1.0,,0.0,0.0,,,,
2020-03-14,MX_ROO,1.0,2.0,,0.0,0.0,,,,
2020-03-15,MX_ROO,0.0,2.0,,0.0,0.0,,,,
2020-03-16,MX_ROO,0.0,2.0,,0.0,0.0,,,,
2020-03-17,MX_ROO,0.0,2.0,,0.0,0.0,,,,
2020-03-18,MX_ROO,1.0,3.0,,0.0,0.0,,,,
2020-03-19,MX_ROO,1.0,4.0,,0.0,0.0,,,,
2020-03-20,MX_ROO,0.0,4.0,,0.0,0.0,,,,
2020-03-21,MX_ROO,0.0,4.0,,0.0,0.0,,,,
2020-03-22,MX_ROO,2.0,6.0,,0.0,0.0,,,,
2020-03-23,MX_ROO,1.0,7.0,,1.0,1.0,,,,
2020-03-24,MX_ROO,2.0,9.0,,0.0,1.0,,,,
2020-03-25,MX_ROO,5.0,14.0,,0.0,1.0,,,,
2020-03-26,MX_ROO,5.0,19.0,,3.0,4.0,,,,
2020-03-27,MX_ROO,5.0,24.0,,0.0,4.0,,,,
2020-03-28,MX_ROO,5.0,29.0,,2.0,6.0,,,,
2020-03-29,MX_ROO,3.0,32.0,,1.0,7.0,,,,
2020-03-30,MX_ROO,6.0,38.0,,1.0,8.0,,,,
2020-03-31,MX_ROO,9.0,47.0,,0.0,8.0,,,,
2020-04-01,MX_ROO,13.0,60.0,,2.0,10.0,,,,
2020-04-02,MX_ROO,6.0,66.0,,0.0,10.0,,,,
2020-04-03,MX_ROO,7.0,73.0,,2.0,12.0,,,,
2020-04-04,MX_ROO,8.0,81.0,,0.0,12.0,,,,
2020-04-05,MX_ROO,8.0,89.0,,5.0,17.0,,,,
2020-04-06,MX_ROO,15.0,104.0,,5.0,22.0,,,,
2020-04-07,MX_ROO,15.0,119.0,,3.0,25.0,,,,
2020-04-08,MX_ROO,9.0,128.0,,1.0,26.0,,,,
2020-04-09,MX_ROO,5.0,133.0,,1.0,27.0,,,,
2020-04-10,MX_ROO,11.0,144.0,,1.0,28.0,,,,
2020-04-11,MX_ROO,13.0,157.0,,3.0,31.0,,,,
2020-04-12,MX_ROO,11.0,168.0,,2.0,33.0,,,,
2020-04-13,MX_ROO,8.0,176.0,,1.0,34.0,,,,
2020-04-14,MX_ROO,7.0,183.0,,1.0,35.0,,,,
2020-04-15,MX_ROO,7.0,190.0,,3.0,38.0,,,,
2020-04-16,MX_ROO,24.0,214.0,,6.0,44.0,,,,
2020-04-17,MX_ROO,15.0,229.0,,3.0,47.0,,,,
2020-04-18,MX_ROO,35.0,264.0,,1.0,48.0,,,,
2020-04-19,MX_ROO,18.0,282.0,,2.0,50.0,,,,
2020-04-20,MX_ROO,24.0,306.0,,3.0,53.0,,,,
2020-04-21,MX_ROO,22.0,328.0,,8.0,61.0,,,,
2020-04-22,MX_ROO,20.0,348.0,,10.0,71.0,,,,
2020-04-23,MX_ROO,24.0,372.0,,4.0,75.0,,,,
2020-04-24,MX_ROO,14.0,386.0,,4.0,79.0,,,,
2020-04-25,MX_ROO,24.0,410.0,,0.0,79.0,,,,
2020-04-26,MX_ROO,17.0,427.0,,1.0,80.0,,,,
2020-04-27,MX_ROO,24.0,451.0,,2.0,82.0,,,,
2020-04-28,MX_ROO,28.0,479.0,,8.0,90.0,,,,
2020-04-29,MX_ROO,15.0,494.0,,4.0,94.0,,,,
2020-04-30,MX_ROO,12.0,506.0,,1.0,95.0,,,,
2020-05-01,MX_ROO,24.0,530.0,,1.0,96.0,,,,
2020-05-02,MX_ROO,20.0,550.0,,2.0,98.0,,,,
2020-05-03,MX_ROO,17.0,567.0,,3.0,101.0,,,,
2020-05-04,MX_ROO,17.0,584.0,,5.0,106.0,,,,
2020-05-05,MX_ROO,16.0,600.0,,1.0,107.0,,,,
2020-05-06,MX_ROO,19.0,619.0,,4.0,111.0,,,,
2020-05-07,MX_ROO,21.0,640.0,,2.0,113.0,,,,
2020-05-08,MX_ROO,11.0,651.0,,2.0,115.0,,,,
2020-05-09,MX_ROO,11.0,662.0,,1.0,116.0,,,,
2020-05-10,MX_ROO,9.0,671.0,,2.0,118.0,,,,
2020-05-11,MX_ROO,22.0,693.0,,4.0,122.0,,,,
2020-05-12,MX_ROO,11.0,704.0,,1.0,123.0,,,,
2020-05-13,MX_ROO,7.0,711.0,,2.0,125.0,,,,
2020-05-14,MX_ROO,11.0,722.0,,2.0,127.0,,,,
2020-05-15,MX_ROO,9.0,731.0,,4.0,131.0,,,,
2020-05-16,MX_ROO,12.0,743.0,,0.0,131.0,,,,
2020-05-17,MX_ROO,6.0,749.0,,1.0,132.0,,,,
2020-05-18,MX_ROO,14.0,763.0,,3.0,135.0,,,,
2020-05-19,MX_ROO,14.0,777.0,,1.0,136.0,,,,
2020-05-20,MX_ROO,20.0,797.0,,3.0,139.0,,,,
2020-05-21,MX_ROO,18.0,815.0,,6.0,145.0,,,,
2020-05-22,MX_ROO,12.0,827.0,,6.0,151.0,,,,
2020-05-23,MX_ROO,15.0,842.0,,2.0,153.0,,,,
2020-05-24,MX_ROO,15.0,857.0,,0.0,153.0,,,,
2020-05-25,MX_ROO,16.0,873.0,,2.0,155.0,,,,
2020-05-26,MX_ROO,10.0,883.0,,3.0,158.0,,,,
2020-05-27,MX_ROO,22.0,905.0,,6.0,164.0,,,,
2020-05-28,MX_ROO,14.0,919.0,,3.0,167.0,,,,
2020-05-29,MX_ROO,10.0,929.0,,0.0,167.0,,,,
2020-05-30,MX_ROO,14.0,943.0,,1.0,168.0,,,,
2020-05-31,MX_ROO,9.0,952.0,,1.0,169.0,,,,
2020-06-01,MX_ROO,12.0,964.0,,1.0,170.0,,,,
2020-06-02,MX_ROO,14.0,978.0,,0.0,170.0,,,,
2020-06-03,MX_ROO,9.0,987.0,,1.0,171.0,,,,
2020-06-04,MX_ROO,16.0,1003.0,,2.0,173.0,,,,
2020-06-05,MX_ROO,8.0,1011.0,,2.0,175.0,,,,
2020-06-06,MX_ROO,14.0,1025.0,,1.0,176.0,,,,
2020-06-07,MX_ROO,10.0,1035.0,,0.0,176.0,,,,
2020-06-08,MX_ROO,9.0,1044.0,,0.0,176.0,,,,
2020-06-09,MX_ROO,17.0,1061.0,,0.0,176.0,,,,
2020-06-10,MX_ROO,9.0,1070.0,,1.0,177.0,,,,
2020-06-11,MX_ROO,18.0,1088.0,,2.0,179.0,,,,
2020-06-12,MX_ROO,13.0,1101.0,,3.0,182.0,,,,
2020-06-13,MX_ROO,12.0,1113.0,,1.0,183.0,,,,
2020-06-14,MX_ROO,22.0,1135.0,,0.0,183.0,,,,
2020-06-15,MX_ROO,22.0,1157.0,,4.0,187.0,,,,
2020-06-16,MX_ROO,18.0,1175.0,,4.0,191.0,,,,
2020-06-17,MX_ROO,10.0,1185.0,,1.0,192.0,,,,
2020-06-18,MX_ROO,20.0,1205.0,,5.0,197.0,,,,
2020-06-19,MX_ROO,18.0,1223.0,,4.0,201.0,,,,
2020-06-20,MX_ROO,12.0,1235.0,,0.0,201.0,,,,
2020-06-21,MX_ROO,20.0,1255.0,,0.0,201.0,,,,
2020-06-22,MX_ROO,14.0,1269.0,,0.0,201.0,,,,
2020-06-23,MX_ROO,16.0,1285.0,,4.0,205.0,,,,
2020-06-24,MX_ROO,23.0,1308.0,,5.0,210.0,,,,
2020-06-25,MX_ROO,25.0,1333.0,,2.0,212.0,,,,
2020-06-26,MX_ROO,32.0,1365.0,,4.0,216.0,,,,
2020-06-27,MX_ROO,18.0,1383.0,,1.0,217.0,,,,
2020-06-28,MX_ROO,32.0,1415.0,,2.0,219.0,,,,
2020-06-29,MX_ROO,25.0,1440.0,,2.0,221.0,,,,
2020-06-30,MX_ROO,30.0,1470.0,,8.0,229.0,,,,
2020-07-01,MX_ROO,34.0,1504.0,,1.0,230.0,,,,
2020-07-02,MX_ROO,32.0,1536.0,,4.0,234.0,,,,
2020-07-03,MX_ROO,35.0,1571.0,,1.0,235.0,,,,
2020-07-04,MX_ROO,33.0,1604.0,,1.0,236.0,,,,
2020-07-05,MX_ROO,25.0,1629.0,,4.0,240.0,,,,
2020-07-06,MX_ROO,38.0,1667.0,,1.0,241.0,,,,
2020-07-07,MX_ROO,33.0,1700.0,,6.0,247.0,,,,
2020-07-08,MX_ROO,34.0,1734.0,,3.0,250.0,,,,
2020-07-09,MX_ROO,26.0,1760.0,,1.0,251.0,,,,
2020-07-10,MX_ROO,35.0,1795.0,,1.0,252.0,,,,
2020-07-11,MX_ROO,33.0,1828.0,,3.0,255.0,,,,
2020-07-12,MX_ROO,32.0,1860.0,,3.0,258.0,,,,
2020-07-13,MX_ROO,46.0,1906.0,,6.0,264.0,,,,
2020-07-14,MX_ROO,41.0,1947.0,,3.0,267.0,,,,
2020-07-15,MX_ROO,42.0,1989.0,,6.0,273.0,,,,
2020-07-16,MX_ROO,36.0,2025.0,,3.0,276.0,,,,
2020-07-17,MX_ROO,31.0,2056.0,,4.0,280.0,,,,
2020-07-18,MX_ROO,36.0,2092.0,,1.0,281.0,,,,
2020-07-19,MX_ROO,25.0,2117.0,,3.0,284.0,,,,
2020-07-20,MX_ROO,48.0,2165.0,,4.0,288.0,,,,
2020-07-21,MX_ROO,38.0,2203.0,,6.0,294.0,,,,
2020-07-22,MX_ROO,49.0,2252.0,,8.0,302.0,,,,
2020-07-23,MX_ROO,32.0,2284.0,,2.0,304.0,,,,
2020-07-24,MX_ROO,38.0,2322.0,,2.0,306.0,,,,
2020-07-25,MX_ROO,29.0,2351.0,,0.0,306.0,,,,
2020-07-26,MX_ROO,34.0,2385.0,,2.0,308.0,,,,
2020-07-27,MX_ROO,36.0,2421.0,,2.0,310.0,,,,
2020-07-28,MX_ROO,26.0,2447.0,,0.0,310.0,,,,
2020-07-29,MX_ROO,25.0,2472.0,,1.0,311.0,,,,
2020-07-30,MX_ROO,27.0,2499.0,,1.0,312.0,,,,
2020-07-31,MX_ROO,21.0,2520.0,,1.0,313.0,,,,
2020-08-01,MX_ROO,23.0,2543.0,,3.0,316.0,,,,
2020-08-02,MX_ROO,27.0,2570.0,,2.0,318.0,,,,
2020-08-03,MX_ROO,28.0,2598.0,,2.0,320.0,,,,
2020-08-04,MX_ROO,40.0,2638.0,,1.0,321.0,,,,
2020-08-05,MX_ROO,29.0,2667.0,,4.0,325.0,,,,
2020-08-06,MX_ROO,28.0,2695.0,,3.0,328.0,,,,
2020-08-07,MX_ROO,27.0,2722.0,,1.0,329.0,,,,
2020-08-08,MX_ROO,18.0,2740.0,,1.0,330.0,,,,
2020-08-09,MX_ROO,23.0,2763.0,,2.0,332.0,,,,
