date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-27,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-02-28,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-02-29,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-01,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-02,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-03,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-04,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-05,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-06,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-07,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-08,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-09,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-10,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-11,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-12,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-13,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-14,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-15,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-16,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-17,MX_SLP,0.0,0.0,,0.0,0.0,,,,
2020-03-18,MX_SLP,1.0,1.0,,1.0,1.0,,,,
2020-03-19,MX_SLP,0.0,1.0,,0.0,1.0,,,,
2020-03-20,MX_SLP,0.0,1.0,,0.0,1.0,,,,
2020-03-21,MX_SLP,1.0,2.0,,0.0,1.0,,,,
2020-03-22,MX_SLP,0.0,2.0,,0.0,1.0,,,,
2020-03-23,MX_SLP,1.0,3.0,,0.0,1.0,,,,
2020-03-24,MX_SLP,0.0,3.0,,0.0,1.0,,,,
2020-03-25,MX_SLP,0.0,3.0,,0.0,1.0,,,,
2020-03-26,MX_SLP,0.0,3.0,,0.0,1.0,,,,
2020-03-27,MX_SLP,2.0,5.0,,1.0,2.0,,,,
2020-03-28,MX_SLP,0.0,5.0,,0.0,2.0,,,,
2020-03-29,MX_SLP,2.0,7.0,,0.0,2.0,,,,
2020-03-30,MX_SLP,0.0,7.0,,0.0,2.0,,,,
2020-03-31,MX_SLP,0.0,7.0,,0.0,2.0,,,,
2020-04-01,MX_SLP,0.0,7.0,,0.0,2.0,,,,
2020-04-02,MX_SLP,0.0,7.0,,0.0,2.0,,,,
2020-04-03,MX_SLP,0.0,7.0,,0.0,2.0,,,,
2020-04-04,MX_SLP,1.0,8.0,,1.0,3.0,,,,
2020-04-05,MX_SLP,0.0,8.0,,0.0,3.0,,,,
2020-04-06,MX_SLP,1.0,9.0,,0.0,3.0,,,,
2020-04-07,MX_SLP,0.0,9.0,,0.0,3.0,,,,
2020-04-08,MX_SLP,0.0,9.0,,0.0,3.0,,,,
2020-04-09,MX_SLP,0.0,9.0,,0.0,3.0,,,,
2020-04-10,MX_SLP,0.0,9.0,,0.0,3.0,,,,
2020-04-11,MX_SLP,1.0,10.0,,0.0,3.0,,,,
2020-04-12,MX_SLP,0.0,10.0,,0.0,3.0,,,,
2020-04-13,MX_SLP,0.0,10.0,,0.0,3.0,,,,
2020-04-14,MX_SLP,1.0,11.0,,0.0,3.0,,,,
2020-04-15,MX_SLP,0.0,11.0,,0.0,3.0,,,,
2020-04-16,MX_SLP,0.0,11.0,,0.0,3.0,,,,
2020-04-17,MX_SLP,1.0,12.0,,0.0,3.0,,,,
2020-04-18,MX_SLP,0.0,12.0,,0.0,3.0,,,,
2020-04-19,MX_SLP,0.0,12.0,,0.0,3.0,,,,
2020-04-20,MX_SLP,0.0,12.0,,0.0,3.0,,,,
2020-04-21,MX_SLP,0.0,12.0,,0.0,3.0,,,,
2020-04-22,MX_SLP,0.0,12.0,,0.0,3.0,,,,
2020-04-23,MX_SLP,1.0,13.0,,0.0,3.0,,,,
2020-04-24,MX_SLP,1.0,14.0,,1.0,4.0,,,,
2020-04-25,MX_SLP,4.0,18.0,,0.0,4.0,,,,
2020-04-26,MX_SLP,2.0,20.0,,1.0,5.0,,,,
2020-04-27,MX_SLP,3.0,23.0,,0.0,5.0,,,,
2020-04-28,MX_SLP,5.0,28.0,,1.0,6.0,,,,
2020-04-29,MX_SLP,3.0,31.0,,1.0,7.0,,,,
2020-04-30,MX_SLP,2.0,33.0,,0.0,7.0,,,,
2020-05-01,MX_SLP,2.0,35.0,,0.0,7.0,,,,
2020-05-02,MX_SLP,2.0,37.0,,0.0,7.0,,,,
2020-05-03,MX_SLP,1.0,38.0,,0.0,7.0,,,,
2020-05-04,MX_SLP,6.0,44.0,,2.0,9.0,,,,
2020-05-05,MX_SLP,2.0,46.0,,1.0,10.0,,,,
2020-05-06,MX_SLP,6.0,52.0,,0.0,10.0,,,,
2020-05-07,MX_SLP,0.0,52.0,,0.0,10.0,,,,
2020-05-08,MX_SLP,3.0,55.0,,2.0,12.0,,,,
2020-05-09,MX_SLP,2.0,57.0,,1.0,13.0,,,,
2020-05-10,MX_SLP,5.0,62.0,,2.0,15.0,,,,
