date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-13,NL_GE,,9.0,,,,,,,
2020-03-14,NL_GE,5.0,14.0,,,,,,,
2020-03-15,NL_GE,4.0,18.0,,,,,,,
2020-03-16,NL_GE,10.0,28.0,,,,,,,
2020-03-17,NL_GE,10.0,38.0,,,,,,,
2020-03-18,NL_GE,7.0,45.0,,,,,,,
2020-03-19,NL_GE,3.0,48.0,,,,,,,
2020-03-20,NL_GE,21.0,69.0,,,,,,,
2020-03-21,NL_GE,31.0,100.0,,,,,,,
2020-03-22,NL_GE,18.0,118.0,,,,,,,
2020-03-23,NL_GE,41.0,159.0,,,,,,,
2020-03-24,NL_GE,37.0,196.0,,,,,,,
2020-03-25,NL_GE,29.0,225.0,,,,,,,
2020-03-26,NL_GE,45.0,270.0,,,,,,,
2020-03-27,NL_GE,48.0,318.0,,,,,,,
2020-03-28,NL_GE,51.0,369.0,,,,,,,
2020-03-29,NL_GE,69.0,438.0,,,,,,,
2020-03-30,NL_GE,56.0,494.0,,,,,,,
2020-03-31,NL_GE,43.0,537.0,,,,,,,
2020-04-01,NL_GE,74.0,611.0,,,,,,,
2020-04-02,NL_GE,41.0,652.0,,,,,,,
2020-04-03,NL_GE,44.0,696.0,,,,,,,
2020-04-04,NL_GE,29.0,725.0,,,,,,,
2020-04-05,NL_GE,34.0,759.0,,,,,,,
2020-04-06,NL_GE,34.0,793.0,,,,,,,
2020-04-07,NL_GE,32.0,825.0,,,,,,,
2020-04-08,NL_GE,41.0,866.0,,,,,,,
2020-04-09,NL_GE,33.0,899.0,,,,,,,
2020-04-10,NL_GE,20.0,919.0,,,,,,,
2020-04-11,NL_GE,29.0,948.0,,,,,,,
2020-04-12,NL_GE,41.0,989.0,,,,,,,
2020-04-13,NL_GE,16.0,1005.0,,,,,,,
2020-04-14,NL_GE,26.0,1031.0,,,,,,,
2020-04-15,NL_GE,16.0,1047.0,,,,,,,
2020-04-16,NL_GE,21.0,1068.0,,,,,,,
2020-04-17,NL_GE,27.0,1095.0,,,,,,,
2020-04-18,NL_GE,16.0,1111.0,,,,,,,
2020-04-19,NL_GE,14.0,1125.0,,,,,,,
2020-04-20,NL_GE,19.0,1144.0,,,,,,,
2020-04-21,NL_GE,22.0,1166.0,,,,,,,
2020-04-22,NL_GE,13.0,1179.0,,,,,,,
2020-04-23,NL_GE,15.0,1194.0,,,,,,,
2020-04-24,NL_GE,9.0,1203.0,,,,,,,
2020-04-25,NL_GE,22.0,1225.0,,,,,,,
2020-04-26,NL_GE,8.0,1233.0,,,,,,,
2020-04-27,NL_GE,4.0,1237.0,,,,,,,
2020-04-28,NL_GE,16.0,1253.0,,,,,,,
2020-04-29,NL_GE,14.0,1267.0,,,,,,,
2020-04-30,NL_GE,13.0,1280.0,,,,,,,
2020-05-01,NL_GE,20.0,1300.0,,,,,,,
2020-05-02,NL_GE,16.0,1316.0,,,,,,,
2020-05-03,NL_GE,5.0,1321.0,,,,,,,
2020-05-04,NL_GE,10.0,1331.0,,,,,,,
2020-05-05,NL_GE,14.0,1345.0,,,,,,,
2020-05-06,NL_GE,3.0,1348.0,,,,,,,
2020-05-07,NL_GE,3.0,1351.0,,,,,,,
2020-05-08,NL_GE,10.0,1361.0,,,,,,,
2020-05-09,NL_GE,16.0,1377.0,,,,,,,
2020-05-10,NL_GE,1.0,1378.0,,,,,,,
2020-05-11,NL_GE,13.0,1391.0,,,,,,,
2020-05-12,NL_GE,4.0,1395.0,,,,,,,
2020-05-13,NL_GE,4.0,1399.0,,,,,,,
2020-05-14,NL_GE,11.0,1410.0,,,,,,,
2020-05-15,NL_GE,15.0,1425.0,,,,,,,
2020-05-16,NL_GE,20.0,1445.0,,,,,,,
2020-05-17,NL_GE,4.0,1449.0,,,,,,,
2020-05-18,NL_GE,11.0,1460.0,,,,,,,
2020-05-19,NL_GE,6.0,1466.0,,,,,,,
2020-05-20,NL_GE,8.0,1474.0,,,,,,,
2020-05-21,NL_GE,1.0,1475.0,,,,,,,
2020-05-22,NL_GE,2.0,1477.0,,,,,,,
2020-05-23,NL_GE,1.0,1478.0,,,,,,,
2020-05-24,NL_GE,3.0,1481.0,,,,,,,
2020-05-25,NL_GE,0.0,1481.0,,,,,,,
2020-05-26,NL_GE,2.0,1483.0,,,,,,,
2020-05-27,NL_GE,0.0,1483.0,,,,,,,
2020-05-28,NL_GE,1.0,1484.0,,,,,,,
2020-05-29,NL_GE,5.0,1489.0,,,,,,,
2020-05-30,NL_GE,0.0,1489.0,,,,,,,
2020-05-31,NL_GE,0.0,1489.0,,,,,,,
2020-06-01,NL_GE,2.0,1491.0,,,,,,,
2020-06-02,NL_GE,1.0,1492.0,,,,,,,
2020-06-03,NL_GE,1.0,1493.0,,,,,,,
2020-06-04,NL_GE,2.0,1495.0,,,,,,,
2020-06-05,NL_GE,2.0,1497.0,,,,,,,
2020-06-06,NL_GE,2.0,1499.0,,,,,,,
2020-06-07,NL_GE,0.0,1499.0,,,,,,,
2020-06-08,NL_GE,0.0,1499.0,,,,,,,
2020-06-09,NL_GE,0.0,1499.0,,,,,,,
2020-06-10,NL_GE,1.0,1500.0,,,,,,,
2020-06-11,NL_GE,0.0,1500.0,,,,,,,
2020-06-12,NL_GE,0.0,1500.0,,,,,,,
2020-06-13,NL_GE,2.0,1502.0,,,,,,,
2020-06-14,NL_GE,1.0,1503.0,,,,,,,
2020-06-15,NL_GE,0.0,1503.0,,,,,,,
2020-06-16,NL_GE,1.0,1504.0,,,,,,,
2020-06-17,NL_GE,0.0,1504.0,,,,,,,
2020-06-18,NL_GE,0.0,1504.0,,,,,,,
2020-06-19,NL_GE,1.0,1505.0,,,,,,,
2020-06-20,NL_GE,0.0,1505.0,,,,,,,
2020-06-21,NL_GE,0.0,1505.0,,,,,,,
2020-06-22,NL_GE,0.0,1505.0,,,,,,,
2020-06-23,NL_GE,0.0,1505.0,,,,,,,
2020-06-24,NL_GE,0.0,1505.0,,,,,,,
2020-06-25,NL_GE,1.0,1506.0,,,,,,,
2020-06-26,NL_GE,1.0,1507.0,,,,,,,
2020-06-27,NL_GE,0.0,1507.0,,,,,,,
2020-06-28,NL_GE,1.0,1508.0,,,,,,,
2020-06-29,NL_GE,2.0,1510.0,,,,,,,
2020-06-30,NL_GE,1.0,1511.0,,,,,,,
2020-07-01,NL_GE,0.0,1511.0,,,,,,,
2020-07-02,NL_GE,0.0,1511.0,,,,,,,
2020-07-03,NL_GE,0.0,1511.0,,,,,,,
2020-07-04,NL_GE,0.0,1511.0,,,,,,,
2020-07-05,NL_GE,0.0,1511.0,,,,,,,
2020-07-06,NL_GE,0.0,1511.0,,,,,,,
2020-07-07,NL_GE,1.0,1512.0,,,,,,,
2020-07-08,NL_GE,2.0,1514.0,,,,,,,
2020-07-09,NL_GE,0.0,1514.0,,,,,,,
2020-07-10,NL_GE,1.0,1515.0,,,,,,,
2020-07-11,NL_GE,0.0,1515.0,,,,,,,
2020-07-12,NL_GE,0.0,1515.0,,,,,,,
2020-07-13,NL_GE,0.0,1515.0,,,,,,,
2020-07-14,NL_GE,1.0,1516.0,,,,,,,
2020-07-15,NL_GE,0.0,1516.0,,,,,,,
2020-07-16,NL_GE,-2.0,1514.0,,,,,,,
2020-07-17,NL_GE,-2.0,1512.0,,,,,,,
2020-07-18,NL_GE,0.0,1512.0,,,,,,,
2020-07-19,NL_GE,1.0,1513.0,,,,,,,
2020-07-20,NL_GE,0.0,1513.0,,,,,,,
2020-07-21,NL_GE,0.0,1513.0,,,,,,,
2020-07-22,NL_GE,0.0,1513.0,,,,,,,
2020-07-23,NL_GE,0.0,1513.0,,,,,,,
2020-07-24,NL_GE,-3.0,1510.0,,,,,,,
2020-07-25,NL_GE,-1.0,1509.0,,,,,,,
2020-07-26,NL_GE,1.0,1510.0,,,,,,,
