date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-13,NL_NB,,64.0,,,,,,,
2020-03-14,NL_NB,7.0,71.0,,,,,,,
2020-03-15,NL_NB,6.0,77.0,,,,,,,
2020-03-16,NL_NB,9.0,86.0,,,,,,,
2020-03-17,NL_NB,45.0,131.0,,,,,,,
2020-03-18,NL_NB,26.0,157.0,,,,,,,
2020-03-19,NL_NB,31.0,188.0,,,,,,,
2020-03-20,NL_NB,30.0,218.0,,,,,,,
2020-03-21,NL_NB,18.0,236.0,,,,,,,
2020-03-22,NL_NB,30.0,266.0,,,,,,,
2020-03-23,NL_NB,65.0,331.0,,,,,,,
2020-03-24,NL_NB,31.0,362.0,,,,,,,
2020-03-25,NL_NB,90.0,452.0,,,,,,,
2020-03-26,NL_NB,60.0,512.0,,,,,,,
2020-03-27,NL_NB,49.0,561.0,,,,,,,
2020-03-28,NL_NB,161.0,722.0,,,,,,,
2020-03-29,NL_NB,180.0,902.0,,,,,,,
2020-03-30,NL_NB,213.0,1115.0,,,,,,,
2020-03-31,NL_NB,217.0,1332.0,,,,,,,
2020-04-01,NL_NB,121.0,1453.0,,,,,,,
2020-04-02,NL_NB,99.0,1552.0,,,,,,,
2020-04-03,NL_NB,135.0,1687.0,,,,,,,
2020-04-04,NL_NB,57.0,1744.0,,,,,,,
2020-04-05,NL_NB,26.0,1770.0,,,,,,,
2020-04-06,NL_NB,13.0,1783.0,,,,,,,
2020-04-07,NL_NB,58.0,1841.0,,,,,,,
2020-04-08,NL_NB,59.0,1900.0,,,,,,,
2020-04-09,NL_NB,37.0,1937.0,,,,,,,
2020-04-10,NL_NB,50.0,1987.0,,,,,,,
2020-04-11,NL_NB,43.0,2030.0,,,,,,,
2020-04-12,NL_NB,49.0,2079.0,,,,,,,
2020-04-13,NL_NB,52.0,2131.0,,,,,,,
2020-04-14,NL_NB,30.0,2161.0,,,,,,,
2020-04-15,NL_NB,27.0,2188.0,,,,,,,
2020-04-16,NL_NB,21.0,2209.0,,,,,,,
2020-04-17,NL_NB,27.0,2236.0,,,,,,,
2020-04-18,NL_NB,18.0,2254.0,,,,,,,
2020-04-19,NL_NB,14.0,2268.0,,,,,,,
2020-04-20,NL_NB,4.0,2272.0,,,,,,,
2020-04-21,NL_NB,17.0,2289.0,,,,,,,
2020-04-22,NL_NB,30.0,2319.0,,,,,,,
2020-04-23,NL_NB,52.0,2371.0,,,,,,,
2020-04-24,NL_NB,43.0,2414.0,,,,,,,
2020-04-25,NL_NB,27.0,2441.0,,,,,,,
2020-04-26,NL_NB,14.0,2455.0,,,,,,,
2020-04-27,NL_NB,11.0,2466.0,,,,,,,
2020-04-28,NL_NB,30.0,2496.0,,,,,,,
2020-04-29,NL_NB,5.0,2501.0,,,,,,,
2020-04-30,NL_NB,18.0,2519.0,,,,,,,
2020-05-01,NL_NB,11.0,2530.0,,,,,,,
