date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-13,NL_ZH,,6.0,,,,,,,
2020-03-14,NL_ZH,1.0,7.0,,,,,,,
2020-03-15,NL_ZH,4.0,11.0,,,,,,,
2020-03-16,NL_ZH,3.0,14.0,,,,,,,
2020-03-17,NL_ZH,13.0,27.0,,,,,,,
2020-03-18,NL_ZH,16.0,43.0,,,,,,,
2020-03-19,NL_ZH,6.0,49.0,,,,,,,
2020-03-20,NL_ZH,26.0,75.0,,,,,,,
2020-03-21,NL_ZH,35.0,110.0,,,,,,,
2020-03-22,NL_ZH,32.0,142.0,,,,,,,
2020-03-23,NL_ZH,36.0,178.0,,,,,,,
2020-03-24,NL_ZH,41.0,219.0,,,,,,,
2020-03-25,NL_ZH,54.0,273.0,,,,,,,
2020-03-26,NL_ZH,49.0,322.0,,,,,,,
2020-03-27,NL_ZH,77.0,399.0,,,,,,,
2020-03-28,NL_ZH,81.0,480.0,,,,,,,
2020-03-29,NL_ZH,88.0,568.0,,,,,,,
2020-03-30,NL_ZH,53.0,621.0,,,,,,,
2020-03-31,NL_ZH,88.0,709.0,,,,,,,
2020-04-01,NL_ZH,81.0,790.0,,,,,,,
2020-04-02,NL_ZH,71.0,861.0,,,,,,,
2020-04-03,NL_ZH,71.0,932.0,,,,,,,
2020-04-04,NL_ZH,62.0,994.0,,,,,,,
2020-04-05,NL_ZH,48.0,1042.0,,,,,,,
2020-04-06,NL_ZH,64.0,1106.0,,,,,,,
2020-04-07,NL_ZH,62.0,1168.0,,,,,,,
2020-04-08,NL_ZH,66.0,1234.0,,,,,,,
2020-04-09,NL_ZH,50.0,1284.0,,,,,,,
2020-04-10,NL_ZH,65.0,1349.0,,,,,,,
2020-04-11,NL_ZH,32.0,1381.0,,,,,,,
2020-04-12,NL_ZH,39.0,1420.0,,,,,,,
2020-04-13,NL_ZH,30.0,1450.0,,,,,,,
2020-04-14,NL_ZH,38.0,1488.0,,,,,,,
2020-04-15,NL_ZH,44.0,1532.0,,,,,,,
2020-04-16,NL_ZH,32.0,1564.0,,,,,,,
2020-04-17,NL_ZH,32.0,1596.0,,,,,,,
2020-04-18,NL_ZH,32.0,1628.0,,,,,,,
2020-04-19,NL_ZH,29.0,1657.0,,,,,,,
2020-04-20,NL_ZH,14.0,1671.0,,,,,,,
2020-04-21,NL_ZH,32.0,1703.0,,,,,,,
2020-04-22,NL_ZH,16.0,1719.0,,,,,,,
2020-04-23,NL_ZH,22.0,1741.0,,,,,,,
2020-04-24,NL_ZH,19.0,1760.0,,,,,,,
2020-04-25,NL_ZH,21.0,1781.0,,,,,,,
2020-04-26,NL_ZH,23.0,1804.0,,,,,,,
2020-04-27,NL_ZH,19.0,1823.0,,,,,,,
2020-04-28,NL_ZH,10.0,1833.0,,,,,,,
2020-04-29,NL_ZH,9.0,1842.0,,,,,,,
2020-04-30,NL_ZH,25.0,1867.0,,,,,,,
2020-05-01,NL_ZH,23.0,1890.0,,,,,,,
2020-05-02,NL_ZH,25.0,1915.0,,,,,,,
2020-05-03,NL_ZH,7.0,1922.0,,,,,,,
2020-05-04,NL_ZH,6.0,1928.0,,,,,,,
2020-05-05,NL_ZH,12.0,1940.0,,,,,,,
2020-05-06,NL_ZH,4.0,1944.0,,,,,,,
2020-05-07,NL_ZH,18.0,1962.0,,,,,,,
2020-05-08,NL_ZH,16.0,1978.0,,,,,,,
2020-05-09,NL_ZH,19.0,1997.0,,,,,,,
2020-05-10,NL_ZH,2.0,1999.0,,,,,,,
2020-05-11,NL_ZH,1.0,2000.0,,,,,,,
2020-05-12,NL_ZH,11.0,2011.0,,,,,,,
2020-05-13,NL_ZH,19.0,2030.0,,,,,,,
2020-05-14,NL_ZH,9.0,2039.0,,,,,,,
2020-05-15,NL_ZH,9.0,2048.0,,,,,,,
2020-05-16,NL_ZH,10.0,2058.0,,,,,,,
2020-05-17,NL_ZH,6.0,2064.0,,,,,,,
2020-05-18,NL_ZH,8.0,2072.0,,,,,,,
2020-05-19,NL_ZH,9.0,2081.0,,,,,,,
2020-05-20,NL_ZH,2.0,2083.0,,,,,,,
2020-05-21,NL_ZH,10.0,2093.0,,,,,,,
2020-05-22,NL_ZH,3.0,2096.0,,,,,,,
2020-05-23,NL_ZH,4.0,2100.0,,,,,,,
2020-05-24,NL_ZH,3.0,2103.0,,,,,,,
2020-05-25,NL_ZH,2.0,2105.0,,,,,,,
2020-05-26,NL_ZH,3.0,2108.0,,,,,,,
2020-05-27,NL_ZH,3.0,2111.0,,,,,,,
2020-05-28,NL_ZH,4.0,2115.0,,,,,,,
2020-05-29,NL_ZH,2.0,2117.0,,,,,,,
2020-05-30,NL_ZH,1.0,2118.0,,,,,,,
2020-05-31,NL_ZH,3.0,2121.0,,,,,,,
2020-06-01,NL_ZH,3.0,2124.0,,,,,,,
2020-06-02,NL_ZH,3.0,2127.0,,,,,,,
2020-06-03,NL_ZH,9.0,2136.0,,,,,,,
2020-06-04,NL_ZH,6.0,2142.0,,,,,,,
2020-06-05,NL_ZH,5.0,2147.0,,,,,,,
2020-06-06,NL_ZH,1.0,2148.0,,,,,,,
2020-06-07,NL_ZH,0.0,2148.0,,,,,,,
2020-06-08,NL_ZH,2.0,2150.0,,,,,,,
2020-06-09,NL_ZH,3.0,2153.0,,,,,,,
2020-06-10,NL_ZH,-1.0,2152.0,,,,,,,
2020-06-11,NL_ZH,3.0,2155.0,,,,,,,
2020-06-12,NL_ZH,1.0,2156.0,,,,,,,
2020-06-13,NL_ZH,2.0,2158.0,,,,,,,
2020-06-14,NL_ZH,3.0,2161.0,,,,,,,
2020-06-15,NL_ZH,1.0,2162.0,,,,,,,
2020-06-16,NL_ZH,0.0,2162.0,,,,,,,
2020-06-17,NL_ZH,0.0,2162.0,,,,,,,
2020-06-18,NL_ZH,-2.0,2160.0,,,,,,,
2020-06-19,NL_ZH,3.0,2163.0,,,,,,,
2020-06-20,NL_ZH,0.0,2163.0,,,,,,,
2020-06-21,NL_ZH,1.0,2164.0,,,,,,,
2020-06-22,NL_ZH,2.0,2166.0,,,,,,,
2020-06-23,NL_ZH,2.0,2168.0,,,,,,,
2020-06-24,NL_ZH,4.0,2172.0,,,,,,,
2020-06-25,NL_ZH,3.0,2175.0,,,,,,,
